symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
LIQT,2018-09-30,False,Q3,2018,10-Q,3347204.0,-942161.0,-921949.0,-0.013,-0.013,0.0,13951392.0,11987465.0,4321532.0,3861595.0,9629860.0,-3838206.0,-145984.0,5913204.0,,,145984.0
LIQT,2011-09-30,False,Q3,2011,10-Q,6829535.0,667798.0,484206.0,0.03,0.03,0.0,16125057.0,9705914.0,8698808.0,397882.0,5994956.0,12785.0,-953001.0,833236.0,,,-946242.0
LIQT,2012-03-31,False,Q1,2012,10-Q,6341721.0,480580.0,322601.0,0.01,0.01,0.0,23654658.0,16379731.0,7684619.0,6552392.0,14411578.0,733894.0,-671871.0,5353131.0,,,636993.0
LIQT,2013-03-31,False,Q1,2013,10-Q,3399148.0,-852561.0,-669811.0,-0.03,-0.03,0.0,18019560.0,10992438.0,3555221.0,3115618.0,13808198.0,-533657.0,-129720.0,-76688.0,,,125472.0
LIQT,2012-06-30,False,Q2,2012,10-Q,3953335.0,-886537.0,-552509.0,-0.02,-0.02,0.0,20613181.0,13616477.0,2485165.0,5166569.0,16827057.0,85188.0,-815242.0,5087708.0,,,676632.0
LIQT,2011-12-31,False,FY,2011,10-K,21192177.0,1097073.0,917211.0,0.06,0.06,0.0,17994783.0,11160732.0,9282529.0,1033057.0,6743419.0,5148.0,-946640.0,1742613.0,,,1572300.0
LIQT,2012-09-30,False,Q3,2012,10-Q,3115471.0,-667315.0,-427872.0,-0.02,-0.02,0.0,20446658.0,13503914.0,2602585.0,3710067.0,16617212.0,-1230291.0,-1185283.0,5063947.0,,,1043195.0
LIQT,2012-12-31,False,FY,2012,10-K,16921838.0,-3894083.0,-2773890.0,-0.12,-0.12,0.0,19040149.0,11826816.0,3757221.0,3873338.0,14553361.0,-478077.0,-1743151.0,5001650.0,,,1491374.0
LIQT,2014-03-31,False,Q1,2014,10-Q,3197502.0,-1108080.0,-755435.0,-0.03,-0.03,0.0,19242603.0,11167502.0,4147762.0,3729115.0,14589473.0,-932443.0,-141680.0,-55465.0,,,141680.0
LIQT,2013-09-30,False,Q3,2013,10-Q,2949605.0,-1317721.0,-903956.0,-0.04,-0.04,0.0,16763761.0,9271041.0,2926157.0,1562652.0,13244192.0,-2232414.0,-415645.0,317856.0,,,392555.0
LIQT,2013-06-30,False,Q2,2013,10-Q,2805921.0,-1819668.0,-1308102.0,-0.05,-0.05,0.0,16723176.0,9401884.0,2774918.0,2066280.0,13325762.0,-1410348.0,-280802.0,-106568.0,,,263433.0
LIQT,2014-12-31,False,FY,2014,10-K,14561192.0,-5191512.0,-3066068.0,-0.09,-0.09,0.0,31425539.0,14662319.0,4091910.0,5853752.0,26965015.0,-5733674.0,-2331116.0,10451991.0,0.0,8460512.0,456432.0
LIQT,2015-03-31,False,Q1,2015,10-Q,2104501.0,-1791151.0,-1171412.0,-0.03,-0.03,0.0,26402839.0,10970631.0,2679656.0,3079788.0,23450310.0,-1419345.0,-92075.0,-93002.0,0.0,7459659.0,92075.0
LIQT,2014-09-30,False,Q3,2014,10-Q,4931406.0,-167079.0,347504.0,0.01,0.01,0.0,33637871.0,17487560.0,3637132.0,6736113.0,29564151.0,-3708770.0,-2065124.0,8854104.0,2406.0,7980327.0,190440.0
LIQT,2014-06-30,False,Q2,2014,10-Q,3973687.0,-1053625.0,-762136.0,-0.03,-0.03,0.0,17606321.0,9475345.0,3164430.0,1265367.0,13983714.0,-3241864.0,-183008.0,-112516.0,,,183008.0
LIQT,2013-12-31,False,FY,2013,10-K,12826168.0,-6219703.0,-4827477.0,-0.19,-0.19,0.0,20235348.0,12239110.0,4546441.0,4884275.0,15134547.0,-2141354.0,-648495.0,3675180.0,,,628905.0
BMOM,2011-06-30,False,Q2,2011,10-Q,0.0,-6008.0,-6167.0,0.0,0.0,0.0,252.0,252.0,15570.0,252.0,-23318.0,-8173.0,0.0,133325.0,,,0.0
LIQT,2015-09-30,False,Q3,2015,10-Q,6933197.0,734630.0,621438.0,0.02,0.02,0.0,27566095.0,11606261.0,4273094.0,2347656.0,23089307.0,-2153496.0,-409093.0,42726.0,,7777704.0,409093.0
LIQT,2017-06-30,False,Q2,2017,10-Q,2926200.0,-977404.0,-1192395.0,-0.03,-0.03,0.0,11764866.0,9190420.0,5201651.0,1280670.0,6506929.0,-1829759.0,-60330.0,1711840.0,50775.0,,70679.0
LIQT,2018-03-31,False,Q1,2018,10-Q,2391382.0,-1401219.0,-1533289.0,-0.03,-0.03,0.0,10015140.0,7862480.0,4383170.0,827120.0,5631970.0,-1762624.0,-59937.0,-12320.0,,,59937.0
LIQT,2018-06-30,False,Q2,2018,10-Q,3598028.0,-562665.0,-263526.0,-0.004,-0.004,0.0,14127724.0,12132102.0,3518469.0,4491500.0,10609255.0,-3331347.0,-82992.0,5850367.0,,,82992.0
LIQT,2016-03-31,False,Q1,2016,10-Q,3629968.0,-956968.0,-3753695.0,-0.1,-0.1,0.0,23171151.0,10579184.0,3245572.0,1316540.0,19732244.0,-287396.0,-51942.0,-39171.0,68819.0,7913179.0,51942.0
LIQT,2015-06-30,False,Q2,2015,10-Q,1701055.0,-2274423.0,-1793907.0,-0.05,-0.05,0.0,26933017.0,10702220.0,4157886.0,3101453.0,22530994.0,-1860865.0,-142113.0,80467.0,,7767439.0,142113.0
LIQT,2015-12-31,False,FY,2015,10-K,15812587.0,-3399479.0,-2209857.0,-0.06,-0.06,0.0,28073546.0,12983004.0,5340690.0,1370591.0,22567284.0,-2090964.0,-592656.0,-223072.0,,7582749.0,576278.0
LIQT,2017-12-31,False,FY,2017,10-K,11343177.0,-4607255.0,-4460353.0,-0.11,-0.11,0.0,11679938.0,9427697.0,4767821.0,2486199.0,6912117.0,-3315362.0,-123673.0,4104700.0,,,137674.0
LIQT,2016-09-30,False,Q3,2016,10-Q,3689511.0,-898575.0,-937628.0,-0.02,-0.02,0.0,23035796.0,11497267.0,4534050.0,237683.0,18332572.0,-1102679.0,-129411.0,-133776.0,60434.0,7757433.0,129411.0
LIQT,2017-03-31,False,Q1,2017,10-Q,2968074.0,-948118.0,-773270.0,-0.02,-0.02,0.0,10814130.0,8057085.0,5312463.0,515467.0,5443853.0,-512322.0,-48601.0,-31292.0,51065.0,,58950.0
LIQT,2017-09-30,False,Q3,2017,10-Q,2456484.0,-1416697.0,-1479425.0,-0.03,-0.03,0.0,10496305.0,8065285.0,5248572.0,528566.0,5194158.0,-2700581.0,-82123.0,1707690.0,48582.0,,94950.0
LIQT,2016-12-31,False,FY,2016,10-K,13906394.0,-13134804.0,-16418634.0,-0.45,-0.45,0.0,11412328.0,8506321.0,5008743.0,1208650.0,6269748.0,415794.0,-373740.0,-202619.0,,,373740.0
