symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
LL,2013-03-31,False,Q1,2013,10-Q,230419000.0,25408000.0,15781000.0,0.58,0.57,0.0,357204000.0,298239000.0,93896000.0,72728000.0,251411000.0,11064000.0,-2589000.0,369000.0,,9693000.0,
LL,2018-09-30,False,Q3,2018,10-Q,270469000.0,6695000.0,5923000.0,0.21,0.21,0.0,443235000.0,336448000.0,177878000.0,11831000.0,203507000.0,-25829000.0,-10098000.0,27225000.0,,9693000.0,
LL,2012-03-31,False,Q1,2012,10-Q,188034000.0,13318000.0,8197000.0,0.29,0.29,0.0,326422000.0,268550000.0,100474000.0,61436000.0,217012000.0,10337000.0,-3180000.0,-7506000.0,,9693000.0,
LL,2011-06-30,False,Q2,2011,10-Q,175460000.0,8673000.0,5287000.0,0.19,0.19,0.0,273807000.0,229742000.0,71868000.0,33356000.0,196869000.0,3453000.0,-8297000.0,3390000.0,,,
LL,2012-09-30,False,Q3,2012,10-Q,204291000.0,20751000.0,12882000.0,0.47,0.46,0.0,307379000.0,249388000.0,75031000.0,40065000.0,222590000.0,16936000.0,-9570000.0,-29177000.0,,9693000.0,
LL,2011-09-30,False,Q3,2011,10-Q,171993000.0,10921000.0,6735000.0,0.24,0.24,0.0,264209000.0,210211000.0,53796000.0,37817000.0,204389000.0,16017000.0,-16362000.0,3386000.0,,9523000.0,
LL,2013-06-30,False,Q2,2013,10-Q,257111000.0,33087000.0,20422000.0,0.74,0.73,0.0,396538000.0,336350000.0,107912000.0,84664000.0,276503000.0,23738000.0,-6767000.0,3901000.0,,9693000.0,
LL,2011-12-31,False,FY,2011,10-K,681587000.0,42438000.0,26256000.0,0.95,0.93,0.0,294854000.0,237969000.0,70721000.0,61675000.0,215084000.0,44101000.0,-21713000.0,4511000.0,,9693000.0,
LL,2012-12-31,False,FY,2012,10-K,813327000.0,78346000.0,47064000.0,1.71,1.68,0.0,347387000.0,288145000.0,101027000.0,64167000.0,234541000.0,47269000.0,-13376000.0,-31851000.0,,9693000.0,
LL,2014-06-30,False,Q2,2014,10-Q,263085000.0,27172000.0,16607000.0,0.61,0.6,0.0,454563000.0,342564000.0,129329000.0,48062000.0,310298000.0,28088000.0,-28269000.0,-32627000.0,,9693000.0,
LL,2014-03-31,False,Q1,2014,10-Q,246291000.0,22421000.0,13694000.0,0.5,0.49,0.0,433041000.0,343241000.0,106195000.0,76065000.0,312348000.0,22295000.0,-14384000.0,-12351000.0,,9693000.0,
LL,2012-06-30,False,Q2,2012,10-Q,210347000.0,19795000.0,12177000.0,0.44,0.43,0.0,311659000.0,253866000.0,90589000.0,31521000.0,211553000.0,2452000.0,-6675000.0,-26080000.0,,9693000.0,
LL,2013-09-30,False,Q3,2013,10-Q,254278000.0,33267000.0,20399000.0,0.74,0.73,0.0,410446000.0,342309000.0,102758000.0,84194000.0,295342000.0,36702000.0,-17261000.0,898000.0,,9693000.0,
LL,2014-12-31,False,FY,2014,10-K,1047419000.0,104073000.0,63371000.0,2.32,2.31,0.0,493462000.0,357277000.0,144247000.0,20287000.0,332054000.0,57087000.0,-71138000.0,-46156000.0,,9693000.0,
LL,2013-12-31,False,FY,2013,10-K,1000240000.0,126023000.0,77395000.0,2.82,2.77,0.0,429559000.0,352207000.0,107000000.0,80634000.0,309329000.0,53000000.0,-28585000.0,-7443000.0,,9693000.0,
LL,2014-09-30,False,Q3,2014,10-Q,266067000.0,25781000.0,15725000.0,0.58,0.58,0.0,452534000.0,322698000.0,124000000.0,10788000.0,313226000.0,32434000.0,-56214000.0,-46578000.0,,9693000.0,
LL,2015-03-31,False,Q1,2015,10-Q,259961000.0,-5833000.0,-7780000.0,-0.29,-0.29,0.0,506027000.0,365522000.0,143662000.0,43889000.0,325210000.0,13157000.0,-8980000.0,19661000.0,,9693000.0,
LL,2016-03-31,False,Q1,2016,10-Q,233513000.0,-41127000.0,-32402000.0,-1.2,-1.2,0.0,478972000.0,348370000.0,178060000.0,21973000.0,246638000.0,-8199000.0,-2409000.0,4920000.0,,9693000.0,
LL,2015-06-30,False,Q2,2015,10-Q,247944000.0,-28267000.0,-20347000.0,-0.75,-0.75,0.0,481264000.0,341957000.0,136372000.0,45266000.0,304250000.0,19220000.0,-14251000.0,19555000.0,,9693000.0,
LL,2017-03-31,False,Q1,2017,10-Q,248389000.0,-25415000.0,-26372000.0,-0.93,-0.93,0.0,478996000.0,353690000.0,177885000.0,10971000.0,206134000.0,-29759000.0,-2502000.0,32330000.0,,9693000.0,
