symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
LRY,2010-06-30,False,Q2,2010,10-Q,184978000.0,71477000.0,33445000.0,0.3,0.29,0.475,4953092000.0,,,39541000.0,2451126000.0,148208000.0,-20767000.0,-322018000.0,352019000.0,,49316000.0
LRY,2010-09-30,False,Q3,2010,10-Q,188837000.0,72113000.0,34644000.0,0.31,0.3,0.475,5086039000.0,,,111941000.0,2446976000.0,221278000.0,-80493000.0,-265034000.0,338405000.0,,90982000.0
LRY,2011-03-31,False,Q1,2011,10-Q,178608000.0,63519000.0,28909000.0,0.25,0.25,0.475,4984669000.0,,,32711000.0,2430546000.0,78029000.0,-33822000.0,-121377000.0,295120000.0,,19058000.0
LRY,2011-06-30,False,Q2,2011,10-Q,174909000.0,67869000.0,84978000.0,0.74,0.74,0.475,4846371000.0,,,49895000.0,2475465000.0,166715000.0,112505000.0,-339232000.0,,,34151000.0
LRY,2010-12-31,False,FY,2010,10-K,746830000.0,280145000.0,127762000.0,1.13,1.12,0.0,5062833000.0,,,108409000.0,2438552000.0,298957000.0,-110154000.0,-315842000.0,320679000.0,,123839000.0
LRY,2018-12-31,False,FY,2018,10-K,704889000.0,,479607000.0,3.26,3.24,1.6,6934394000.0,,,84923000.0,3396772000.0,383466000.0,-255093000.0,-55548000.0,411846000.0,,497616000.0
LRY,2012-06-30,False,Q2,2012,10-Q,169199000.0,61892000.0,34111000.0,0.29,0.29,0.475,5008312000.0,,,154122000.0,2231900000.0,160650000.0,38203000.0,-63948000.0,2473813000.0,,29294000.0
LRY,2012-03-31,False,Q1,2012,10-Q,169937000.0,60144000.0,37089000.0,0.32,0.32,0.475,5015294000.0,,,27650000.0,2338769000.0,92722000.0,-67059000.0,-18322000.0,2075359000.0,,13243000.0
LRY,2013-03-31,False,Q1,2013,10-Q,176573000.0,58299000.0,71239000.0,0.6,0.6,0.475,5146673000.0,,,54434000.0,2276990000.0,92204000.0,30718000.0,-103300000.0,2563813000.0,,6794000.0
LRY,2014-03-31,False,Q1,2014,10-Q,197615000.0,59458000.0,71900000.0,0.49,0.49,0.475,6762664000.0,,,370553000.0,3121296000.0,73692000.0,194950000.0,-61714000.0,,,37635000.0
LRY,2011-09-30,False,Q3,2011,10-Q,175179000.0,63538000.0,35320000.0,0.31,0.31,0.475,4855628000.0,,,24416000.0,2463811000.0,238432000.0,104059000.0,-426499000.0,,,124823000.0
LRY,2013-09-30,False,Q3,2013,10-Q,0.0,62799000.0,28699000.0,0.21,0.21,0.475,6451000000.0,,,1124570000.0,3072173000.0,215036000.0,-199155000.0,1070579000.0,2707985000.0,,161404000.0
LRY,2014-06-30,False,Q2,2014,10-Q,192959000.0,62470000.0,29249000.0,0.2,0.2,0.475,6731739000.0,,,228678000.0,3102679000.0,147350000.0,39193000.0,-122472000.0,,,90837000.0
LRY,2013-06-30,False,Q2,2013,10-Q,178104000.0,61945000.0,40109000.0,0.33,0.33,0.475,5247792000.0,,,61679000.0,2260994000.0,146409000.0,-102079000.0,-17492000.0,2566229000.0,,133500000.0
LRY,2015-09-30,False,Q3,2015,10-Q,198972000.0,70274000.0,91331000.0,1.22,1.22,0.475,6689793000.0,,,48652000.0,3007109000.0,299673000.0,-188618000.0,-130246000.0,300000000.0,,100756000.0
LRY,2016-03-31,False,Q1,2016,10-Q,190140000.0,61243000.0,57554000.0,0.78,0.78,0.475,6518298000.0,,,43663000.0,2961848000.0,96811000.0,26443000.0,-114391000.0,260000000.0,,8000000.0
LRY,2016-06-30,False,Q2,2016,10-Q,186654000.0,67533000.0,49627000.0,0.68,0.68,0.475,6584868000.0,,,29340000.0,2932447000.0,176926000.0,-114460000.0,-66267000.0,395000000.0,,8000000.0
LRY,2011-12-31,False,FY,2011,10-K,667594000.0,245991000.0,183999000.0,1.6,1.59,1.9,4989673000.0,,,18204000.0,2459756000.0,317724000.0,-56223000.0,-351513000.0,2222862000.0,,233568000.0
LRY,2015-03-31,False,Q1,2015,10-Q,206901000.0,51829000.0,30951000.0,0.42,0.42,0.475,6564504000.0,,,38755000.0,3054212000.0,89976000.0,-34862000.0,-83981000.0,50000000.0,,0.0
LRY,2015-06-30,False,Q2,2015,10-Q,203518000.0,70185000.0,35513000.0,0.48,0.48,0.475,6556730000.0,,,73053000.0,3045267000.0,173097000.0,-42122000.0,-126531000.0,70000000.0,,36714000.0
