symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
LTS,2012-06-30,False,Q2,2012,10-Q,163385000.0,-5586000.0,-4983000.0,-0.03,-0.03,0.0,340345000.0,,,22298000.0,57783000.0,1863000.0,-2795000.0,602000.0,199073000.0,90193000.0,2795000.0
LTS,2011-12-31,False,FY,2011,10-K,273600000.0,,3893000.0,0.02,0.02,0.0,347145000.0,,,22628000.0,63443000.0,-36222000.0,-127074000.0,178997000.0,197184000.0,91161000.0,1439000.0
LTS,2012-09-30,False,Q3,2012,10-Q,159834000.0,-6538000.0,-6037000.0,-0.03,-0.03,0.0,333836000.0,,,24199000.0,52665000.0,4711000.0,-3652000.0,512000.0,199616000.0,90174000.0,3652000.0
LTS,2012-03-31,False,Q1,2012,10-Q,154715000.0,-7926000.0,-2979000.0,-0.02,-0.02,0.0,339345000.0,,,18887000.0,61991000.0,-4149000.0,-701000.0,1109000.0,198630000.0,90213000.0,701000.0
LTS,2011-09-30,False,Q3,2011,10-Q,48898000.0,,-3070000.0,-0.02,-0.02,0.0,100792000.0,,,10627000.0,46353000.0,1153000.0,-138000.0,2685000.0,30051000.0,29708000.0,188000.0
LTS,2013-03-31,False,Q1,2013,10-Q,187305000.0,623000.0,136000.0,0.0,0.0,0.0,340046000.0,,,38293000.0,52938000.0,3140000.0,-912000.0,631000.0,135000000.0,90559000.0,912000.0
LTS,2011-06-30,False,Q2,2011,10-Q,60231000.0,,200000.0,0.0,0.0,0.0,109560000.0,,,9190000.0,49050000.0,-1160000.0,-59000.0,3482000.0,31958000.0,29711000.0,109000.0
LTS,2018-09-30,False,Q3,2018,10-Q,348875000.0,12711000.0,930000.0,0.0,0.0,0.0125,800591000.0,,,262834000.0,386352000.0,61363000.0,-12192000.0,47389000.0,185199000.0,125966000.0,10503000.0
LTS,2012-12-31,False,FY,2012,10-K,650111000.0,-22003000.0,-16354000.0,-0.09,-0.09,0.0,338129000.0,,,35434000.0,51221000.0,7648000.0,-5930000.0,2119000.0,197979000.0,90578000.0,5477000.0
LTS,2013-06-30,False,Q2,2013,10-Q,193869000.0,-4776000.0,-6551000.0,-0.04,-0.04,0.0,356613000.0,,,43900000.0,175291000.0,744000.0,-3037000.0,-10759000.0,135000000.0,90540000.0,3037000.0
LTS,2013-12-31,False,FY,2013,10-K,793116000.0,2525000.0,-7365000.0,-0.04,-0.04,0.0,360820000.0,,,50329000.0,193361000.0,20874000.0,-7023000.0,1044000.0,135000000.0,90501000.0,6861000.0
LTS,2013-09-30,False,Q3,2013,10-Q,200489000.0,2958000.0,-477000.0,0.0,0.0,0.0,354835000.0,,,50874000.0,183670000.0,16206000.0,-4856000.0,4090000.0,135000000.0,90520000.0,4606000.0
LTS,2014-03-31,False,Q1,2014,10-Q,211818000.0,4845000.0,1060000.0,0.01,0.01,0.0,368427000.0,,,48529000.0,209975000.0,-36000.0,-1937000.0,173000.0,135000000.0,90481000.0,2037000.0
LTS,2014-06-30,False,Q2,2014,10-Q,220753000.0,3690000.0,-766000.0,0.0,0.0,0.0,398912000.0,,,83741000.0,242831000.0,9791000.0,-4625000.0,28246000.0,33477000.0,90462000.0,4725000.0
LTS,2016-09-30,False,Q3,2016,10-Q,274323000.0,-6839000.0,-15294000.0,-0.08,-0.08,0.0,543756000.0,,,105989000.0,351296000.0,5601000.0,-6190000.0,-12099000.0,48364000.0,125911000.0,4998000.0
LTS,2015-09-30,False,Q3,2015,10-Q,282214000.0,-3149000.0,-10215000.0,-0.06,-0.06,0.0,563290000.0,,,114548000.0,385056000.0,2579000.0,-26487000.0,35369000.0,6171000.0,125877000.0,6674000.0
LTS,2015-06-30,False,Q2,2015,10-Q,296748000.0,-2833000.0,-9621000.0,-0.05,-0.05,0.0,578500000.0,,,124548000.0,397456000.0,-1527000.0,-23988000.0,46976000.0,6627000.0,125655000.0,4789000.0
LTS,2015-03-31,False,Q1,2015,10-Q,278823000.0,-5323000.0,-9884000.0,-0.05,-0.05,0.0,572753000.0,,,122773000.0,398537000.0,-10677000.0,-19489000.0,49852000.0,62627000.0,124734000.0,2390000.0
LTS,2014-09-30,False,Q3,2014,10-Q,223732000.0,-571000.0,7955000.0,0.04,0.04,0.0,493332000.0,,,94952000.0,314876000.0,-60000.0,-9140000.0,53823000.0,33477000.0,106926000.0,5887000.0
LTS,2014-12-31,False,FY,2014,10-K,921253000.0,9994000.0,16189000.0,0.09,0.08,0.0,510758000.0,,,103087000.0,336460000.0,26855000.0,-16613000.0,42516000.0,25076000.0,115238000.0,7447000.0
LTS,2015-12-31,False,FY,2015,10-K,1152118000.0,-11750000.0,-39259000.0,-0.21,-0.21,0.0,574358000.0,,,118677000.0,376031000.0,19319000.0,-28211000.0,24482000.0,15378000.0,125572000.0,8298000.0
LTS,2016-06-30,False,Q2,2016,10-Q,269775000.0,-1527000.0,-25176000.0,-0.14,-0.14,0.0,532071000.0,,,96739000.0,350481000.0,-1656000.0,-3700000.0,-16582000.0,50683000.0,125533000.0,3700000.0
LTS,2016-03-31,False,Q1,2016,10-Q,265796000.0,-6328000.0,-4943000.0,-0.03,-0.03,0.0,541706000.0,,,96529000.0,370216000.0,-8920000.0,-1839000.0,-11389000.0,52333000.0,125552000.0,1839000.0
LTS,2017-09-30,False,Q3,2017,10-Q,322309000.0,4660000.0,-4750000.0,-0.02,-0.02,0.01,552615000.0,,,100739000.0,358829000.0,16448000.0,-7187000.0,-7452000.0,28182000.0,124211000.0,7258000.0
LTS,2017-06-30,False,Q2,2017,10-Q,311536000.0,1250000.0,-6625000.0,-0.03,-0.03,0.0,538288000.0,,,88852000.0,357120000.0,-3708000.0,-4455000.0,-1915000.0,30573000.0,124031000.0,4706000.0
LTS,2016-12-31,False,FY,2016,10-K,1106953000.0,-12070000.0,-52707000.0,-0.29,-0.29,0.0,546003000.0,,,98930000.0,362501000.0,14246000.0,-11229000.0,-22764000.0,10769000.0,124031000.0,7132000.0
LTS,2017-12-31,False,FY,2017,10-K,1268152000.0,1161000.0,-24785000.0,-0.13,-0.13,0.01,632025000.0,,,172103000.0,370391000.0,16215000.0,-9824000.0,66782000.0,612000.0,124210000.0,9896000.0
LTS,2017-03-31,False,Q1,2017,10-Q,290291000.0,-4670000.0,-11598000.0,-0.06,-0.06,0.0,524048000.0,,,75643000.0,352159000.0,-10823000.0,-2393000.0,-10071000.0,24563000.0,124031000.0,2393000.0
LTS,2018-03-31,False,Q1,2018,10-Q,329384000.0,7697000.0,-3045000.0,-0.02,-0.02,0.0,684155000.0,,,145417000.0,390249000.0,-15164000.0,-2239000.0,-9283000.0,98997000.0,124210000.0,2239000.0
LTS,2018-06-30,False,Q2,2018,10-Q,357756000.0,13934000.0,794000.0,0.0,0.0,0.01,747890000.0,,,204847000.0,390498000.0,26003000.0,-6605000.0,19175000.0,136171000.0,124210000.0,6605000.0
