symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
LXP,2011-06-30,False,Q2,2011,10-Q,82675000.0,,-50539000.0,-0.3,-0.3,0.0,3239626000.0,,,64149000.0,1329330000.0,79432000.0,-43692000.0,-24235000.0,1415968000.0,,70372000.0
LXP,2011-03-31,False,Q1,2011,10-Q,83269000.0,,-23638000.0,-0.16,-0.21,0.0,3222570000.0,,,76928000.0,1318300000.0,39394000.0,53705000.0,-68815000.0,1413434000.0,,14162000.0
LXP,2018-09-30,False,Q3,2018,10-Q,99958000.0,,216190000.0,0.91,0.9,0.0,3171940000.0,,,128444000.0,1397001000.0,169656000.0,577450000.0,-467275000.0,193050000.0,,11349000.0
LXP,2011-09-30,False,Q3,2011,10-Q,84048000.0,,-37048000.0,-0.23,-0.23,0.0,3163779000.0,,,71499000.0,1275988000.0,118842000.0,-36479000.0,-63508000.0,1400486000.0,,97183000.0
LXP,2011-12-31,False,FY,2011,10-K,326914000.0,,-103721000.0,-0.42,-0.42,0.46,3078048000.0,,,63711000.0,1221431000.0,180137000.0,-24813000.0,-144257000.0,1366004000.0,,127992000.0
LXP,2012-03-31,False,Q1,2012,10-Q,82735000.0,,-2187000.0,-0.01,-0.01,0.0,3046520000.0,,,49884000.0,1202906000.0,43798000.0,-23234000.0,-34391000.0,1417341000.0,,29172000.0
LXP,2013-03-31,False,Q1,2013,10-Q,97067000.0,,-2620000.0,-0.07,-0.07,0.0,3534926000.0,,,111404000.0,1641554000.0,57132000.0,-112676000.0,132924000.0,1268654000.0,,17372000.0
LXP,2012-09-30,False,Q3,2012,10-Q,87655000.0,,168950000.0,1.05,0.96,0.0,3386532000.0,,,72424000.0,1175155000.0,120453000.0,-9504000.0,-110343000.0,1450457000.0,,34693000.0
LXP,2012-06-30,False,Q2,2012,10-Q,83930000.0,,-3392000.0,-0.02,-0.02,0.0,3017946000.0,,,50189000.0,1080528000.0,80851000.0,-16912000.0,-77461000.0,1263228000.0,,16271000.0
LXP,2012-12-31,False,FY,2012,10-K,344879000.0,,156849000.0,0.99,0.93,0.525,3418203000.0,,,34024000.0,1333165000.0,163810000.0,-142210000.0,-59394000.0,1415961000.0,,98083000.0
LXP,2013-09-30,False,Q3,2013,10-Q,97946000.0,,2978000.0,0.01,0.01,0.15,3452863000.0,,,86182000.0,1454739000.0,155084000.0,-182115000.0,79189000.0,1029838000.0,,38067000.0
LXP,2014-03-31,False,Q1,2014,10-Q,112199000.0,,-839000.0,0.0,0.0,0.0,3801175000.0,,,46050000.0,1508251000.0,59942000.0,-112390000.0,21237000.0,1145212000.0,,3051000.0
LXP,2013-06-30,False,Q2,2013,10-Q,99413000.0,,-849000.0,-0.04,0.0,0.0,3444274000.0,,,74278000.0,1475547000.0,95158000.0,-111487000.0,56583000.0,1043934000.0,,33532000.0
LXP,2014-06-30,False,Q2,2014,10-Q,109756000.0,,12742000.0,0.05,0.05,0.0,3837670000.0,,,129104000.0,1486061000.0,103721000.0,-121231000.0,69353000.0,1012537000.0,,5403000.0
LXP,2013-12-31,False,FY,2013,10-K,398440000.0,,-14089000.0,-0.07,-0.07,0.6,3772281000.0,,,77261000.0,1539483000.0,206304000.0,-597583000.0,434516000.0,1651489000.0,,447571000.0
LXP,2014-09-30,False,Q3,2014,10-Q,109513000.0,,38720000.0,0.17,0.17,0.0,3839626000.0,,,109337000.0,1499975000.0,165547000.0,-160317000.0,26846000.0,1005205000.0,,9434000.0
LXP,2015-03-31,False,Q1,2015,10-Q,108588000.0,,31829000.0,0.14,0.14,0.0,3826958000.0,,,54821000.0,1506479000.0,57921000.0,-233126000.0,38949000.0,901328000.0,,1717000.0
LXP,2015-06-30,False,Q2,2015,10-Q,110333000.0,,47654000.0,0.2,0.2,0.0,3807997000.0,,,64382000.0,1527091000.0,112509000.0,-212151000.0,-27053000.0,865860000.0,,5343000.0
LXP,2015-09-30,False,Q3,2015,10-Q,105438000.0,,-7629000.0,-0.03,-0.03,0.0,3652625000.0,,,86269000.0,1468070000.0,181475000.0,-172846000.0,-113437000.0,804238000.0,,18744000.0
LXP,2016-03-31,False,Q1,2016,10-Q,111616000.0,,48107000.0,0.21,0.21,0.0,3826060000.0,,,80894000.0,1463546000.0,59221000.0,-32981000.0,-38595000.0,922320000.0,,1325000.0
LXP,2015-12-31,False,FY,2015,10-K,430839000.0,,105100000.0,0.45,0.45,0.68,3830235000.0,,,93249000.0,1462531000.0,244930000.0,-388271000.0,45513000.0,1573325000.0,,349926000.0
LXP,2014-12-31,False,FY,2014,10-K,424372000.0,,86324000.0,0.38,0.38,0.67,3777894000.0,,,191077000.0,1508920000.0,214672000.0,-43068000.0,-57788000.0,1450216000.0,,122395000.0
LXP,2016-09-30,False,Q3,2016,10-Q,106331000.0,,-26653000.0,-0.11,-0.11,0.0,3449951000.0,,,117791000.0,1416242000.0,180583000.0,29300000.0,-185341000.0,169444000.0,,3267000.0
LXP,2016-06-30,False,Q2,2016,10-Q,109577000.0,,46830000.0,0.2,0.2,0.0,3724733000.0,,,59776000.0,1471117000.0,116920000.0,13722000.0,-164115000.0,379082000.0,,1256000.0
LXP,2017-06-30,False,Q2,2017,10-Q,95684000.0,,5519000.0,0.02,0.02,0.0,3366803000.0,,,93279000.0,1396125000.0,105966000.0,4752000.0,-104076000.0,168737000.0,,8548000.0
LXP,2017-09-30,False,Q3,2017,10-Q,97689000.0,,3916000.0,0.02,0.02,0.0,3595156000.0,,,140545000.0,1359495000.0,172581000.0,-234551000.0,115878000.0,168490000.0,,13367000.0
LXP,2017-03-31,False,Q1,2017,10-Q,96099000.0,,40397000.0,0.17,0.17,0.0,3446705000.0,,,177301000.0,1429994000.0,57438000.0,67286000.0,-34060000.0,168914000.0,,3330000.0
LXP,2016-12-31,False,FY,2016,10-K,429496000.0,,89109000.0,0.38,0.37,0.685,3441467000.0,,,86637000.0,1412491000.0,235273000.0,-10187000.0,-231698000.0,315616000.0,,167797000.0
LXP,2017-12-31,False,FY,2017,10-K,391641000.0,,79067000.0,0.33,0.33,0.7,3553020000.0,,,107762000.0,1340835000.0,227761000.0,-259116000.0,52480000.0,370581000.0,,558571000.0
LXP,2018-03-31,False,Q1,2018,10-Q,102637000.0,,-15957000.0,-0.07,-0.07,0.0,3411996000.0,,,90214000.0,1274384000.0,56221000.0,51237000.0,-121921000.0,212965000.0,,6727000.0
LXP,2018-06-30,False,Q2,2018,10-Q,105493000.0,,-3327000.0,-0.01,-0.01,0.0,3476191000.0,,,75373000.0,1229296000.0,110881000.0,-22017000.0,-54083000.0,238285000.0,,10566000.0
