symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
LYV,2011-03-31,False,Q1,2011,10-Q,849409000.0,-72161000.0,-48460000.0,-0.27,-0.27,0.0,5475252000.0,1847594000.0,1825877000.0,987186000.0,1599993000.0,127768000.0,-24192000.0,-45370000.0,,1244912000.0,18211000.0
LYV,2012-09-30,False,Q3,2012,10-Q,1963146000.0,104515000.0,57948000.0,0.31,0.31,0.0,5432248000.0,1842368000.0,1737980000.0,783671000.0,1663221000.0,89039000.0,-167804000.0,4809000.0,,1338599000.0,92372000.0
LYV,2012-03-31,False,Q1,2012,10-Q,867997000.0,-42803000.0,-69150000.0,-0.37,-0.37,0.0,5549739000.0,2032809000.0,2012753000.0,1071412000.0,1575494000.0,264772000.0,-32170000.0,-20530000.0,,1277732000.0,28017000.0
LYV,2011-06-30,False,Q2,2011,10-Q,1558882000.0,52373000.0,13257000.0,0.07,0.07,0.0,5652228000.0,2035491000.0,1937619000.0,1003960000.0,1689112000.0,132665000.0,-57091000.0,-10069000.0,,1260759000.0,44651000.0
LYV,2012-06-30,False,Q2,2012,10-Q,1550677000.0,42968000.0,7692000.0,0.04,0.04,0.0,5748425000.0,2175863000.0,2170636000.0,1005039000.0,1550650000.0,310128000.0,-138557000.0,-3737000.0,,1313800000.0,62785000.0
LYV,2013-09-30,False,Q3,2013,10-Q,2262236000.0,126037000.0,43774000.0,0.22,0.22,0.0,5775560000.0,2364550000.0,2233751000.0,1302578000.0,1652582000.0,264538000.0,-42490000.0,83700000.0,,1397471000.0,103577000.0
LYV,2013-03-31,False,Q1,2013,10-Q,923698000.0,-33189000.0,-63239000.0,-0.33,-0.33,0.0,5688283000.0,2319769000.0,2253161000.0,1246415000.0,1431817000.0,270460000.0,-18636000.0,13221000.0,,1328348000.0,25670000.0
LYV,2011-12-31,False,FY,2011,10-K,5383998000.0,18337000.0,-83016000.0,-0.46,-0.46,0.0,5087771000.0,1576790000.0,1492553000.0,844253000.0,1616894000.0,135705000.0,-152017000.0,-44379000.0,1715688000.0,1257644000.0,107500000.0
LYV,2018-12-31,False,FY,2018,10-K,10787800000.0,272536000.0,-17651000.0,-0.09,-0.09,0.0,8496886000.0,3848074000.0,3749866000.0,2371540000.0,1342743000.0,941586000.0,-496909000.0,188784000.0,34700000.0,1822943000.0,239833000.0
LYV,2012-12-31,False,FY,2012,10-K,5819047000.0,-21639000.0,-163227000.0,-0.87,-0.87,0.0,5290806000.0,1812812000.0,1768172000.0,1001055000.0,1508574000.0,367098000.0,-203791000.0,-19891000.0,40400000.0,1357827000.0,123811000.0
LYV,2013-06-30,False,Q2,2013,10-Q,1679513000.0,97806000.0,58130000.0,0.3,0.3,0.0,6082811000.0,2687357000.0,2516549000.0,1385260000.0,1545238000.0,380347000.0,-20742000.0,54011000.0,,1369062000.0,76685000.0
LYV,2014-03-31,False,Q1,2014,10-Q,1127316000.0,-12308000.0,-32448000.0,-0.16,-0.16,0.0,6260175000.0,2711757000.0,2836417000.0,1629142000.0,1573428000.0,365697000.0,-36623000.0,-4752000.0,,1493536000.0,24523000.0
LYV,2011-09-30,False,Q3,2011,10-Q,1790025000.0,104809000.0,51712000.0,0.28,0.27,0.0,5168701000.0,1636801000.0,1438064000.0,782573000.0,1722777000.0,-27541000.0,-87395000.0,-19208000.0,,1247752000.0,69573000.0
