symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MCF,2012-12-31,False,Q2,2013,10-Q,34940000.0,,2604000.0,0.17,0.17,2.0,561106000.0,133573000.0,32672000.0,79487000.0,403929000.0,46946000.0,-61977000.0,-35465000.0,,,68623000.0
MCF,2013-03-31,False,Q3,2013,10-Q,31787000.0,,3869000.0,0.25,0.25,0.0,572939000.0,136859000.0,37967000.0,82606000.0,407798000.0,68760000.0,-80672000.0,-35465000.0,,,73249000.0
MCF,2011-09-30,False,Q1,2012,10-Q,44203000.0,,14904000.0,0.95,0.95,0.0,614948000.0,187989000.0,54534000.0,137448000.0,427995000.0,12589000.0,-11616000.0,-13532000.0,,,29000.0
MCF,2012-03-31,False,Q3,2012,10-Q,41339000.0,,14674000.0,0.96,0.96,0.0,621456000.0,203397000.0,34437000.0,159902000.0,458423000.0,56644000.0,-30003000.0,-16746000.0,,,35000.0
MCF,2012-09-30,False,Q1,2013,10-Q,29765000.0,,-27549000.0,-1.8,-1.8,0.0,618409000.0,187286000.0,61127000.0,137784000.0,436790000.0,17916000.0,-10115000.0,0.0,,,17205000.0
MCF,2011-12-31,False,Q2,2012,10-Q,53907000.0,,19476000.0,1.27,1.27,0.0,621817000.0,208138000.0,44893000.0,152090000.0,444003000.0,32651000.0,-13568000.0,-17000000.0,,,34000.0
MCF,2012-06-30,False,FY,2012,10-K,179272000.0,,58389000.0,3.79,3.79,0.0,624654000.0,175213000.0,34312000.0,129983000.0,464339000.0,73571000.0,-73430000.0,-20165000.0,,,20847000.0
MCF,2013-09-30,False,FY,2013,10-Q,34722000.0,,19740000.0,1.3,1.3,0.0,605372000.0,184235000.0,35067000.0,137508000.0,438894000.0,24672000.0,11351000.0,0.0,175000000.0,,11322000.0
MCF,2013-06-30,False,FY,2013,10-K,127201000.0,,-9720000.0,-0.64,-0.64,0.0,576461000.0,144238000.0,31772000.0,101485000.0,419154000.0,95655000.0,-88688000.0,-35465000.0,45000000.0,,80418000.0
MCF,2014-09-30,False,Q3,2014,10-Q,67552000.0,,3664000.0,0.19,0.19,0.0,871452000.0,43930000.0,97309000.0,,594554000.0,176836000.0,-141334000.0,-35502000.0,104500000.0,,146699000.0
MCF,2014-03-31,False,Q1,2014,10-Q,80257000.0,,-10193000.0,-0.53,-0.53,0.0,880724000.0,48739000.0,115158000.0,0.0,583943000.0,66600000.0,-40429000.0,-26171000.0,85000000.0,,45794000.0
MCF,2014-06-30,False,Q2,2014,10-Q,78419000.0,,4581000.0,0.24,0.24,0.0,887851000.0,45829000.0,109921000.0,,589670000.0,127848000.0,-103906000.0,-23942000.0,105000000.0,,109271000.0
MCF,2013-12-31,True,FY,2013,10-K,164121000.0,,41362000.0,2.56,2.56,0.0,910304000.0,66117000.0,99279000.0,0.0,593050000.0,105037000.0,-34795000.0,-149729000.0,70000000.0,,344000.0
MCF,2013-12-31,False,FY,2013,10-K,44933000.0,,,,,0.0,910304000.0,66117000.0,99280000.0,0.0,593049000.0,58478000.0,-10234000.0,-149729000.0,70000000.0,,342000.0
MCF,2015-06-30,False,Q2,2015,10-Q,35334000.0,,-19528000.0,-1.03,-1.03,0.0,802381000.0,28612000.0,64982000.0,,531945000.0,8751000.0,-56786000.0,48035000.0,89500000.0,,56786000.0
MCF,2015-09-30,False,Q3,2015,10-Q,29035000.0,,-185685000.0,-9.79,-9.79,0.0,537372000.0,30014000.0,53862000.0,,348627000.0,19250000.0,-70389000.0,51139000.0,84500000.0,,70389000.0
MCF,2016-09-30,False,Q3,2016,10-Q,19576000.0,,-12485000.0,-0.55,-0.55,0.0,383660000.0,12679000.0,46471000.0,15500000.0,251455000.0,23596000.0,-19838000.0,-3758000.0,59228000.0,,19849000.0
MCF,2016-12-31,False,FY,2016,10-K,78183000.0,,-58029000.0,-2.71,-2.71,0.0,376514000.0,19054000.0,62889000.0,0.0,236405000.0,32011000.0,-19798000.0,-12213000.0,54400000.0,,24929000.0
MCF,2016-06-30,False,Q2,2016,10-Q,19362000.0,,-17296000.0,-0.9,-0.9,0.0,379460000.0,15256000.0,33071000.0,17600000.0,211765000.0,13077000.0,-7383000.0,-5694000.0,64159000.0,,7383000.0
MCF,2014-12-31,False,FY,2014,10-K,276458000.0,,-21874000.0,-1.15,-1.15,0.0,843415000.0,31040000.0,97015000.0,0.0,567466000.0,209960000.0,-175057000.0,-34903000.0,94500000.0,,180422000.0
