symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
QPSA,2011-12-31,False,FY,2011,10-K,11850852.0,-12168110.0,-12806523.0,,-0.67,0.0,106804696.0,20242474.0,6903614.0,8271787.0,90645574.0,-7742348.0,-11730774.0,14213742.0,,73048084.0,587353.0
MEET,2018-12-31,False,FY,2018,10-K,178613495.0,3862582.0,1143388.0,0.02,0.02,0.0,267852169.0,60425266.0,51504837.0,28365725.0,197220826.0,28596224.0,-2507779.0,-22406755.0,36654540.0,148132873.0,2507779.0
QPSA,2012-03-31,False,Q1,2012,10-Q,10803180.0,-1566697.0,-1858658.0,,-0.05,0.0,106525884.0,20286702.0,7238349.0,8019180.0,90163775.0,322496.0,-537625.0,-44279.0,,73102675.0,527625.0
MEET,2012-12-31,False,FY,2012,10-K,46657959.0,-5368217.0,-10308338.0,-0.18,-0.18,0.0,104434667.0,21749246.0,9755730.0,5022007.0,85522149.0,-832134.0,-787494.0,-1624060.0,12777897.0,70646036.0,720321.0
MEET,2013-06-30,False,Q2,2013,10-Q,9482960.0,-1960415.0,-2099046.0,-0.05,-0.05,0.0,96849871.0,16079360.0,11074335.0,8335444.0,81103472.0,-240204.0,-14187.0,3580345.0,4722545.0,70646036.0,67244.0
MEET,2012-09-30,False,Q3,2012,10-Q,11598432.0,-2323436.0,-2591841.0,-0.07,-0.07,0.0,105136553.0,21610115.0,10009352.0,5476042.0,85944129.0,-656209.0,-573010.0,-1561992.0,5015240.0,70646036.0,492041.0
MEET,2013-03-31,False,Q1,2013,10-Q,7805632.0,-7116394.0,-7327978.0,-0.2,-0.2,0.0,92770102.0,11065848.0,9068193.0,4256525.0,82351735.0,39337.0,-150256.0,-656449.0,6254178.0,70646036.0,164199.0
MEET,2012-06-30,False,Q2,2012,10-Q,13054861.0,-438476.0,-3835917.0,-0.02,-0.02,0.0,105636054.0,21834491.0,9067535.0,5886970.0,87301280.0,-906743.0,-403020.0,-1066337.0,4895388.0,70646036.0,308406.0
MEET,2013-09-30,False,Q3,2013,10-Q,10073309.0,-1266317.0,-1486591.0,-0.04,-0.04,0.0,96340010.0,16638669.0,11244446.0,8682241.0,81112497.0,712978.0,-16946.0,2982677.0,4742480.0,70646036.0,128515.0
MEET,2014-03-31,False,Q1,2014,10-Q,9503504.0,-2648330.0,-3423361.0,-0.09,-0.09,0.0,92460353.0,15035273.0,9074201.0,5786227.0,79528568.0,394149.0,-37156.0,-913380.0,,70646036.0,37156.0
MEET,2013-12-31,False,FY,2013,10-K,40378007.0,-10059803.0,-10898325.0,-0.29,-0.29,0.0,95576240.0,17064594.0,10131719.0,6330532.0,81808050.0,-725257.0,-37495.0,2098146.0,5143771.0,70646036.0,149064.0
MEET,2014-12-31,False,FY,2014,10-K,44817436.0,-3146405.0,-3962165.0,-0.1,-0.1,0.0,103213759.0,26876350.0,9394234.0,17041050.0,92256967.0,4596237.0,-1112487.0,7296985.0,2809806.0,70646036.0,1112487.0
MEET,2014-09-30,False,Q3,2014,10-Q,11604724.0,-600.0,52031.0,0.0,0.0,0.0,100491670.0,24455050.0,7994277.0,15597966.0,90640338.0,1867739.0,-590385.0,8018982.0,,70646036.0,590385.0
