symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MHH,2018-09-30,False,Q3,2018,10-Q,44292000.0,2506000.0,1620000.0,0.15,0.14,0.0,96146000.0,41970000.0,17087000.0,2188000.0,33171000.0,-3273000.0,-800000.0,4159000.0,26700000.0,28106000.0,536000.0
MHH,2011-06-30,False,Q2,2011,10-Q,22115000.0,621000.0,382000.0,0.1,0.1,0.0,18602000.0,17819000.0,5804000.0,5333000.0,12798000.0,-834000.0,-72000.0,-95000.0,,405000.0,72000.0
MHH,2011-09-30,False,Q3,2011,10-Q,23489000.0,728000.0,441000.0,0.12,0.12,0.0,20135000.0,19314000.0,7122000.0,5614000.0,13013000.0,-158000.0,-102000.0,-460000.0,,405000.0,102000.0
MHH,2012-06-30,False,Q2,2012,10-Q,25312000.0,771000.0,458000.0,0.14,0.14,0.0,17847000.0,16872000.0,6339000.0,1687000.0,11508000.0,-1532000.0,-108000.0,-2428000.0,,405000.0,108000.0
MHH,2012-09-30,False,Q3,2012,10-Q,25629000.0,940000.0,601000.0,0.19,0.18,0.0,19949000.0,18989000.0,7698000.0,3253000.0,12251000.0,37000.0,-126000.0,-2413000.0,,405000.0,126000.0
MHH,2012-03-31,False,Q1,2012,10-Q,24454000.0,596000.0,352000.0,0.1,0.1,0.0,18080000.0,17077000.0,7130000.0,2748000.0,10950000.0,-449000.0,-71000.0,-2487000.0,,405000.0,71000.0
MHH,2011-12-31,False,FY,2011,10-K,89362000.0,1861000.0,1113000.0,0.3,0.3,0.0,19788000.0,18903000.0,6741000.0,5755000.0,13047000.0,378000.0,-231000.0,-726000.0,,405000.0,231000.0
MHH,2012-12-31,False,FY,2012,10-K,101838000.0,3516000.0,2139000.0,0.66,0.64,0.0,16420000.0,15391000.0,9533000.0,659000.0,6887000.0,997000.0,-154000.0,-5939000.0,,405000.0,150000.0
MHH,2013-03-31,False,Q1,2013,10-Q,27005000.0,937000.0,575000.0,0.17,0.17,0.0,18137000.0,17100000.0,10568000.0,630000.0,7569000.0,-57000.0,-31000.0,59000.0,,405000.0,29000.0
MHH,2013-06-30,False,Q2,2013,10-Q,28935000.0,1266000.0,789000.0,0.24,0.23,0.0,19439000.0,18388000.0,11061000.0,616000.0,8378000.0,-839000.0,-71000.0,867000.0,,405000.0,75000.0
MHH,2014-09-30,False,Q3,2014,10-Q,28634000.0,1439000.0,879000.0,0.2,0.2,0.0,20385000.0,19423000.0,8194000.0,2548000.0,12191000.0,2816000.0,-424000.0,-268000.0,,,423000.0
MHH,2015-03-31,False,Q1,2015,10-Q,27060000.0,328000.0,195000.0,0.05,0.04,0.0,20518000.0,19360000.0,7404000.0,2853000.0,13114000.0,372000.0,-25000.0,-62000.0,,,57000.0
MHH,2013-09-30,False,Q3,2013,10-Q,28283000.0,1676000.0,1480000.0,0.44,0.43,0.0,19057000.0,18460000.0,9070000.0,1614000.0,9987000.0,2573000.0,932000.0,-2550000.0,,,78000.0
