symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MIDD,2011-10-01,False,Q3,2011,10-Q,218720000.0,37186000.0,23461000.0,1.3,1.26,0.0,1030367000.0,309180000.0,190010000.0,13416000.0,475861000.0,65681000.0,-136140000.0,76312000.0,295250000.0,439700000.0,4880000.0
MIDD,2010-10-02,False,Q3,2010,10-Q,177793000.0,32011000.0,20602000.0,1.16,1.13,0.0,866638000.0,253293000.0,170184000.0,5986000.0,399700000.0,66156000.0,-28756000.0,-39773000.0,,372049000.0,3008000.0
MIDD,2011-12-31,False,FY,2011,10-K,855907000.0,148710000.0,95473000.0,5.3,5.15,0.0,1146512000.0,367383000.0,549617000.0,40216000.0,510969000.0,130393000.0,-188910000.0,91589000.0,317335000.0,477812000.0,7840000.0
MIDD,2012-03-31,False,Q1,2012,10-Q,228823000.0,36660000.0,22095000.0,1.22,1.2,0.0,1151633000.0,365726000.0,522574000.0,28713000.0,539743000.0,10753000.0,-11473000.0,-11506000.0,2800000.0,487290000.0,1584000.0
MIDD,2010-07-03,False,Q2,2010,10-Q,173412000.0,29729000.0,17509000.0,0.98,0.96,0.0,823857000.0,233367000.0,146025000.0,7372000.0,376589000.0,32070000.0,-5026000.0,-27866000.0,,357295000.0,2405000.0
MIDD,2012-06-30,False,Q2,2012,10-Q,260040000.0,45338000.0,31045000.0,1.7,1.67,0.0,1141014000.0,363323000.0,219520000.0,35227000.0,566305000.0,54296000.0,-13724000.0,-45169000.0,1500000.0,484627000.0,3097000.0
MIDD,2011-01-01,False,FY,2010,10-K,719121000.0,122788000.0,72867000.0,4.09,3.97,0.0,873172000.0,263659000.0,183852000.0,7656000.0,424913000.0,97955000.0,-28877000.0,-69874000.0,,369989000.0,3159000.0
MIDD,2011-07-02,False,Q2,2011,10-Q,210855000.0,35248000.0,19628000.0,1.09,1.06,0.0,1019086000.0,311378000.0,182636000.0,21389000.0,462132000.0,29722000.0,-101929000.0,85125000.0,300650000.0,426708000.0,3151000.0
MIDD,2011-04-02,False,Q1,2011,10-Q,182572000.0,31364000.0,17825000.0,1.0,0.97,0.0,881764000.0,273232000.0,155438000.0,9258000.0,435954000.0,-9541000.0,-4728000.0,15700000.0,,370752000.0,1703000.0
MIDD,2012-09-29,False,Q3,2012,10-Q,257699000.0,47429000.0,29769000.0,1.63,1.6,0.0,1194002000.0,384554000.0,233372000.0,35105000.0,606183000.0,93994000.0,-44590000.0,-54921000.0,1500000.0,505183000.0,5963000.0
