symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MKC,2011-05-31,False,Q2,2011,10-Q,883700000.0,109300000.0,73600000.0,0.56,0.55,0.28,3589400000.0,1079600000.0,846500000.0,47900000.0,1642100000.0,36300000.0,-33100000.0,-22400000.0,,1480300000.0,33400000.0
MKC,2012-02-29,False,Q1,2012,10-Q,906700000.0,112500000.0,74500000.0,0.56,0.55,0.31,4079700000.0,1192800000.0,959900000.0,54400000.0,1692600000.0,22500000.0,-14900000.0,-9300000.0,,1697400000.0,15100000.0
MKC,2010-11-30,False,FY,2010,10-K,3336800000.0,509800000.0,370200000.0,2.79,2.75,0.0,3419700000.0,1015900000.0,834800000.0,50800000.0,1462700000.0,387500000.0,-129700000.0,-261100000.0,,1417400000.0,89000000.0
MKC,2011-02-28,False,Q1,2011,10-Q,782800000.0,110600000.0,76800000.0,0.58,0.57,0.28,3477600000.0,1015600000.0,806700000.0,40600000.0,1576500000.0,-23100000.0,-14200000.0,23200000.0,,1455100000.0,14200000.0
MKC,2018-11-30,False,FY,2018,10-K,5408900000.0,903300000.0,933400000.0,7.1,7.0,2.13,10256400000.0,1479900000.0,2001700000.0,96600000.0,3182200000.0,821200000.0,-158500000.0,-751100000.0,4136400000.0,4527900000.0,169100000.0
MKC,2011-08-31,False,Q3,2011,10-Q,920400000.0,128400000.0,92000000.0,0.69,0.69,0.28,3714600000.0,1163300000.0,639500000.0,52200000.0,1720400000.0,85700000.0,-97300000.0,-3900000.0,,1511200000.0,58800000.0
MKC,2012-08-31,False,Q3,2012,10-Q,977700000.0,144200000.0,104400000.0,0.79,0.78,0.31,4057000000.0,1219400000.0,902600000.0,72200000.0,1724000000.0,256300000.0,-61500000.0,-177000000.0,,1667000000.0,62200000.0
MKC,2013-02-28,False,Q1,2013,10-Q,934400000.0,112000000.0,76000000.0,0.57,0.57,0.34,4086100000.0,1211500000.0,1115500000.0,68600000.0,1724800000.0,31600000.0,-11300000.0,-34400000.0,,1693000000.0,12400000.0
MKC,2012-05-31,False,Q2,2012,10-Q,984000000.0,121300000.0,80400000.0,0.61,0.6,0.31,3965700000.0,1167200000.0,900300000.0,61400000.0,1638900000.0,144400000.0,-34900000.0,-100300000.0,,1651800000.0,35200000.0
MKC,2012-11-30,False,FY,2012,10-K,4014200000.0,578300000.0,407800000.0,3.07,3.04,1.24,4165400000.0,1285400000.0,1187600000.0,79000000.0,1700200000.0,455000000.0,-109000000.0,-324300000.0,1031500000.0,1695300000.0,110300000.0
MKC,2011-11-30,False,FY,2011,10-K,3697600000.0,540300000.0,374200000.0,2.82,2.79,1.12,4087800000.0,1222900000.0,993300000.0,53900000.0,1618500000.0,340000000.0,-537500000.0,187800000.0,1035100000.0,1694200000.0,96700000.0
MKC,2013-08-31,False,Q3,2013,10-Q,1016400000.0,148400000.0,104400000.0,0.79,0.78,0.34,4353000000.0,1370900000.0,1054300000.0,146800000.0,1797500000.0,227400000.0,-182000000.0,18900000.0,,1756400000.0,54000000.0
MKC,2013-05-31,False,Q2,2013,10-Q,1002600000.0,116000000.0,78600000.0,0.6,0.59,0.34,4208800000.0,1217500000.0,1226200000.0,72100000.0,1733700000.0,132700000.0,-149400000.0,5600000.0,,1754200000.0,34600000.0
MKC,2010-08-31,False,Q3,2010,10-Q,794600000.0,126000000.0,102400000.0,0.77,0.76,0.26,3264700000.0,955600000.0,798500000.0,23600000.0,1381800000.0,145200000.0,-46400000.0,-112700000.0,,1392100000.0,52500000.0
MKC,2015-02-28,False,Q1,2015,10-Q,1010400000.0,93700000.0,70500000.0,0.55,0.55,0.4,4197500000.0,1304700000.0,1221000000.0,81800000.0,1703900000.0,95900000.0,-15500000.0,-64200000.0,,1651200000.0,15500000.0
MKC,2014-08-31,False,Q3,2014,10-Q,1042800000.0,157300000.0,122900000.0,0.95,0.94,0.37,4472100000.0,1408800000.0,1077600000.0,93800000.0,1970000000.0,275800000.0,-77200000.0,-165600000.0,,1769100000.0,78000000.0
MKC,2014-02-28,False,Q1,2014,10-Q,993400000.0,124600000.0,82500000.0,0.63,0.62,0.37,4429700000.0,1340100000.0,1012100000.0,89400000.0,1987400000.0,76700000.0,-18000000.0,-28600000.0,,1809100000.0,18500000.0
MKC,2014-11-30,False,FY,2014,10-K,4243200000.0,603000000.0,437900000.0,3.37,3.34,1.48,4414300000.0,1416200000.0,1122000000.0,77300000.0,1809400000.0,503600000.0,-131600000.0,-348900000.0,1015300000.0,1722200000.0,132700000.0
MKC,2015-05-31,False,Q2,2015,10-Q,1024100000.0,103800000.0,84300000.0,0.66,0.65,0.4,4378400000.0,1358900000.0,1338800000.0,89500000.0,1735300000.0,185900000.0,-154100000.0,-10300000.0,750000000.0,1719800000.0,42700000.0
MKC,2013-11-30,False,FY,2013,10-K,4123400000.0,550500000.0,389000000.0,2.94,2.91,1.36,4449700000.0,1370200000.0,1063100000.0,63000000.0,1947700000.0,465200000.0,-239700000.0,-245900000.0,1021500000.0,1798500000.0,99900000.0
MKC,2016-05-31,False,Q2,2016,10-Q,1063300000.0,125000000.0,93800000.0,0.74,0.73,0.43,4644300000.0,1402200000.0,1270700000.0,131500000.0,1773500000.0,212700000.0,-171400000.0,-16200000.0,1055800000.0,1837100000.0,54800000.0
MKC,2016-08-31,False,Q3,2016,10-Q,1091000000.0,167800000.0,127700000.0,1.01,1.0,0.43,4716500000.0,1468000000.0,1341200000.0,134200000.0,1774600000.0,322400000.0,-201800000.0,-92200000.0,1058500000.0,1813300000.0,87900000.0
MKC,2014-05-31,False,Q2,2014,10-Q,1033400000.0,121700000.0,84500000.0,0.65,0.64,0.37,4409300000.0,1324700000.0,1002800000.0,81400000.0,1979900000.0,182100000.0,-46700000.0,-113800000.0,,1798600000.0,47400000.0
MKC,2016-02-29,False,Q1,2016,10-Q,1030200000.0,129100000.0,93400000.0,0.73,0.73,0.43,4400100000.0,1306200000.0,1092200000.0,111800000.0,1726900000.0,77900000.0,-22200000.0,-45500000.0,1056900000.0,1764000000.0,22400000.0
MKC,2017-08-31,False,Q3,2017,10-Q,1185200000.0,168700000.0,108200000.0,0.86,0.85,0.47,10381700000.0,1642600000.0,1734200000.0,166100000.0,2533300000.0,303000000.0,-4435100000.0,4166700000.0,5027800000.0,4503300000.0,108400000.0
MKC,2016-11-30,False,FY,2016,10-K,4411500000.0,641000000.0,472300000.0,3.73,3.69,1.76,4635900000.0,1421800000.0,1422700000.0,118400000.0,1638100000.0,658100000.0,-267100000.0,-371500000.0,1056900000.0,1771400000.0,153800000.0
MKC,2015-11-30,False,FY,2015,10-K,4296300000.0,548400000.0,401600000.0,3.14,3.11,1.63,4507800000.0,1406500000.0,1240200000.0,112600000.0,1686900000.0,590000000.0,-338900000.0,-199600000.0,1256200000.0,1759300000.0,128400000.0
MKC,2017-05-31,False,Q2,2017,10-Q,1114300000.0,132600000.0,100000000.0,0.8,0.79,0.47,4872100000.0,1425900000.0,1801400000.0,130000000.0,1809400000.0,177200000.0,-189800000.0,24600000.0,1054900000.0,1894800000.0,66200000.0
MKC,2017-02-28,False,Q1,2017,10-Q,1043700000.0,134200000.0,93500000.0,0.75,0.74,0.47,4751100000.0,1385100000.0,1738400000.0,125700000.0,1731600000.0,44300000.0,-152700000.0,110200000.0,1054200000.0,1857600000.0,29600000.0
MKC,2018-02-28,False,Q1,2018,10-Q,1237100000.0,183700000.0,422600000.0,3.22,3.18,0.52,10363000000.0,1606000000.0,1871500000.0,179600000.0,3072400000.0,-20500000.0,-35200000.0,39200000.0,4454200000.0,4626000000.0,31300000.0
MKC,2015-08-31,False,Q3,2015,10-Q,1059900000.0,138700000.0,97600000.0,0.76,0.76,0.4,4490700000.0,1374500000.0,1404600000.0,108400000.0,1762200000.0,316600000.0,-280600000.0,13300000.0,750000000.0,1802400000.0,70000000.0
MKC,2017-11-30,False,FY,2017,10-K,4834100000.0,702400000.0,477400000.0,3.77,3.72,1.93,10385800000.0,1617000000.0,1947300000.0,186800000.0,2570900000.0,815300000.0,-4508300000.0,3756000000.0,4769500000.0,4490100000.0,182400000.0
MKC,2018-08-31,False,Q3,2018,10-Q,1345300000.0,233000000.0,173500000.0,1.32,1.3,0.52,10278000000.0,1474200000.0,1855100000.0,73000000.0,3112000000.0,389000000.0,-113400000.0,-392700000.0,4345300000.0,4553400000.0,112600000.0
MKC,2018-05-31,False,Q2,2018,10-Q,1327300000.0,191700000.0,123300000.0,0.94,0.93,0.52,10383800000.0,1564200000.0,1846700000.0,202600000.0,3040300000.0,234900000.0,-63200000.0,-161600000.0,4531700000.0,4577200000.0,59900000.0
