symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MOV,2011-10-31,False,Q3,2012,10-Q,142622000.0,19128000.0,16404000.0,0.66,0.65,0.03,498973000.0,433842000.0,80769000.0,138028000.0,393849000.0,32736000.0,-3549000.0,-1783000.0,,,4535000.0
MOV,2018-10-31,False,Q3,2019,10-Q,208949000.0,24107000.0,26922000.0,1.16,1.14,0.2,763916000.0,483903000.0,137072000.0,142668000.0,481014000.0,26846000.0,-101376000.0,12373000.0,0.0,131756000.0,8206000.0
MOV,2012-04-30,False,Q1,2013,10-Q,103655000.0,8488000.0,6633000.0,0.26,0.26,0.55,493040000.0,420962000.0,73027000.0,158750000.0,393691000.0,-24393000.0,-837000.0,-806000.0,,,837000.0
MOV,2011-07-31,False,Q2,2012,10-Q,113231000.0,5014000.0,4408000.0,0.18,0.18,0.03,495973000.0,427525000.0,66374000.0,128781000.0,404068000.0,12355000.0,-2110000.0,-1424000.0,,,3184000.0
MOV,2012-01-31,False,FY,2012,10-K,468117000.0,33563000.0,31995000.0,1.28,1.27,0.12,506043000.0,432632000.0,86393000.0,182201000.0,394074000.0,86062000.0,-7208000.0,-1525000.0,,,8170000.0
MOV,2013-07-31,False,Q2,2014,10-Q,138301000.0,17040000.0,12454000.0,0.49,0.48,0.05,543641000.0,447227000.0,77221000.0,151516000.0,437998000.0,-195000.0,-8174000.0,-6002000.0,,,10206000.0
MOV,2013-04-30,False,Q1,2014,10-Q,110010000.0,10005000.0,8210000.0,0.32,0.32,0.05,515379000.0,419866000.0,60191000.0,141484000.0,426873000.0,-17780000.0,-4359000.0,-2342000.0,,,6469000.0
MOV,2012-10-31,False,Q3,2013,10-Q,160202000.0,24990000.0,34473000.0,1.36,1.34,0.05,562371000.0,475958000.0,106106000.0,164813000.0,431399000.0,5790000.0,-6775000.0,-14884000.0,,,6524000.0
MOV,2012-07-31,False,Q2,2013,10-Q,118027000.0,10749000.0,8058000.0,0.32,0.32,0.05,479474000.0,409100000.0,69104000.0,156338000.0,383485000.0,-2093000.0,-2556000.0,-14659000.0,,,2446000.0
MOV,2013-01-31,False,FY,2013,10-K,505478000.0,49346000.0,57083000.0,2.26,2.22,1.45,526362000.0,434099000.0,73486000.0,167889000.0,425692000.0,38781000.0,-16263000.0,-38375000.0,,,15978000.0
