symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MPC,2013-09-30,False,Q3,2013,10-Q,843000000.0,301000000.0,168000000.0,0.54,0.54,0.42,29003000000.0,13531000000.0,10401000000.0,2018000000.0,11264000000.0,2050000000.0,-2251000000.0,-2641000000.0,3401000000.0,938000000.0,733000000.0
MPC,2011-12-31,False,FY,2011,10-K,78638000000.0,4061000000.0,2389000000.0,6.7,6.67,0.45,25745000000.0,12001000000.0,9591000000.0,3079000000.0,9505000000.0,3309000000.0,1295000000.0,-1643000000.0,3299000000.0,842000000.0,1185000000.0
MPC,2013-03-31,False,Q1,2013,10-Q,23334000000.0,1156000000.0,725000000.0,2.19,2.17,0.35,30773000000.0,15297000000.0,10728000000.0,4737000000.0,12412000000.0,2079000000.0,-1682000000.0,-520000000.0,3411000000.0,930000000.0,195000000.0
MPC,2012-12-31,False,FY,2012,10-K,82243000000.0,5347000000.0,3389000000.0,9.95,9.89,1.2,27223000000.0,13029000000.0,8203000000.0,4860000000.0,12105000000.0,4492000000.0,-1452000000.0,-1259000000.0,3355000000.0,930000000.0,1369000000.0
MPC,2018-12-31,False,FY,2018,10-K,97102000000.0,5571000000.0,2779000000.0,5.36,5.28,1.84,92940000000.0,18023000000.0,13216000000.0,1687000000.0,44049000000.0,6158000000.0,-7670000000.0,222000000.0,27980000000.0,20184000000.0,3578000000.0
MPC,2012-03-31,False,Q1,2012,10-Q,20265000000.0,1035000000.0,596000000.0,1.71,1.7,0.25,25306000000.0,11580000000.0,9201000000.0,2205000000.0,9216000000.0,347000000.0,-311000000.0,-910000000.0,3311000000.0,842000000.0,309000000.0
MPC,2012-06-30,False,Q2,2012,10-Q,20242000000.0,1482000000.0,812000000.0,2.39,2.38,0.25,24681000000.0,10706000000.0,7568000000.0,1895000000.0,10326000000.0,616000000.0,-798000000.0,-1002000000.0,3327000000.0,925000000.0,635000000.0
MPC,2013-06-30,False,Q2,2013,10-Q,806000000.0,960000000.0,592000000.0,1.84,1.83,0.35,29695000000.0,14252000000.0,10241000000.0,3069000000.0,12197000000.0,1643000000.0,-1918000000.0,-1516000000.0,3406000000.0,938000000.0,424000000.0
MPC,2012-09-30,False,Q3,2012,10-Q,21048000000.0,1819000000.0,1222000000.0,3.61,3.59,0.35,26583000000.0,12516000000.0,8308000000.0,3387000000.0,11467000000.0,2449000000.0,-1033000000.0,-1108000000.0,3342000000.0,930000000.0,966000000.0
MPC,2014-06-30,False,Q2,2014,10-Q,830000000.0,1369000000.0,854000000.0,2.97,2.95,0.42,29376000000.0,13596000000.0,11055000000.0,2125000000.0,11037000000.0,1644000000.0,-681000000.0,-1130000000.0,3639000000.0,937000000.0,569000000.0
MPC,2015-03-31,False,Q1,2015,10-Q,1111000000.0,1470000000.0,890000000.0,3.26,3.24,0.5,30182000000.0,11053000000.0,8346000000.0,2078000000.0,11980000000.0,1190000000.0,-388000000.0,-218000000.0,6766000000.0,1566000000.0,389000000.0
MPC,2014-03-31,False,Q1,2014,10-Q,722000000.0,361000000.0,199000000.0,0.68,0.67,0.42,29159000000.0,13448000000.0,10846000000.0,2166000000.0,10758000000.0,766000000.0,-360000000.0,-532000000.0,3659000000.0,938000000.0,267000000.0
MPC,2015-06-30,False,Q2,2015,10-Q,1264000000.0,1335000000.0,825000000.0,1.52,1.51,0.25,30653000000.0,11431000000.0,8725000000.0,1881000000.0,12290000000.0,2184000000.0,-856000000.0,-941000000.0,6760000000.0,1566000000.0,764000000.0
MPC,2014-12-31,False,FY,2014,10-K,97817000000.0,4051000000.0,2520000000.0,8.84,8.78,1.84,30460000000.0,11339000000.0,8579000000.0,1494000000.0,11390000000.0,3110000000.0,-4543000000.0,635000000.0,6657000000.0,1566000000.0,1480000000.0
MPC,2011-06-30,False,Q2,2011,10-Q,20760000000.0,1394000000.0,802000000.0,2.25,2.24,0.0,23964000000.0,10513000000.0,8549000000.0,1622000000.0,8977000000.0,952000000.0,1944000000.0,-1392000000.0,3283000000.0,842000000.0,517000000.0
MPC,2011-09-30,False,Q3,2011,10-Q,20616000000.0,1852000000.0,1133000000.0,3.18,3.16,0.2,25225000000.0,11669000000.0,8612000000.0,2957000000.0,10049000000.0,2671000000.0,1635000000.0,-1467000000.0,3291000000.0,842000000.0,844000000.0
MPC,2013-12-31,False,FY,2013,10-K,100160000000.0,3425000000.0,2108000000.0,6.69,6.64,1.54,28385000000.0,12737000000.0,9824000000.0,2292000000.0,11332000000.0,3405000000.0,-2756000000.0,-3217000000.0,3395000000.0,938000000.0,1206000000.0
MPC,2014-09-30,False,Q3,2014,10-Q,870000000.0,1062000000.0,671000000.0,2.38,2.36,0.5,31705000000.0,12887000000.0,10372000000.0,1854000000.0,11266000000.0,2722000000.0,-4024000000.0,864000000.0,6283000000.0,1537000000.0,952000000.0
MPC,2016-03-31,False,Q1,2016,10-Q,1152000000.0,75000000.0,1000000.0,0.003,0.003,0.32,41758000000.0,8097000000.0,5595000000.0,308000000.0,19494000000.0,327000000.0,-727000000.0,-419000000.0,12104000000.0,3649000000.0,745000000.0
MPC,2015-09-30,False,Q3,2015,10-Q,1294000000.0,1549000000.0,947000000.0,1.77,1.76,0.32,30161000000.0,10861000000.0,7686000000.0,2044000000.0,12925000000.0,3253000000.0,-1428000000.0,-1275000000.0,6753000000.0,1565000000.0,1277000000.0
MPC,2016-06-30,False,Q2,2016,10-Q,1287000000.0,1315000000.0,800000000.0,1.51,1.51,0.32,44133000000.0,10304000000.0,6782000000.0,1754000000.0,19935000000.0,2590000000.0,-1496000000.0,-467000000.0,11583000000.0,3648000000.0,1431000000.0
MPC,2016-09-30,False,Q3,2016,10-Q,1338000000.0,435000000.0,145000000.0,0.28,0.27,0.36,43293000000.0,9545000000.0,6340000000.0,709000000.0,19957000000.0,2995000000.0,-2217000000.0,-1196000000.0,11077000000.0,3648000000.0,2147000000.0
MPC,2015-12-31,False,FY,2015,10-K,72051000000.0,4692000000.0,2848000000.0,5.29,5.26,1.14,43115000000.0,9471000000.0,6345000000.0,1127000000.0,19675000000.0,4061000000.0,-3441000000.0,-987000000.0,12475000000.0,4019000000.0,1998000000.0
