symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MPX,2018-12-31,False,FY,2018,10-K,298616000.0,35387000.0,27726000.0,0.83,0.83,0.5,100880000.0,64600000.0,18167000.0,8745000.0,75212000.0,22775000.0,3060000.0,-24774000.0,,3308000.0,2154000.0
MPX,2011-06-30,False,Q2,2011,10-Q,29098000.0,1219000.0,1229000.0,0.03,0.03,0.0,106897000.0,42923000.0,12410000.0,3450000.0,88561000.0,4442000.0,-10211000.0,-316000.0,,3308000.0,53000.0
MPX,2011-09-30,False,Q3,2011,10-Q,22254000.0,1494000.0,1200000.0,0.03,0.03,0.0,112144000.0,47631000.0,16245000.0,5453000.0,90102000.0,6588000.0,-10354000.0,-316000.0,,3308000.0,142000.0
MPX,2012-03-31,False,Q1,2012,10-Q,37849000.0,2053000.0,1632000.0,0.04,0.04,0.02,116651000.0,50326000.0,15893000.0,6782000.0,94402000.0,5828000.0,977000.0,-979000.0,,3308000.0,82000.0
MPX,2012-09-30,False,Q3,2012,10-Q,38494000.0,2773000.0,2110000.0,0.06,0.06,0.02,121819000.0,48105000.0,17628000.0,6575000.0,97774000.0,10214000.0,-1867000.0,-2728000.0,,3308000.0,273000.0
MPX,2013-03-31,False,Q1,2013,10-Q,44283000.0,1472000.0,1449000.0,0.04,0.04,0.03,101871000.0,40771000.0,17405000.0,6345000.0,77974000.0,6718000.0,-428000.0,-1593000.0,,3308000.0,72000.0
MPX,2011-12-31,False,FY,2011,10-K,106437000.0,5376000.0,6731000.0,0.19,0.18,0.0,110837000.0,42955000.0,10654000.0,956000.0,93418000.0,3296000.0,-11559000.0,-316000.0,,3308000.0,357000.0
MPX,2012-06-30,False,Q2,2012,10-Q,38454000.0,2760000.0,2173000.0,0.06,0.06,0.02,118380000.0,43810000.0,16196000.0,3010000.0,95911000.0,5795000.0,-1711000.0,-2030000.0,,3308000.0,185000.0
MPX,2013-06-30,False,Q2,2013,10-Q,42235000.0,2482000.0,1935000.0,0.05,0.05,0.03,103234000.0,45424000.0,17930000.0,4627000.0,78984000.0,5525000.0,218000.0,-2764000.0,,3308000.0,189000.0
MPX,2014-03-31,False,Q1,2014,10-Q,47702000.0,2768000.0,1978000.0,0.05,0.05,0.03,107755000.0,49421000.0,19171000.0,8663000.0,82209000.0,9331000.0,-4076000.0,-1706000.0,,3308000.0,102000.0
MPX,2014-09-30,False,Q3,2014,10-Q,37932000.0,2576000.0,1882000.0,0.05,0.05,0.03,107917000.0,48758000.0,16308000.0,5296000.0,85008000.0,13148000.0,-8221000.0,-4745000.0,,3308000.0,345000.0
MPX,2015-03-31,False,Q1,2015,10-Q,50644000.0,4254000.0,2929000.0,0.08,0.08,0.04,110757000.0,55031000.0,19291000.0,9175000.0,84712000.0,5468000.0,1850000.0,-2215000.0,,3308000.0,804000.0
MPX,2013-09-30,False,Q3,2013,10-Q,41989000.0,2796000.0,2002000.0,0.05,0.05,0.03,103989000.0,45687000.0,17104000.0,5854000.0,80377000.0,9573000.0,-1476000.0,-3891000.0,,3308000.0,244000.0
MPX,2015-06-30,False,Q2,2015,10-Q,59498000.0,6423000.0,4429000.0,0.12,0.12,0.04,113860000.0,56594000.0,20092000.0,9312000.0,86966000.0,12047000.0,-1952000.0,-4855000.0,,3308000.0,2956000.0
MPX,2013-12-31,False,FY,2013,10-K,168293000.0,9506000.0,7528000.0,0.2,0.2,0.15,102553000.0,45260000.0,14562000.0,5114000.0,81483000.0,9880000.0,-269000.0,-6145000.0,,3308000.0,521000.0
MPX,2012-12-31,False,FY,2012,10-K,148950000.0,8761000.0,6979000.0,0.19,0.19,0.63,97315000.0,36035000.0,13246000.0,1648000.0,77747000.0,8182000.0,16811000.0,-24301000.0,,3308000.0,354000.0
MPX,2015-09-30,False,Q3,2015,10-Q,47038000.0,4454000.0,3103000.0,0.08,0.08,0.04,114613000.0,59296000.0,19069000.0,9111000.0,89002000.0,12718000.0,-1204000.0,-6475000.0,,3308000.0,3604000.0
MPX,2014-06-30,False,Q2,2014,10-Q,47975000.0,4125000.0,3013000.0,0.08,0.08,0.03,105869000.0,43028000.0,15482000.0,2453000.0,83816000.0,8951000.0,-7998000.0,-3614000.0,,3308000.0,258000.0
MPX,2014-12-31,False,FY,2014,10-K,171050000.0,12006000.0,8914000.0,0.24,0.24,0.16,103823000.0,43222000.0,13208000.0,4072000.0,83494000.0,9446000.0,-2947000.0,-7541000.0,,3308000.0,451000.0
MPX,2016-03-31,False,Q1,2016,10-Q,63665000.0,5645000.0,3792000.0,0.1,0.1,0.06,119571000.0,58392000.0,21849000.0,8240000.0,92471000.0,9460000.0,-6394000.0,-2812000.0,,3308000.0,324000.0
MPX,2015-12-31,False,FY,2015,10-K,207061000.0,20551000.0,14306000.0,0.39,0.39,0.2,110677000.0,52644000.0,13798000.0,7986000.0,90212000.0,16044000.0,-2489000.0,-9641000.0,,3308000.0,3878000.0
MPX,2017-03-31,False,Q1,2017,10-Q,71040000.0,6898000.0,5098000.0,0.15,0.15,0.07,98095000.0,59105000.0,24779000.0,6827000.0,67592000.0,10050000.0,-2183000.0,-3659000.0,,3308000.0,318000.0
MPX,2016-06-30,False,Q2,2016,10-Q,65066000.0,6712000.0,4666000.0,0.13,0.13,0.06,119588000.0,55839000.0,18791000.0,296000.0,95420000.0,10778000.0,-13216000.0,-5252000.0,,3308000.0,663000.0
MPX,2016-09-30,False,Q3,2016,10-Q,55361000.0,5461000.0,4150000.0,0.11,0.11,0.06,123573000.0,62690000.0,20340000.0,5182000.0,97668000.0,13587000.0,-8678000.0,-7713000.0,,3308000.0,1475000.0
MPX,2016-12-31,False,FY,2016,10-K,241330000.0,23052000.0,16210000.0,0.44,0.44,0.24,88527000.0,52155000.0,17402000.0,2619000.0,65445000.0,15837000.0,22575000.0,-43779000.0,,3308000.0,1940000.0
MPX,2017-06-30,False,Q2,2017,10-Q,71484000.0,8722000.0,5916000.0,0.18,0.18,0.07,102487000.0,58016000.0,24710000.0,3834000.0,71113000.0,17850000.0,-9497000.0,-7138000.0,,3308000.0,914000.0
MPX,2018-09-30,False,Q3,2018,10-Q,72012000.0,9187000.0,6967000.0,0.21,0.21,0.1,114120000.0,69622000.0,25627000.0,6146000.0,80495000.0,18185000.0,-5215000.0,-14508000.0,,3308000.0,1912000.0
MPX,2018-03-31,False,Q1,2018,10-Q,77536000.0,9033000.0,7397000.0,0.22,0.22,0.1,106793000.0,67490000.0,28559000.0,9929000.0,71355000.0,7510000.0,1135000.0,-6400000.0,,3308000.0,309000.0
MPX,2018-06-30,False,Q2,2018,10-Q,87006000.0,11151000.0,8744000.0,0.26,0.26,0.1,114933000.0,70664000.0,30335000.0,9505000.0,77171000.0,18116000.0,-6169000.0,-10126000.0,,3308000.0,721000.0
MPX,2017-09-30,False,Q3,2017,10-Q,59201000.0,6669000.0,4428000.0,0.13,0.13,0.07,101092000.0,58722000.0,21903000.0,4052000.0,72666000.0,18421000.0,-5941000.0,-11047000.0,,3308000.0,1527000.0
MPX,2017-12-31,False,FY,2017,10-K,267316000.0,29759000.0,18705000.0,0.55,0.55,0.33,95900000.0,54187000.0,19361000.0,7684000.0,69604000.0,29639000.0,-6549000.0,-18025000.0,,3308000.0,2410000.0
