symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MSM,2017-03-04,False,Q2,2017,10-Q,703780000.0,86645000.0,53439000.0,0.94,0.93,0.45,2051517000.0,975827000.0,497962000.0,35602000.0,1180921000.0,96656000.0,-25508000.0,-88294000.0,549132000.0,623296000.0,25508000.0
MSM,2017-06-03,False,Q3,2017,10-Q,743923000.0,101776000.0,62690000.0,1.1,1.09,0.45,2051043000.0,980477000.0,525504000.0,27578000.0,1222989000.0,159131000.0,-37923000.0,-146466000.0,515147000.0,623061000.0,37923000.0
MSM,2015-11-28,False,Q1,2016,10-Q,706819000.0,90388000.0,54777000.0,0.89,0.89,0.43,2069523000.0,1004808000.0,376228000.0,37879000.0,1358942000.0,122110000.0,-15575000.0,-106897000.0,353667000.0,623313000.0,15575000.0
MSM,2016-12-03,False,Q1,2017,10-Q,686271000.0,90600000.0,53912000.0,0.96,0.95,0.45,1999479000.0,919245000.0,458457000.0,32122000.0,1134032000.0,75435000.0,-12497000.0,-83628000.0,543772000.0,623473000.0,12497000.0
MSM,2016-05-28,False,Q3,2016,10-Q,727495000.0,105784000.0,64565000.0,1.06,1.05,0.43,2023139000.0,973963000.0,293517000.0,32328000.0,1420615000.0,285822000.0,-34714000.0,-257013000.0,262510000.0,624001000.0,34714000.0
MSM,2015-05-30,False,Q3,2015,10-Q,745483000.0,104244000.0,62983000.0,1.03,1.03,0.4,2093239000.0,1022493000.0,456888000.0,24863000.0,1302542000.0,162973000.0,-38176000.0,-146862000.0,460270000.0,625258000.0,38176000.0
MSM,2016-02-27,False,Q2,2016,10-Q,684117000.0,80542000.0,49339000.0,0.81,0.8,0.43,2025452000.0,971559000.0,332578000.0,23960000.0,1371208000.0,182980000.0,-26781000.0,-170435000.0,327999000.0,623042000.0,26781000.0
MSM,2017-12-02,False,Q1,2018,10-Q,768561000.0,99278000.0,59482000.0,1.06,1.05,0.48,2108212000.0,1023516000.0,532123000.0,20252000.0,1260031000.0,81979000.0,-9766000.0,-68135000.0,492681000.0,633529000.0,9028000.0
MSM,2018-06-02,False,Q3,2018,10-Q,828345000.0,115382000.0,78999000.0,1.4,1.39,0.58,2255732000.0,1116185000.0,528493000.0,39993000.0,1399054000.0,230237000.0,-116639000.0,-89709000.0,537163000.0,672785000.0,30794000.0
MSM,2015-08-29,False,FY,2015,10-K,2910379000.0,379529000.0,229958000.0,3.75,3.74,0.0,2101206000.0,1032076000.0,422337000.0,38267000.0,1332870000.0,249791000.0,-51405000.0,-207045000.0,428304000.0,623626000.0,51405000.0
MSM,2016-09-03,False,FY,2016,10-K,2863505000.0,375960000.0,230307000.0,3.78,3.77,0.0,2064951000.0,981491000.0,478602000.0,52890000.0,1098376000.0,401103000.0,-87930000.0,-298368000.0,606822000.0,624081000.0,87930000.0
MSM,2018-03-03,False,Q2,2018,10-Q,768987000.0,98103000.0,117425000.0,2.08,2.06,0.58,2165222000.0,1087915000.0,494435000.0,31608000.0,1346035000.0,118187000.0,-17999000.0,-84761000.0,513017000.0,633405000.0,17261000.0
MSM,2011-11-26,False,Q1,2012,10-Q,545703000.0,96824000.0,59300000.0,0.95,0.95,0.25,1299902000.0,812065000.0,164360000.0,128234000.0,1050846000.0,46192000.0,-9517000.0,-4309000.0,,277431000.0,8271000.0
MSM,2018-09-01,False,FY,2018,10-K,3203878000.0,420553000.0,328843000.0,5.84,5.8,2.22,2288727000.0,1147507000.0,490523000.0,46217000.0,1387254000.0,339658000.0,-131919000.0,-177586000.0,509000000.0,674998000.0,44919000.0
MSM,2011-08-27,False,FY,2011,10-K,2021792000.0,349765000.0,216906000.0,3.45,3.43,0.0,1244423000.0,758434000.0,172202000.0,95959000.0,993112000.0,209962000.0,-54427000.0,-180813000.0,0.0,277431000.0,25479000.0
MSM,2017-09-02,False,FY,2017,10-K,2887744000.0,379000000.0,230815000.0,4.08,4.05,1.8,2098912000.0,1005579000.0,557725000.0,16083000.0,1225140000.0,246841000.0,-88893000.0,-194746000.0,532977000.0,633728000.0,46548000.0
MSM,2018-12-01,False,Q1,2019,10-Q,831597000.0,103000000.0,74179000.0,1.34,1.33,0.63,2264798000.0,1131933000.0,477116000.0,11615000.0,1376312000.0,76866000.0,-10053000.0,-101349000.0,210000000.0,674464000.0,10053000.0
MSM,2010-11-27,False,Q1,2011,10-Q,472827000.0,77150000.0,47560000.0,0.75,0.75,1.22,1123459000.0,652406000.0,165632000.0,80545000.0,893031000.0,41926000.0,-4455000.0,-78131000.0,,271765000.0,4455000.0
MSM,2011-05-28,False,Q3,2011,10-Q,532366000.0,98134000.0,62086000.0,0.97,0.97,0.22,1231718000.0,761600000.0,146609000.0,136771000.0,1009592000.0,145291000.0,-29564000.0,-100197000.0,,272041000.0,19491000.0
MSM,2011-02-26,False,Q2,2011,10-Q,483362000.0,80598000.0,49689000.0,0.78,0.78,0.22,1149291000.0,675328000.0,135023000.0,75675000.0,942740000.0,80324000.0,-25005000.0,-100867000.0,,272041000.0,13990000.0
MSM,2012-02-25,False,Q2,2012,10-Q,562974000.0,96527000.0,59634000.0,0.95,0.95,0.25,1349462000.0,838806000.0,162208000.0,108881000.0,1108014000.0,74063000.0,-49718000.0,-11391000.0,,288072000.0,17322000.0
MSM,2012-05-26,False,Q3,2012,10-Q,611970000.0,110859000.0,69644000.0,1.11,1.1,0.25,1379095000.0,866710000.0,166751000.0,110949000.0,1125824000.0,145208000.0,-62204000.0,-67958000.0,,289124000.0,28753000.0
MSM,2013-11-30,False,Q1,2014,10-Q,678510000.0,96750000.0,58621000.0,0.93,0.93,0.33,1967739000.0,882055000.0,290330000.0,48430000.0,1325263000.0,104380000.0,-31438000.0,-80474000.0,254671000.0,630130000.0,12506000.0
MSM,2014-05-31,False,Q3,2014,10-Q,720476000.0,104886000.0,64249000.0,1.04,1.03,0.33,2018427000.0,921078000.0,250933000.0,45358000.0,1423949000.0,226628000.0,-79459000.0,-157828000.0,,629387000.0,55882000.0
MSM,2014-03-01,False,Q2,2014,10-Q,661513000.0,81722000.0,49175000.0,0.8,0.79,0.33,1969833000.0,880229000.0,252810000.0,45323000.0,1367879000.0,151483000.0,-56515000.0,-105622000.0,,628606000.0,33925000.0
MSM,2013-06-01,False,Q3,2013,10-Q,636923000.0,100246000.0,61882000.0,0.99,0.98,0.3,1919492000.0,885366000.0,244849000.0,58017000.0,1347110000.0,245429000.0,-611074000.0,255313000.0,242353000.0,632801000.0,62305000.0
MSM,2012-12-01,False,Q1,2013,10-Q,577491000.0,102352000.0,62727000.0,1.01,1.0,0.3,1507953000.0,974607000.0,173035000.0,233506000.0,1247614000.0,89369000.0,-16993000.0,-7354000.0,,289124000.0,16993000.0
MSM,2012-09-01,False,FY,2012,10-K,2355918000.0,412216000.0,256922000.0,4.12,4.09,0.0,1444876000.0,920111000.0,170515000.0,168453000.0,1187111000.0,234284000.0,-81142000.0,-80618000.0,,289124000.0,47691000.0
MSM,2013-03-02,False,Q2,2013,10-Q,569462000.0,90576000.0,55656000.0,0.89,0.88,0.3,1526655000.0,983896000.0,145043000.0,243949000.0,1294565000.0,135027000.0,-40306000.0,-19107000.0,,289124000.0,40306000.0
MSM,2013-08-31,False,FY,2013,10-K,2457649000.0,385526000.0,236214000.0,3.77,3.75,0.0,1943003000.0,893489000.0,213579000.0,55876000.0,1390383000.0,325437000.0,-638021000.0,200061000.0,250000000.0,630318000.0,89252000.0
MSM,2015-02-28,False,Q2,2015,10-Q,706400000.0,85874000.0,51230000.0,0.84,0.83,0.4,2112049000.0,1033067000.0,512437000.0,27425000.0,1259453000.0,47607000.0,-25145000.0,-42009000.0,541772000.0,625140000.0,25145000.0
MSM,2014-11-29,False,Q1,2015,10-Q,731091000.0,93971000.0,56179000.0,0.92,0.91,3.4,2108240000.0,1018210000.0,509306000.0,46704000.0,1252384000.0,57752000.0,-13358000.0,-44744000.0,,627869000.0,13358000.0
MSM,2014-08-30,False,FY,2014,10-K,2787122000.0,383184000.0,234440000.0,3.78,3.76,0.0,2060747000.0,961415000.0,309164000.0,47154000.0,1398563000.0,272406000.0,-94206000.0,-187039000.0,307500000.0,629335000.0,70617000.0
