symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MTRN,2011-07-01,False,Q2,2011,10-Q,424710000.0,20845000.0,13872000.0,0.68,0.67,0.0,766714000.0,391624000.0,129220000.0,9461000.0,415482000.0,-7137000.0,-8670000.0,8877000.0,,72936000.0,11103000.0
MTRN,2012-09-28,False,Q3,2012,10-Q,290601000.0,13389000.0,8114000.0,0.4,0.39,0.075,818359000.0,416132000.0,146584000.0,10894000.0,430127000.0,-7374000.0,-31488000.0,37509000.0,,86467000.0,25335000.0
MTRN,2013-03-29,False,Q1,2013,10-Q,299169000.0,9522000.0,6785000.0,0.33,0.33,0.075,812400000.0,398993000.0,122295000.0,20242000.0,421108000.0,-4766000.0,-9647000.0,18960000.0,,88753000.0,5781000.0
MTRN,2011-09-30,False,Q3,2011,10-Q,392794000.0,17191000.0,13527000.0,0.66,0.65,0.0,788332000.0,414160000.0,137227000.0,8965000.0,428337000.0,-11718000.0,-16061000.0,20327000.0,,72936000.0,18722000.0
MTRN,2012-03-30,False,Q1,2012,10-Q,353630000.0,9884000.0,6118000.0,0.3,0.3,0.0,796310000.0,395625000.0,138631000.0,15146000.0,412103000.0,-22972000.0,-11091000.0,37022000.0,,84641000.0,9282000.0
MTRN,2013-06-28,False,Q2,2013,10-Q,306141000.0,13390000.0,8909000.0,0.43,0.43,0.08,803497000.0,392686000.0,112435000.0,15726000.0,430776000.0,18120000.0,-17318000.0,-693000.0,,88753000.0,13023000.0
MTRN,2011-12-31,False,FY,2011,10-K,1526730000.0,57078000.0,39979000.0,1.96,1.93,0.0,772103000.0,370901000.0,139671000.0,12255000.0,405982000.0,56806000.0,-50029000.0,-10625000.0,41010000.0,84036000.0,28187000.0
MTRN,2018-12-31,False,FY,2018,10-K,1207815000.0,61496000.0,20846000.0,1.03,1.01,0.415,800341000.0,439353000.0,139780000.0,70645000.0,553906000.0,76374000.0,-33828000.0,-13605000.0,3041000.0,90700000.0,27702000.0
MTRN,2013-09-27,False,Q3,2013,10-Q,1189000.0,5982000.0,5123000.0,0.25,0.24,0.08,805998000.0,401502000.0,118224000.0,20157000.0,437278000.0,38515000.0,-24194000.0,-9872000.0,,88753000.0,19830000.0
MTRN,2013-09-27,True,Q3,2013,10-Q,1189000.0,5328000.0,4992000.0,0.24,0.24,0.08,801113000.0,396617000.0,118224000.0,20157000.0,432393000.0,38515000.0,-24194000.0,-9872000.0,,88753000.0,19830000.0
MTRN,2013-06-28,True,Q2,2013,10-Q,306141000.0,6561000.0,4155000.0,0.2,0.2,0.08,798743000.0,387932000.0,112435000.0,15726000.0,426022000.0,18120000.0,-17318000.0,-693000.0,,88753000.0,13023000.0
MTRN,2012-12-31,False,FY,2012,10-K,1273078000.0,36776000.0,24664000.0,1.21,1.19,0.225,814917000.0,400989000.0,149067000.0,16056000.0,414995000.0,38620000.0,-43363000.0,8503000.0,45463000.0,88753000.0,34088000.0
MTRN,2012-06-29,False,Q2,2012,10-Q,325088000.0,12445000.0,7929000.0,0.39,0.38,0.075,800114000.0,398566000.0,141553000.0,15430000.0,420534000.0,-9047000.0,-19999000.0,32314000.0,,86527000.0,17957000.0
MTRN,2014-03-28,False,Q1,2014,10-Q,1283000.0,11053000.0,7331000.0,0.36,0.35,0.08,791341000.0,415786000.0,122388000.0,19313000.0,478874000.0,-23211000.0,-3191000.0,22760000.0,,88753000.0,6120000.0
MTRN,2014-06-27,False,Q2,2014,10-Q,1324000.0,14568000.0,9974000.0,0.48,0.47,0.085,790854000.0,421608000.0,123290000.0,18062000.0,487857000.0,-1484000.0,-10189000.0,6856000.0,,88753000.0,12859000.0
MTRN,2013-12-31,False,FY,2013,10-K,5607000.0,26831000.0,19707000.0,0.96,0.94,0.315,777945000.0,394505000.0,129016000.0,22774000.0,463321000.0,75922000.0,-32587000.0,-36172000.0,29880000.0,88753000.0,27848000.0
MTRN,2015-07-03,False,Q2,2015,10-Q,16494000.0,12821000.0,8878000.0,0.44,0.43,0.09,779262000.0,399837000.0,94094000.0,20629000.0,471463000.0,21043000.0,-26646000.0,13561000.0,,86725000.0,16564000.0
MTRN,2016-04-01,False,Q1,2016,10-Q,15238000.0,7532000.0,5368000.0,0.27,0.27,0.09,757016000.0,357862000.0,100067000.0,18868000.0,488147000.0,-17444000.0,-9744000.0,21372000.0,,86725000.0,5714000.0
MTRN,2015-04-03,False,Q1,2015,10-Q,17562000.0,14224000.0,9629000.0,0.48,0.47,0.085,781146000.0,406600000.0,94503000.0,21938000.0,464917000.0,-4067000.0,-10944000.0,24481000.0,,86725000.0,7196000.0
MTRN,2015-10-02,False,Q3,2015,10-Q,15507000.0,10159000.0,6936000.0,0.35,0.34,0.09,774137000.0,389155000.0,101445000.0,24826000.0,475136000.0,44844000.0,-41014000.0,8825000.0,,86725000.0,24085000.0
MTRN,2014-09-26,False,Q3,2014,10-Q,2578000.0,17421000.0,12440000.0,0.61,0.6,0.085,766808000.0,401042000.0,107527000.0,19610000.0,486380000.0,21027000.0,-17431000.0,-6577000.0,,86725000.0,19843000.0
MTRN,2016-07-01,False,Q2,2016,10-Q,17546000.0,5777000.0,5549000.0,0.28,0.27,0.095,753907000.0,358365000.0,97263000.0,20985000.0,492726000.0,9034000.0,-21305000.0,8614000.0,,86725000.0,14326000.0
MTRN,2017-03-31,False,Q1,2017,10-Q,16502000.0,3420000.0,3050000.0,0.15,0.15,0.095,771320000.0,364543000.0,96355000.0,16341000.0,497099000.0,-16829000.0,-22718000.0,23736000.0,,89732000.0,6128000.0
MTRN,2014-12-31,False,FY,2014,10-K,1126890000.0,56957000.0,41721000.0,2.04,2.0,0.335,762069000.0,386694000.0,104066000.0,13150000.0,458133000.0,60281000.0,-27471000.0,-40881000.0,24266000.0,86725000.0,29312000.0
MTRN,2015-12-31,False,FY,2015,10-K,1025272000.0,45268000.0,32158000.0,1.6,1.58,0.355,742640000.0,346091000.0,96483000.0,24236000.0,482957000.0,90228000.0,-52032000.0,-26095000.0,13613000.0,86725000.0,29505000.0
MTRN,2016-09-30,False,Q3,2016,10-Q,21552000.0,10151000.0,8045000.0,0.4,0.4,0.095,748117000.0,358716000.0,98659000.0,15806000.0,499950000.0,26354000.0,-27620000.0,-7688000.0,,86725000.0,20052000.0
MTRN,2016-12-31,False,FY,2016,10-K,969236000.0,27104000.0,25740000.0,1.29,1.27,0.375,741298000.0,345284000.0,90377000.0,31464000.0,494089000.0,67174000.0,-37355000.0,-22112000.0,4615000.0,87000000.0,27177000.0
MTRN,2017-06-30,False,Q2,2017,10-Q,13251000.0,9734000.0,7313000.0,0.37,0.36,0.1,789422000.0,390320000.0,109615000.0,18497000.0,502957000.0,303000.0,-28238000.0,14055000.0,,90035000.0,11252000.0
MTRN,2018-03-30,False,Q1,2018,10-Q,11680000.0,13251000.0,10564000.0,0.52,0.51,0.1,777878000.0,396407000.0,113762000.0,20206000.0,504329000.0,-8175000.0,-9525000.0,-4546000.0,,90922000.0,7867000.0
MTRN,2017-09-29,False,Q3,2017,10-Q,12868000.0,11558000.0,9320000.0,0.47,0.46,0.1,778943000.0,387241000.0,113096000.0,22486000.0,511992000.0,35497000.0,-34830000.0,-10938000.0,,89720000.0,17759000.0
MTRN,2017-12-31,False,FY,2017,10-K,1139447000.0,38579000.0,11451000.0,0.57,0.56,0.395,791084000.0,410943000.0,127109000.0,41844000.0,494981000.0,67795000.0,-43358000.0,-15445000.0,3818000.0,90700000.0,27516000.0
MTRN,2018-06-29,False,Q2,2018,10-Q,11403000.0,15192000.0,11144000.0,0.55,0.54,0.105,786166000.0,407415000.0,117089000.0,42895000.0,515741000.0,29304000.0,-20551000.0,-7710000.0,,90697000.0,17153000.0
MTRN,2018-09-28,False,Q3,2018,10-Q,13267000.0,18666000.0,19966000.0,0.99,0.97,0.105,788351000.0,407313000.0,126594000.0,53612000.0,536743000.0,49243000.0,-26975000.0,-10354000.0,,90762000.0,21809000.0
