symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MTZ,2011-12-31,False,FY,2011,10-K,3008977000.0,,106001000.0,1.29,1.23,0.0,2081145000.0,822510000.0,580247000.0,20280000.0,811207000.0,5826000.0,-146562000.0,-16789000.0,494900000.0,807850000.0,71710000.0
MTZ,2011-09-30,False,Q3,2011,10-Q,865313000.0,,31842000.0,0.38,0.36,0.0,2084352000.0,857352000.0,577977000.0,16363000.0,869016000.0,-40397000.0,-133590000.0,12820000.0,,801392000.0,56996000.0
MTZ,2011-06-30,False,Q2,2011,10-Q,750942000.0,,44494000.0,0.54,0.51,0.0,1996319000.0,788540000.0,553198000.0,78456000.0,839700000.0,5394000.0,-102806000.0,-1771000.0,,794949000.0,31973000.0
MTZ,2012-03-31,False,Q1,2012,10-Q,778476000.0,,14172000.0,0.18,0.17,0.0,2070292000.0,823728000.0,578591000.0,20131000.0,829053000.0,43445000.0,-16581000.0,-27062000.0,461200000.0,810586000.0,14097000.0
MTZ,2018-12-31,False,FY,2018,10-K,6909417000.0,,259659000.0,3.3,3.26,0.0,4439953000.0,2168989000.0,1283611000.0,27422000.0,1392024000.0,529956000.0,-181799000.0,-361094000.0,,1100350000.0,180420000.0
MTZ,2012-06-30,False,Q2,2012,10-Q,992244000.0,,30092000.0,0.37,0.37,0.0,2227322000.0,1059588000.0,719740000.0,16814000.0,815670000.0,-19150000.0,56900000.0,-41160000.0,509900000.0,724596000.0,28490000.0
MTZ,2012-09-30,False,Q3,2012,10-Q,1067300000.0,,26821000.0,0.35,0.34,0.0,2195900000.0,1025562000.0,749500000.0,10472000.0,815966000.0,114670000.0,35425000.0,-159327000.0,453000000.0,724347000.0,50331000.0
MTZ,2013-03-31,False,Q1,2013,10-Q,918648000.0,,18370000.0,0.24,0.22,0.0,2540866000.0,1145749000.0,691729000.0,109247000.0,885655000.0,31816000.0,-32096000.0,83682000.0,734700000.0,824014000.0,25851000.0
MTZ,2013-06-30,False,Q2,2013,10-Q,977624000.0,,34941000.0,0.46,0.41,0.0,2820906000.0,1272242000.0,798608000.0,13295000.0,920313000.0,14567000.0,-180865000.0,153410000.0,856400000.0,860207000.0,71382000.0
MTZ,2012-12-31,False,FY,2012,10-K,3726789000.0,,107426000.0,1.37,1.31,0.0,2407934000.0,1047068000.0,705702000.0,26382000.0,861935000.0,172135000.0,-127995000.0,-37744000.0,598900000.0,820341000.0,79686000.0
MTZ,2013-09-30,False,Q3,2013,10-Q,1269385000.0,,46138000.0,0.6,0.54,0.0,2954338000.0,1332316000.0,882229000.0,2848000.0,979087000.0,124991000.0,-253050000.0,104258000.0,833200000.0,891266000.0,52000000.0
MTZ,2014-03-31,False,Q1,2014,10-Q,964029000.0,,16023000.0,0.21,0.19,0.0,3013407000.0,1357936000.0,820389000.0,9261000.0,1036847000.0,-20394000.0,-57110000.0,64314000.0,894200000.0,912885000.0,12000000.0
MTZ,2013-12-31,False,FY,2013,10-K,4324787000.0,,140950000.0,1.83,1.66,0.0,2919638000.0,1305983000.0,825546000.0,22927000.0,1021058000.0,200402000.0,-263211000.0,58993000.0,816800000.0,899364000.0,51900000.0
MTZ,2015-09-30,False,Q3,2015,10-Q,1111010000.0,,7618000.0,0.1,0.09,0.0,3245786000.0,1238314000.0,787410000.0,7154000.0,1024484000.0,260602000.0,-170450000.0,-107160000.0,400000000.0,1064822000.0,70766000.0
MTZ,2014-06-30,False,Q2,2014,10-Q,1104556000.0,,32050000.0,0.41,0.37,0.0,3395870000.0,1489652000.0,868474000.0,15924000.0,1091314000.0,55319000.0,-221142000.0,159167000.0,1165600000.0,983133000.0,74300000.0
MTZ,2014-09-30,False,Q3,2014,10-Q,1309596000.0,,45271000.0,0.55,0.53,0.0,3470126000.0,1573952000.0,910874000.0,7067000.0,1128887000.0,81019000.0,-242705000.0,146978000.0,449500000.0,1000024000.0,90962000.0
MTZ,2015-12-31,False,FY,2015,10-K,4208330000.0,,-79110000.0,-0.98,-0.98,0.0,2940197000.0,1132902000.0,752789000.0,4984000.0,943391000.0,367413000.0,-128700000.0,-258920000.0,400000000.0,988511000.0,84410000.0
MTZ,2015-03-31,False,Q1,2015,10-Q,1003268000.0,,-6263000.0,-0.08,-0.08,0.0,3351016000.0,1358173000.0,881485000.0,28691000.0,1033480000.0,118826000.0,-50407000.0,-62830000.0,400000000.0,1070294000.0,19660000.0
MTZ,2015-06-30,False,Q2,2015,10-Q,1066629000.0,,-3700000.0,-0.05,-0.05,0.0,3356903000.0,1354265000.0,852968000.0,4755000.0,1027151000.0,165853000.0,-114228000.0,-70368000.0,400000000.0,1073110000.0,48431000.0
MTZ,2014-12-31,False,FY,2014,10-K,4611803000.0,,115923000.0,1.45,1.35,0.0,3563980000.0,1531751000.0,980848000.0,24059000.0,1148075000.0,323011000.0,-439262000.0,118675000.0,400000000.0,1082466000.0,109254000.0
MTZ,2016-03-31,False,Q1,2016,10-Q,974225000.0,,-2700000.0,-0.03,-0.03,0.0,2986628000.0,1198536000.0,811700000.0,3885000.0,943861000.0,15900000.0,-12600000.0,-3648000.0,400000000.0,992000000.0,13343000.0
MTZ,2017-03-31,False,Q1,2017,10-Q,1158184000.0,,40970000.0,0.51,0.5,0.0,3115834000.0,1267099000.0,813260000.0,15687000.0,1147806000.0,154173000.0,-69619000.0,-107794000.0,,996383000.0,28901000.0
MTZ,2017-09-30,False,Q3,2017,10-Q,1955752000.0,,63752000.0,0.79,0.77,0.0,3942175000.0,1747747000.0,1002151000.0,43822000.0,1303045000.0,178625000.0,-249429000.0,75622000.0,,1135450000.0,83330000.0
