symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MUR,2011-09-30,False,Q3,2011,10-Q,7211407000.0,,406114000.0,2.1,2.09,0.0,15491082000.0,4460630000.0,3463870000.0,1278981000.0,8888352000.0,1876747000.0,-1344894000.0,221172000.0,,40716000.0,1853939000.0
MUR,2010-06-30,False,Q2,2010,10-Q,5592353000.0,,272289000.0,1.42,1.41,0.0,13547316000.0,3715779000.0,2723651000.0,398820000.0,7666968000.0,1447743000.0,-1126412000.0,-209877000.0,,40195000.0,992256000.0
MUR,2012-06-30,False,Q2,2012,10-Q,7179462000.0,,295437000.0,1.52,1.52,0.0,15000768000.0,3443953000.0,2550753000.0,671642000.0,9304628000.0,1347118000.0,-1277103000.0,87533000.0,,42068000.0,7440000.0
MUR,2012-03-31,False,Q1,2012,10-Q,6991356000.0,,290071000.0,1.5,1.49,0.0,14936948000.0,3804603000.0,3245889000.0,936649000.0,9119083000.0,991006000.0,-525511000.0,-51259000.0,,42820000.0,567264000.0
MUR,2010-09-30,False,Q3,2010,10-Q,6072417000.0,,202832000.0,1.06,1.05,0.0,13732622000.0,3456856000.0,2751689000.0,462392000.0,7966919000.0,2200881000.0,-1587909000.0,-446952000.0,,41550000.0,1611656000.0
MUR,2010-12-31,False,FY,2010,10-K,23401117000.0,,798081000.0,4.16,4.13,1.05,14233243000.0,3550693000.0,2930910000.0,535825000.0,8199550000.0,3128558000.0,-2328812000.0,-565946000.0,939391000.0,42850000.0,2316372000.0
MUR,2013-03-31,False,Q1,2013,10-Q,6647944000.0,,360599000.0,1.89,1.88,0.0,17751685000.0,4098803000.0,3272083000.0,1117105000.0,9138494000.0,921127000.0,-933940000.0,196170000.0,,42034000.0,4894000.0
MUR,2018-12-31,False,FY,2018,10-K,2570603000.0,629717000.0,411094000.0,2.38,2.36,1.0,11052587000.0,879814000.0,846058000.0,387373000.0,5197642000.0,1219396000.0,-1896045000.0,127764000.0,2912717000.0,,1102805000.0
MUR,2011-06-30,False,Q2,2011,10-Q,8690140000.0,,311613000.0,1.61,1.6,0.0,15567036000.0,4213517000.0,3343068000.0,801246000.0,8829166000.0,917942000.0,-1146644000.0,484950000.0,,44390000.0,1258731000.0
MUR,2011-03-31,False,Q1,2011,10-Q,7346003000.0,,268903000.0,1.39,1.38,0.0,14884121000.0,3921489000.0,3180961000.0,689419000.0,8531237000.0,522900000.0,-362535000.0,-15059000.0,,44061000.0,526767000.0
MUR,2012-09-30,False,Q3,2012,10-Q,7130629000.0,,226681000.0,1.17,1.16,0.0,16589837000.0,4101972000.0,3224621000.0,816694000.0,9616758000.0,2101227000.0,-2230183000.0,422667000.0,,43470000.0,11367000.0
MUR,2011-12-31,False,FY,2011,10-K,27689332000.0,,872702000.0,4.51,4.49,1.1,14138138000.0,3447671000.0,2824928000.0,513873000.0,8778397000.0,2145385000.0,-1614354000.0,-548323000.0,599558000.0,41863000.0,2623407000.0
MUR,2013-06-30,False,Q2,2013,10-Q,7201508000.0,,402644000.0,2.13,2.12,0.0,18824975000.0,4415713000.0,3752307000.0,974426000.0,9134172000.0,1669010000.0,-1706940000.0,83540000.0,,40652000.0,7682000.0
MUR,2013-09-30,False,Q3,2013,10-Q,2904791000.0,,284809000.0,1.52,1.51,0.0,17491086000.0,3770806000.0,3184226000.0,1033937000.0,8918046000.0,2678516000.0,-2745870000.0,153720000.0,,41482000.0,11821000.0
MUR,2012-12-31,False,FY,2012,10-K,28616331000.0,,970876000.0,5.01,4.99,3.675,17522643000.0,4108583000.0,3409081000.0,947316000.0,8942035000.0,3056281000.0,-3317422000.0,685709000.0,2245247000.0,43103000.0,12790000.0
