symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MUSA,2013-12-31,False,FY,2013,10-K,18083335000.0,264923000.0,235033000.0,5.03,5.02,0.0,1881242000.0,682416000.0,526517000.0,294741000.0,656336000.0,356698000.0,12892000.0,-132222000.0,561578000.0,,726000.0
MUSA,2018-12-31,False,FY,2018,10-K,14362900000.0,325100000.0,213600000.0,6.54,6.48,0.0,2360800000.0,570100000.0,478100000.0,184500000.0,807300000.0,398700000.0,-209100000.0,-175100000.0,863300000.0,,204300000.0
MUSA,2014-06-30,False,Q2,2014,10-Q,4757949000.0,117233000.0,73232000.0,1.58,1.57,0.0,1909835000.0,699909000.0,584074000.0,260237000.0,693488000.0,138563000.0,-52406000.0,-120661000.0,492012000.0,,728000.0
MUSA,2014-03-31,False,Q1,2014,10-Q,4164334000.0,23250000.0,9633000.0,0.21,0.21,0.0,1888965000.0,686327000.0,544001000.0,369424000.0,668180000.0,112837000.0,-23091000.0,-15063000.0,546795000.0,,728000.0
MUSA,2014-09-30,False,Q3,2014,10-Q,4678775000.0,108816000.0,62651000.0,1.37,1.36,0.0,1896350000.0,663101000.0,505094000.0,294264000.0,758540000.0,216450000.0,-95282000.0,-121645000.0,492227000.0,,1340000.0
MUSA,2016-03-31,False,Q1,2016,10-Q,2490262000.0,59155000.0,85874000.0,2.1,2.08,0.0,2020535000.0,490591000.0,400053000.0,195701000.0,725614000.0,76914000.0,-26222000.0,42674000.0,688061000.0,,47283000.0
MUSA,2017-03-31,False,Q1,2017,10-Q,2999618000.0,2880000.0,-3026000.0,-0.08,-0.08,0.0,2002736000.0,396946000.0,454851000.0,36256000.0,672768000.0,-45947000.0,-65442000.0,-6168000.0,687416000.0,,65897000.0
MUSA,2015-12-31,False,FY,2015,10-K,12699411000.0,254764000.0,176300000.0,4.06,4.02,0.0,1886241000.0,435667000.0,392292000.0,102335000.0,792290000.0,215838000.0,-189634000.0,-251974000.0,490382000.0,,205225000.0
MUSA,2016-09-30,False,Q3,2016,10-Q,3042738000.0,79281000.0,45491000.0,1.17,1.16,0.0,2056829000.0,528079000.0,417368000.0,206692000.0,759187000.0,209828000.0,-74227000.0,-31244000.0,679382000.0,,198911000.0
MUSA,2015-06-30,False,Q2,2015,10-Q,3517221000.0,54222000.0,26191000.0,0.59,0.59,0.0,1842034000.0,529024000.0,472027000.0,121445000.0,719317000.0,77816000.0,-91566000.0,-192910000.0,489403000.0,,690000.0
MUSA,2017-06-30,False,Q2,2017,10-Q,3211060000.0,101297000.0,55563000.0,1.52,1.51,0.0,2223186000.0,565744000.0,409261000.0,197095000.0,680641000.0,40442000.0,-137578000.0,140418000.0,884044000.0,,134150000.0
MUSA,2016-12-31,False,FY,2016,10-K,11594600000.0,299865000.0,221492000.0,5.64,5.59,0.0,2088740000.0,515554000.0,514560000.0,153813000.0,697076000.0,337440000.0,-134854000.0,-151108000.0,670218000.0,,262144000.0
MUSA,2016-06-30,False,Q2,2016,10-Q,3005762000.0,84463000.0,46310000.0,1.18,1.17,0.0,2083846000.0,571981000.0,455697000.0,254210000.0,757912000.0,168602000.0,-31980000.0,15253000.0,678638000.0,,116569000.0
MUSA,2015-09-30,False,Q3,2015,10-Q,3382507000.0,106392000.0,60531000.0,1.42,1.41,0.0,1766493000.0,421319000.0,396237000.0,65302000.0,723440000.0,148842000.0,-158630000.0,-251878000.0,489911000.0,,2889000.0
MUSA,2014-12-31,False,FY,2014,10-K,17209919000.0,394471000.0,243863000.0,5.29,5.26,0.0,1934257000.0,665882000.0,413080000.0,328105000.0,858705000.0,305582000.0,-149415000.0,-122803000.0,492443000.0,,1369000.0
MUSA,2015-03-31,False,Q1,2015,10-Q,2962515000.0,41109000.0,22932000.0,0.5,0.5,0.0,1923267000.0,648520000.0,428418000.0,287671000.0,841198000.0,34418000.0,-32495000.0,-42357000.0,492659000.0,,362000.0
MUSA,2018-09-30,False,Q3,2018,10-Q,3788000000.0,70000000.0,45000000.0,1.4,1.38,0.0,2325600000.0,541300000.0,540800000.0,75400000.0,728900000.0,241400000.0,-167700000.0,-168300000.0,867800000.0,,163000000.0
MUSA,2017-09-30,False,Q3,2017,10-Q,3236351000.0,117902000.0,67887000.0,1.92,1.9,0.0,2279507000.0,575760000.0,486009000.0,169014000.0,665093000.0,166366000.0,-205442000.0,54277000.0,884694000.0,,201532000.0
MUSA,2018-06-30,False,Q2,2018,10-Q,3829000000.0,82100000.0,51800000.0,1.59,1.58,0.0,2292800000.0,536500000.0,550200000.0,71900000.0,686300000.0,166300000.0,-106000000.0,-158400000.0,871900000.0,,102300000.0
MUSA,2018-03-31,False,Q1,2018,10-Q,3244200000.0,60000000.0,39300000.0,1.17,1.16,0.0,2252500000.0,518200000.0,496100000.0,144100000.0,705300000.0,107400000.0,-52300000.0,-79900000.0,876300000.0,,48700000.0
MUSA,2017-12-31,False,FY,2017,10-K,12826600000.0,283193000.0,245264000.0,6.85,6.78,0.0,2331039000.0,614294000.0,533351000.0,170028000.0,738402000.0,283625000.0,-262107000.0,-5303000.0,880751000.0,,258257000.0
