symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MXL,2014-06-30,False,Q2,2014,10-Q,35592000.0,-334000.0,-612000.0,-0.02,-0.02,0.0,134963000.0,107534000.0,37726000.0,31248000.0,95864000.0,11641000.0,-5410000.0,-1429000.0,,,4641000.0
MXL,2014-03-31,False,Q1,2014,10-Q,32501000.0,-803000.0,-862000.0,-0.02,-0.02,0.0,131956000.0,107364000.0,41691000.0,28500000.0,89116000.0,4091000.0,-1949000.0,-87000.0,,,1445000.0
MXL,2012-09-30,False,Q3,2012,10-Q,27795000.0,445000.0,450000.0,0.01,0.01,0.0,113657000.0,104045000.0,29093000.0,26634000.0,83881000.0,6182000.0,115000.0,-7696000.0,,,3026000.0
MXL,2013-09-30,False,Q3,2013,10-Q,31765000.0,-4698000.0,-4882000.0,-0.14,-0.14,0.0,120182000.0,92646000.0,34617000.0,26500000.0,84648000.0,10067000.0,-5388000.0,-2000.0,,,2633000.0
MXL,2013-06-30,False,Q2,2013,10-Q,29773000.0,-2781000.0,-2904000.0,-0.09,-0.09,0.0,117653000.0,90826000.0,30803000.0,24718000.0,85947000.0,7006000.0,-4094000.0,-12000.0,,,1822000.0
MXL,2018-12-31,False,FY,2018,10-K,384997000.0,-19097000.0,-26199000.0,-0.38,-0.38,0.0,738831000.0,180611000.0,70567000.0,73142000.0,399936000.0,102689000.0,-7825000.0,-93784000.0,255757000.0,238330000.0,7825000.0
MXL,2014-09-30,False,Q3,2014,10-Q,32541000.0,-3189000.0,-3205000.0,-0.09,-0.09,0.0,137200000.0,113900000.0,39691000.0,34055000.0,96034000.0,18002000.0,-8329000.0,-2057000.0,,,7767000.0
MXL,2013-03-31,False,Q1,2013,10-Q,26534000.0,-2202000.0,-2300000.0,-0.07,-0.07,0.0,112245000.0,86952000.0,30728000.0,17174000.0,80689000.0,801000.0,-5414000.0,-26000.0,,,542000.0
MXL,2014-12-31,False,FY,2014,10-K,133112000.0,-8858000.0,-7041000.0,-0.19,-0.19,0.0,135711000.0,100914000.0,33246000.0,20696000.0,99102000.0,12234000.0,-17466000.0,-506000.0,,1201000.0,8800000.0
MXL,2013-12-31,False,FY,2013,10-K,119646000.0,-12350000.0,-12733000.0,-0.37,-0.37,0.0,124929000.0,93716000.0,37158000.0,26450000.0,86674000.0,12890000.0,-9537000.0,1270000.0,,,3162000.0
MXL,2012-12-31,False,FY,2012,10-K,97728000.0,-12908000.0,-13252000.0,-0.4,-0.4,0.0,110597000.0,98018000.0,29568000.0,21810000.0,80233000.0,7544000.0,-4191000.0,-9577000.0,,,5055000.0
MXL,2015-12-31,False,FY,2015,10-K,300360000.0,-43649000.0,-42331000.0,-0.79,-0.79,0.0,334505000.0,190002000.0,55832000.0,67956000.0,262924000.0,55041000.0,-11059000.0,4003000.0,,49779000.0,2996000.0
MXL,2015-09-30,False,Q3,2015,10-Q,95191000.0,1677000.0,1582000.0,0.03,0.03,0.0,342610000.0,167477000.0,67485000.0,58149000.0,264528000.0,30483000.0,6633000.0,1012000.0,,49373000.0,1480000.0
MXL,2015-06-30,False,Q2,2015,10-Q,70824000.0,-32060000.0,-30647000.0,-0.58,-0.58,0.0,339301000.0,159049000.0,74236000.0,56731000.0,254342000.0,8402000.0,28065000.0,-512000.0,,48888000.0,1460000.0
MXL,2015-03-31,False,Q1,2015,10-Q,35396000.0,-4554000.0,-4722000.0,-0.12,-0.12,0.0,141509000.0,102031000.0,39858000.0,22769000.0,98129000.0,3768000.0,-987000.0,-714000.0,,1201000.0,1024000.0
MXL,2012-06-30,False,Q2,2012,10-Q,24420000.0,-2497000.0,-2559000.0,-0.08,-0.08,0.0,115718000.0,106414000.0,25505000.0,12512000.0,89537000.0,-125000.0,-16430000.0,1034000.0,,,1626000.0
MXL,2011-09-30,False,Q3,2011,10-Q,17639000.0,-3157000.0,-11388000.0,-0.35,-0.35,0.0,113163000.0,106973000.0,17712000.0,43521000.0,94469000.0,-5172000.0,25421000.0,1697000.0,,,2187000.0
MXL,2011-06-30,False,Q2,2011,10-Q,18094000.0,-5684000.0,-4796000.0,-0.15,-0.15,0.0,122126000.0,110382000.0,17320000.0,21934000.0,103454000.0,-2458000.0,1379000.0,1440000.0,,,1742000.0
MXL,2011-12-31,False,FY,2011,10-K,71937000.0,-15013000.0,-22024000.0,-0.68,-0.68,0.0,112376000.0,95079000.0,18494000.0,28026000.0,93025000.0,-7109000.0,10818000.0,2733000.0,,,2962000.0
MXL,2012-03-31,False,Q1,2012,10-Q,20683000.0,-6451000.0,-6562000.0,-0.2,-0.2,0.0,108533000.0,95093000.0,19280000.0,23796000.0,88760000.0,-1080000.0,-3183000.0,31000.0,,,848000.0
MXL,2016-03-31,False,Q1,2016,10-Q,102685000.0,21702000.0,19116000.0,0.31,0.29,0.0,366257000.0,226696000.0,63274000.0,76840000.0,288015000.0,38954000.0,-30695000.0,632000.0,,49779000.0,3222000.0
MXL,2016-06-30,False,Q2,2016,10-Q,101687000.0,22371000.0,22584000.0,0.36,0.33,0.0,391912000.0,251407000.0,55620000.0,147582000.0,321188000.0,71299000.0,7634000.0,689000.0,,56714000.0,4710000.0
MXL,2016-09-30,False,Q3,2016,10-Q,96324000.0,10664000.0,9679000.0,0.15,0.14,0.0,408376000.0,186844000.0,54491000.0,56076000.0,338703000.0,89714000.0,-99770000.0,-1737000.0,,75794000.0,6828000.0
MXL,2017-09-30,False,Q3,2017,10-Q,113581000.0,-10643000.0,-9167000.0,-0.14,-0.14,0.0,877014000.0,219418000.0,98381000.0,71576000.0,396648000.0,53321000.0,-429111000.0,365779000.0,367322000.0,239673000.0,4398000.0
MXL,2018-03-31,False,Q1,2018,10-Q,110827000.0,4430000.0,1847000.0,0.03,0.03,0.0,808714000.0,201065000.0,67061000.0,55645000.0,406448000.0,11971000.0,-2381000.0,-26411000.0,322896000.0,237810000.0,2381000.0
MXL,2017-03-31,False,Q1,2017,10-Q,88841000.0,10433000.0,8463000.0,0.13,0.12,0.0,446097000.0,248429000.0,64555000.0,89121000.0,366013000.0,22672000.0,-10655000.0,-4876000.0,,75673000.0,743000.0
MXL,2016-12-31,False,FY,2016,10-K,387832000.0,63059000.0,61292000.0,0.96,0.91,0.0,422652000.0,214043000.0,54543000.0,82896000.0,352424000.0,117317000.0,-101313000.0,-670000.0,,76015000.0,8512000.0
MXL,2017-06-30,False,Q2,2017,10-Q,104175000.0,-15795000.0,10965000.0,0.17,0.16,0.0,937627000.0,258169000.0,110197000.0,87568000.0,397907000.0,15582000.0,-426558000.0,416131000.0,417021000.0,238838000.0,1898000.0
MXL,2018-06-30,False,Q2,2018,10-Q,101533000.0,-247000.0,-14422000.0,-0.21,-0.21,0.0,798366000.0,209695000.0,80160000.0,74059000.0,399921000.0,47795000.0,-4804000.0,-42823000.0,305183000.0,238330000.0,4804000.0
MXL,2017-12-31,False,FY,2017,10-K,420318000.0,-21671000.0,-9187000.0,-0.14,-0.14,0.0,824862000.0,201304000.0,76386000.0,71872000.0,387424000.0,75064000.0,-432151000.0,347021000.0,347609000.0,237992000.0,7468000.0
MXL,2018-09-30,False,Q3,2018,10-Q,85010000.0,-12568000.0,-13935000.0,-0.2,-0.2,0.0,742144000.0,174253000.0,66464000.0,67185000.0,392394000.0,78516000.0,-6413000.0,-78910000.0,270470000.0,238330000.0,6413000.0
