symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MYE,2018-12-31,False,FY,2018,10-K,566735000.0,6327000.0,-3349000.0,-0.1,-0.1,0.54,348645000.0,182855000.0,97423000.0,58894000.0,154638000.0,61252000.0,-2490000.0,-10758000.0,,59068000.0,5123000.0
MYE,2011-06-30,False,Q2,2011,10-Q,176805000.0,8673000.0,4658000.0,0.13,0.13,0.07,436267000.0,228330000.0,95320000.0,6936000.0,218838000.0,8751000.0,-4917000.0,-1815000.0,,41082000.0,5765000.0
MYE,2011-12-31,False,FY,2011,10-K,755654000.0,38409000.0,24505000.0,0.71,0.71,0.28,428757000.0,218452000.0,110656000.0,6801000.0,206140000.0,64172000.0,-22037000.0,-39406000.0,,44666000.0,21930000.0
MYE,2012-06-30,False,Q2,2012,10-Q,181101000.0,9992000.0,5658000.0,0.17,0.17,0.08,455195000.0,253740000.0,92032000.0,35612000.0,222318000.0,7920000.0,-6730000.0,25924000.0,,44688000.0,8386000.0
MYE,2011-09-30,False,Q3,2011,10-Q,190045000.0,7259000.0,7214000.0,0.21,0.21,0.07,425922000.0,218440000.0,105709000.0,2851000.0,203013000.0,40245000.0,-13447000.0,-29023000.0,,44523000.0,13337000.0
MYE,2012-09-30,False,Q3,2012,10-Q,197290000.0,9772000.0,5796000.0,0.17,0.17,0.08,482125000.0,253721000.0,112544000.0,6468000.0,229090000.0,23341000.0,-16591000.0,-10539000.0,,53645000.0,15236000.0
MYE,2012-03-31,False,Q1,2012,10-Q,198789000.0,17117000.0,9985000.0,0.3,0.29,0.08,438318000.0,233376000.0,103007000.0,3296000.0,216553000.0,-6410000.0,-1809000.0,4038000.0,,44788000.0,3138000.0
MYE,2013-03-31,False,Q1,2013,10-Q,214980000.0,13244000.0,7883000.0,0.24,0.23,0.09,488603000.0,249014000.0,103373000.0,4053000.0,234093000.0,-6503000.0,-4412000.0,10551000.0,103578000.0,61039000.0,4508000.0
MYE,2013-09-30,False,Q3,2013,10-Q,194920000.0,12075000.0,6488000.0,0.19,0.19,0.09,479404000.0,244767000.0,114202000.0,7004000.0,240255000.0,46843000.0,-19739000.0,-23393000.0,75490000.0,61223000.0,20003000.0
MYE,2014-03-31,False,Q1,2014,10-Q,208789000.0,2639000.0,680000.0,0.02,0.02,0.13,496882000.0,265793000.0,110633000.0,5738000.0,228726000.0,-60669000.0,-4605000.0,65272000.0,117500000.0,60905000.0,4653000.0
MYE,2012-12-31,False,FY,2012,10-K,791188000.0,51856000.0,29962000.0,0.89,0.88,0.32,484856000.0,239596000.0,114477000.0,3948000.0,230022000.0,60752000.0,-42484000.0,-23899000.0,92814000.0,61056000.0,26977000.0
MYE,2013-06-30,False,Q2,2013,10-Q,204024000.0,13119000.0,8312000.0,0.25,0.25,0.09,482971000.0,248914000.0,104086000.0,22258000.0,235020000.0,30137000.0,-10827000.0,-516000.0,95988000.0,60285000.0,10216000.0
MYE,2013-12-31,False,FY,2013,10-K,825210000.0,43933000.0,26002000.0,0.77,0.76,0.36,469457000.0,234910000.0,150583000.0,6539000.0,235507000.0,96068000.0,-29941000.0,-60788000.0,,60642000.0,30001000.0
MYE,2014-06-30,False,Q2,2014,10-Q,152784000.0,11286000.0,5749000.0,0.18,0.17,0.13,498643000.0,334592000.0,133991000.0,35792000.0,195319000.0,-21026000.0,7645000.0,42584000.0,138500000.0,51737000.0,6971000.0
MYE,2014-09-30,False,Q3,2014,10-Q,162109000.0,-2678000.0,-2743000.0,-0.09,-0.09,0.13,629945000.0,345022000.0,144244000.0,8358000.0,176002000.0,-16884000.0,-155247000.0,174061000.0,277590000.0,70203000.0,10860000.0
MYE,2015-09-30,False,Q3,2015,10-Q,141661000.0,2578000.0,333000.0,0.01,0.01,0.135,445382000.0,165948000.0,97155000.0,5240000.0,104501000.0,-4192000.0,51682000.0,-46531000.0,215284000.0,58372000.0,17669000.0
MYE,2015-06-30,False,Q2,2015,10-Q,164335000.0,19742000.0,11419000.0,0.37,0.37,0.135,466314000.0,176825000.0,109394000.0,3887000.0,129948000.0,-14641000.0,59861000.0,-45737000.0,201977000.0,62553000.0,9381000.0
MYE,2016-09-30,False,Q3,2016,10-Q,132676000.0,2986000.0,414000.0,0.01,0.01,0.14,395355000.0,145662000.0,80145000.0,5538000.0,98775000.0,18600000.0,-15330000.0,-5907000.0,100000000.0,59459000.0,11490000.0
MYE,2014-12-31,False,FY,2014,10-K,623649000.0,22618000.0,-8681000.0,-0.27,-0.27,0.52,564833000.0,285441000.0,153814000.0,4676000.0,146571000.0,38695000.0,-168598000.0,126864000.0,237109000.0,66639000.0,24170000.0
MYE,2016-06-30,False,Q2,2016,10-Q,144117000.0,11166000.0,5494000.0,0.18,0.18,0.14,410304000.0,151975000.0,73117000.0,6499000.0,100870000.0,-3072000.0,-14421000.0,15714000.0,100000000.0,59613000.0,10565000.0
MYE,2015-03-31,False,Q1,2015,10-Q,156348000.0,6716000.0,5239000.0,0.16,0.16,0.14,465686000.0,176298000.0,115823000.0,3720000.0,119488000.0,-27679000.0,64564000.0,-37843000.0,205307000.0,61825000.0,4657000.0
MYE,2017-03-31,False,Q1,2017,10-Q,141703000.0,7358000.0,3114000.0,0.1,0.1,0.14,377849000.0,144830000.0,86184000.0,7325000.0,93644000.0,13049000.0,619000.0,-14398000.0,100000000.0,59306000.0,498000.0
MYE,2016-03-31,False,Q1,2016,10-Q,151205000.0,1129000.0,-3393000.0,-0.11,-0.11,0.14,429607000.0,164602000.0,94682000.0,5601000.0,95791000.0,-11317000.0,-11168000.0,20359000.0,100000000.0,59605000.0,7140000.0
MYE,2015-12-31,False,FY,2015,10-K,601538000.0,30861000.0,17762000.0,0.58,0.57,0.54,429916000.0,154308000.0,116812000.0,7344000.0,97703000.0,37732000.0,47715000.0,-81821000.0,100000000.0,64035000.0,23727000.0
MYE,2016-12-31,False,FY,2016,10-K,558062000.0,16168000.0,1057000.0,0.03,0.03,0.54,381684000.0,141151000.0,79312000.0,7888000.0,93033000.0,33721000.0,-16089000.0,-17753000.0,100000000.0,59219000.0,12523000.0
MYE,2018-03-31,False,Q1,2018,10-Q,152568000.0,12022000.0,6844000.0,0.22,0.22,0.14,349650000.0,151181000.0,96618000.0,3015000.0,95926000.0,10753000.0,1147000.0,-10790000.0,,59669000.0,1206000.0
MYE,2017-09-30,False,Q3,2017,10-Q,144075000.0,7111000.0,3257000.0,0.11,0.11,0.14,373407000.0,153292000.0,98320000.0,4511000.0,97732000.0,36110000.0,2947000.0,-42406000.0,100000000.0,60048000.0,5128000.0
MYE,2017-06-30,False,Q2,2017,10-Q,142303000.0,5580000.0,1993000.0,0.07,0.07,0.14,370806000.0,144541000.0,87712000.0,4673000.0,94812000.0,23634000.0,-425000.0,-26391000.0,100000000.0,59592000.0,2345000.0
MYE,2017-12-31,False,FY,2017,10-K,547043000.0,24888000.0,-9889000.0,-0.33,-0.33,0.54,355942000.0,150012000.0,98653000.0,2520000.0,93752000.0,44439000.0,4137000.0,-53736000.0,,59971000.0,5814000.0
MYE,2018-09-30,False,Q3,2018,10-Q,135219000.0,-25839000.0,-21139000.0,-0.6,-0.6,0.14,341453000.0,170158000.0,86237000.0,46505000.0,159057000.0,41979000.0,-927000.0,-5695000.0,,59666000.0,3560000.0
MYE,2018-06-30,False,Q2,2018,10-Q,140560000.0,13111000.0,8608000.0,0.26,0.26,0.14,360689000.0,168033000.0,88312000.0,38940000.0,181261000.0,28204000.0,315000.0,-752000.0,,59470000.0,2318000.0
