symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NCS,2012-04-29,False,Q2,2012,10-Q,250231000.0,4944000.0,-16281000.0,-0.86,-0.86,0.0,562661000.0,312904000.0,173208000.0,73856000.0,-46797000.0,9989000.0,-13862000.0,-1326000.0,,5200000.0,13899000.0
NCS,2012-01-29,False,Q1,2012,10-Q,243603000.0,4285000.0,-10039000.0,-0.54,-0.54,0.0,544615000.0,296630000.0,157019000.0,66706000.0,-40794000.0,-4205000.0,-5745000.0,-2321000.0,,5200000.0,5770000.0
NCS,2011-07-31,False,Q3,2011,10-Q,262138000.0,6569000.0,-13077000.0,-0.71,-0.71,0.0,559945000.0,308508000.0,176460000.0,49675000.0,-31207000.0,5447000.0,-14153000.0,-18975000.0,,5200000.0,14735000.0
NCS,2013-04-28,False,Q2,2013,10-Q,293399000.0,-1945000.0,-5342000.0,-0.28,-0.28,0.0,724568000.0,321037000.0,204398000.0,27538000.0,-373402000.0,-4423000.0,-12715000.0,-10437000.0,238375000.0,76856000.0,12715000.0
NCS,2012-07-29,False,Q3,2012,10-Q,298488000.0,7034000.0,-52070000.0,-2.74,-2.74,0.0,720930000.0,309651000.0,199324000.0,32318000.0,-378841000.0,20245000.0,-163224000.0,96240000.0,249373000.0,73909000.0,22288000.0
NCS,2011-10-30,False,FY,2011,10-K,959577000.0,-1627000.0,-47466000.0,-2.58,-2.58,0.0,561154000.0,311611000.0,174043000.0,78982000.0,-35690000.0,41437000.0,-20457000.0,-19397000.0,,5200000.0,21040000.0
NCS,2014-02-02,False,Q1,2014,10-Q,310666000.0,-3168000.0,-4258000.0,-0.06,-0.06,0.0,709646000.0,324518000.0,206289000.0,16599000.0,229672000.0,-33975000.0,-3748000.0,-22849000.0,237175000.0,75226000.0,4735000.0
NCS,2013-01-27,False,Q1,2013,10-Q,297584000.0,398000.0,-3627000.0,-0.19,-0.19,0.0,706723000.0,300535000.0,183434000.0,25827000.0,-371468000.0,-13172000.0,-6071000.0,-10064000.0,228715000.0,76856000.0,6071000.0
NCS,2013-07-28,False,Q3,2013,10-Q,317201000.0,4277000.0,-12192000.0,-0.19,-0.19,0.0,730316000.0,338445000.0,204138000.0,16149000.0,237729000.0,-9143000.0,-17545000.0,-12244000.0,238375000.0,75226000.0,17545000.0
NCS,2012-10-28,False,FY,2012,10-K,1154010000.0,31689000.0,-72120000.0,-3.81,-3.81,0.0,751484000.0,341835000.0,220058000.0,55158000.0,-370528000.0,47722000.0,-166150000.0,94550000.0,248750000.0,76746000.0,28151000.0
