symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NEWM,2016-09-25,False,Q3,2016,10-Q,306837000.0,10628000.0,2795000.0,0.06,0.06,0.33,1189028000.0,235501000.0,184094000.0,54520000.0,621537000.0,67312000.0,-112209000.0,-47221000.0,363670000.0,219971000.0,7731000.0
NEWM,2015-03-29,False,Q1,2015,10-Q,250617000.0,2601000.0,-6066000.0,-0.14,-0.14,0.3,1149985000.0,197313000.0,149144000.0,26929000.0,615180000.0,25055000.0,-380226000.0,258391000.0,372875000.0,175290000.0,1692000.0
NEWM,2016-03-27,False,Q1,2016,10-Q,300104000.0,7030000.0,4967000.0,0.11,0.11,0.33,1193190000.0,256338000.0,172663000.0,79390000.0,637750000.0,9828000.0,-61072000.0,-16004000.0,365425000.0,206236000.0,2588000.0
NEWM,2016-06-26,False,Q2,2016,10-Q,314830000.0,16746000.0,9383000.0,0.21,0.21,0.33,1188825000.0,244081000.0,172461000.0,60689000.0,632965000.0,30824000.0,-85186000.0,-31587000.0,364548000.0,214270000.0,5443000.0
NEWM,2015-06-28,False,Q2,2015,10-Q,299480000.0,19498000.0,11195000.0,0.25,0.25,0.33,1185425000.0,206328000.0,163015000.0,12674000.0,612028000.0,51187000.0,-428703000.0,266481000.0,397057000.0,175147000.0,3886000.0
NEWM,2015-09-27,False,Q3,2015,10-Q,312056000.0,14648000.0,6108000.0,0.14,0.14,0.33,1181276000.0,216136000.0,179911000.0,30330000.0,603800000.0,104830000.0,-435130000.0,236921000.0,382180000.0,177569000.0,6385000.0
NEWM,2015-12-27,True,FY,2015,10-K,1195815000.0,103425000.0,67614000.0,1.53,1.52,1.29,1200263000.0,331910000.0,175547000.0,146638000.0,647073000.0,115319000.0,-298698000.0,206308000.0,366302000.0,171119000.0,10155000.0
NEWM,2015-12-27,False,FY,2015,10-K,1195815000.0,103425000.0,67614000.0,1.53,1.52,1.29,1200263000.0,331910000.0,175547000.0,146638000.0,647073000.0,,,,0.0,171119000.0,
NEWM,2016-12-25,False,FY,2016,10-K,1255356000.0,61371000.0,31641000.0,0.7,0.7,1.34,1336030000.0,370348000.0,195868000.0,172246000.0,754973000.0,98361000.0,-144833000.0,72080000.0,362794000.0,227954000.0,10631000.0
NEWM,2017-06-25,False,Q2,2017,10-Q,322873000.0,-6455000.0,-21687000.0,-0.41,-0.41,0.35,1253320000.0,344275000.0,179020000.0,154327000.0,688247000.0,49639000.0,-12221000.0,-55337000.0,351039000.0,200735000.0,4824000.0
NEWM,2015-12-27,True,FY,2015,10-K,1195815000.0,103425000.0,67614000.0,1.53,1.52,1.29,1197120000.0,331910000.0,175547000.0,146638000.0,647073000.0,115319000.0,-298698000.0,206308000.0,366302000.0,171119000.0,10155000.0
NEWM,2017-09-24,False,Q3,2017,10-Q,317176000.0,11490000.0,-1971000.0,-0.04,-0.04,0.35,1265047000.0,352593000.0,192131000.0,160541000.0,668448000.0,80768000.0,-34237000.0,-58236000.0,370162000.0,202388000.0,7206000.0
NEWM,2018-04-01,False,Q1,2018,10-Q,340765000.0,7051000.0,-665000.0,-0.01,-0.01,0.37,1304870000.0,279772000.0,204357000.0,67026000.0,654580000.0,18663000.0,-22131000.0,27438000.0,417319000.0,243673000.0,1929000.0
NEWM,2017-12-31,False,FY,2017,10-K,1342004000.0,34613000.0,-915000.0,-0.02,-0.02,1.42,1283546000.0,263197000.0,203657000.0,43056000.0,674393000.0,110806000.0,-160273000.0,-79723000.0,368351000.0,236555000.0,11090000.0
NEWM,2017-03-26,False,Q1,2017,10-Q,307524000.0,-2845000.0,-3685000.0,-0.07,-0.07,0.35,1291911000.0,326389000.0,179629000.0,135886000.0,732709000.0,18248000.0,-23817000.0,-30791000.0,351916000.0,229389000.0,2400000.0
NEWM,2014-06-29,False,Q2,2014,10-Q,158433000.0,7374000.0,-3269000.0,-0.11,-0.11,0.0,670543000.0,133640000.0,80199000.0,31347000.0,385423000.0,3181000.0,-9356000.0,5711000.0,200000000.0,126571000.0,1639000.0
NEWM,2014-09-28,False,Q3,2014,10-Q,165060000.0,4578000.0,-4708000.0,-0.15,-0.15,0.27,830045000.0,245503000.0,97111000.0,135063000.0,487480000.0,23983000.0,-73987000.0,153256000.0,240000000.0,132476000.0,3018000.0
NEWM,2014-03-30,False,Q1,2014,10-Q,142033000.0,-3072000.0,-6691000.0,-0.22,-0.22,0.0,670660000.0,119284000.0,90430000.0,21947000.0,388674000.0,1510000.0,-8665000.0,-2709000.0,182922000.0,126571000.0,778000.0
NEWM,2018-07-01,False,Q2,2018,10-Q,388802000.0,23314000.0,11706000.0,0.2,0.2,0.37,1430057000.0,299535000.0,227738000.0,73755000.0,755285000.0,57603000.0,-142060000.0,115156000.0,416288000.0,288432000.0,5041000.0
NEWM,2014-12-28,False,FY,2014,10-K,652323000.0,26356000.0,-3205000.0,-0.1,-0.1,0.54,825095000.0,244181000.0,95073000.0,123709000.0,484127000.0,41446000.0,-81603000.0,132055000.0,229437000.0,134042000.0,5012000.0
