symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NGS,2012-09-30,False,Q3,2012,10-Q,19290000.0,4242000.0,2606000.0,0.21,0.21,0.0,230128000.0,61955000.0,14413000.0,30924000.0,171896000.0,31546000.0,-17074000.0,62000.0,,10039000.0,17074000.0
NGS,2012-06-30,False,Q2,2012,10-Q,24508000.0,4829000.0,3000000.0,0.25,0.24,0.0,223833000.0,62438000.0,12804000.0,30472000.0,168826000.0,20354000.0,-6319000.0,47000.0,,10039000.0,6319000.0
NGS,2012-03-31,False,Q1,2012,10-Q,26376000.0,5622000.0,3508000.0,0.29,0.29,0.0,220432000.0,59771000.0,14605000.0,29438000.0,165374000.0,14841000.0,-1787000.0,-6000.0,,10039000.0,1787000.0
NGS,2011-06-30,False,Q2,2011,10-Q,13758000.0,3222000.0,2008000.0,0.16,0.16,0.0,197982000.0,45084000.0,9315000.0,16861000.0,155745000.0,16027000.0,-18501000.0,198000.0,,10039000.0,19481000.0
NGS,2011-12-31,False,FY,2011,10-K,65158000.0,14860000.0,9760000.0,0.8,0.8,0.0,212164000.0,49503000.0,12312000.0,16390000.0,161542000.0,33623000.0,-35506000.0,-864000.0,,10039000.0,36525000.0
NGS,2011-09-30,False,Q3,2011,10-Q,17701000.0,3643000.0,2231000.0,0.18,0.18,0.0,202680000.0,44973000.0,10106000.0,16461000.0,158336000.0,24064000.0,-26855000.0,115000.0,,10039000.0,27835000.0
NGS,2012-12-31,False,FY,2012,10-K,93722000.0,20215000.0,12685000.0,1.04,1.03,0.0,232751000.0,62036000.0,11786000.0,28086000.0,175825000.0,35418000.0,-23761000.0,39000.0,,10039000.0,23766000.0
NGS,2013-06-30,False,Q2,2013,10-Q,20258000.0,5844000.0,3844000.0,0.31,0.31,0.0,244394000.0,63923000.0,10894000.0,29330000.0,184630000.0,19419000.0,-18429000.0,254000.0,,10039000.0,18429000.0
NGS,2013-09-30,False,Q3,2013,10-Q,21865000.0,5088000.0,3394000.0,0.28,0.27,0.0,249900000.0,63336000.0,10636000.0,27727000.0,188834000.0,28397000.0,-29175000.0,419000.0,,10039000.0,29175000.0
NGS,2014-03-31,False,Q1,2014,10-Q,22322000.0,4362000.0,2856000.0,0.23,0.23,0.0,258367000.0,54020000.0,10256000.0,20607000.0,196419000.0,9615000.0,-13439000.0,-12000.0,,10039000.0,13439000.0
NGS,2013-03-31,False,Q1,2013,10-Q,23983000.0,6137000.0,3994000.0,0.33,0.32,0.0,236071000.0,61880000.0,8781000.0,31281000.0,179982000.0,10935000.0,-7713000.0,-27000.0,,10039000.0,7713000.0
NGS,2014-06-30,False,Q2,2014,10-Q,21952000.0,5085000.0,3385000.0,0.27,0.27,0.0,267818000.0,53709000.0,15128000.0,14439000.0,200964000.0,18231000.0,-28422000.0,187000.0,,10039000.0,28462000.0
