symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NGVC,2014-03-31,False,Q2,2014,10-Q,130343000.0,7117000.0,3999000.0,0.18,0.18,0.0,175464000.0,65262000.0,45004000.0,7814000.0,92178000.0,15648000.0,-16308000.0,342000.0,19755000.0,900000.0,17853000.0
NGVC,2018-12-31,False,Q1,2019,10-Q,221515000.0,4036000.0,2197000.0,0.1,0.1,0.0,310132000.0,107325000.0,76816000.0,4536000.0,149168000.0,7527000.0,-11560000.0,-829000.0,12700000.0,5198000.0,11511000.0
NGVC,2013-12-31,False,Q1,2014,10-Q,120580000.0,5430000.0,2922000.0,0.13,0.13,0.0,163608000.0,59708000.0,38293000.0,6222000.0,87593000.0,5310000.0,-7184000.0,-36000.0,19800000.0,900000.0,7684000.0
NGVC,2013-06-30,False,Q3,2013,10-Q,113164186.0,5209521.0,2885892.0,0.13,0.13,0.0,147655372.0,54678057.0,35479025.0,5651928.0,81562686.0,15144834.0,-26355411.0,-428443.0,11158984.0,511029.0,25862698.0
NGVC,2014-06-30,False,Q3,2014,10-Q,134036000.0,6085000.0,3364000.0,0.15,0.15,0.0,181031000.0,66084000.0,47259000.0,6634000.0,95692000.0,22982000.0,-24787000.0,307000.0,0.0,900000.0,26427000.0
NGVC,2014-12-31,False,Q1,2015,10-Q,145887000.0,6441000.0,3564000.0,0.16,0.16,0.0,200479000.0,67008000.0,54617000.0,1855000.0,102577000.0,6906000.0,-13169000.0,3005000.0,3100000.0,5338000.0,7572000.0
NGVC,2015-06-30,False,Q3,2015,10-Q,158650000.0,7234000.0,4345000.0,0.19,0.19,0.0,223203000.0,77743000.0,62067000.0,3234000.0,112530000.0,29221000.0,-30395000.0,-705000.0,0.0,5198000.0,24806000.0
NGVC,2015-03-31,False,Q2,2015,10-Q,157744000.0,9383000.0,5403000.0,0.24,0.24,0.0,211757000.0,76156000.0,61122000.0,7236000.0,108078000.0,24329000.0,-21554000.0,-652000.0,0.0,5198000.0,15957000.0
NGVC,2015-12-31,False,Q1,2016,10-Q,167786000.0,6694000.0,3748000.0,0.17,0.17,0.0,242216000.0,85537000.0,69755000.0,2142000.0,119461000.0,9493000.0,-10168000.0,-98000.0,0.0,5615000.0,10180000.0
NGVC,2015-09-30,False,FY,2015,10-K,624678000.0,28629000.0,16204000.0,0.72,0.72,0.0,233924000.0,82283000.0,69878000.0,2915000.0,115488000.0,41003000.0,-42338000.0,-863000.0,4538000.0,5198000.0,36750000.0
NGVC,2014-09-30,False,FY,2014,10-K,520674000.0,24248000.0,13473000.0,0.6,0.6,0.0,188985000.0,67113000.0,49886000.0,5113000.0,98854000.0,31749000.0,-34872000.0,104000.0,4672000.0,511000.0,36512000.0
