symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NLSNNV,2014-03-31,False,Q1,2014,10-Q,1489000000.0,193000000.0,58000000.0,0.15,0.15,0.2,15473000000.0,1933000000.0,1531000000.0,301000000.0,5797000000.0,90000000.0,-261000000.0,-75000000.0,6646000000.0,7812000000.0,14000000.0
NLSNNV,2014-06-30,False,Q2,2014,10-Q,1594000000.0,277000000.0,74000000.0,0.19,0.19,0.25,15556000000.0,1987000000.0,1503000000.0,310000000.0,5844000000.0,300000000.0,-363000000.0,-174000000.0,6692000000.0,7841000000.0,54000000.0
NLSN,2012-06-30,False,Q2,2012,10-Q,1385000000.0,237000000.0,104000000.0,0.28,0.28,0.0,14405000000.0,1644000000.0,1631000000.0,283000000.0,4785000000.0,113000000.0,-226000000.0,77000000.0,6843000000.0,7188000000.0,50000000.0
NLSN,2013-03-31,False,Q1,2013,10-Q,1376000000.0,171000000.0,35000000.0,0.1,0.1,0.16,14416000000.0,1609000000.0,1639000000.0,233000000.0,5248000000.0,54000000.0,-82000000.0,-12000000.0,6320000000.0,7322000000.0,9000000.0
NLSN,2013-06-30,False,Q2,2013,10-Q,1386000000.0,238000000.0,426000000.0,1.14,1.12,0.16,14540000000.0,2541000000.0,1534000000.0,1157000000.0,5580000000.0,260000000.0,745000000.0,-114000000.0,6255000000.0,6691000000.0,55000000.0
NLSNNV,2014-09-30,False,Q3,2014,10-Q,1572000000.0,311000000.0,91000000.0,0.24,0.24,0.25,15361000000.0,1982000000.0,1542000000.0,369000000.0,5700000000.0,692000000.0,-477000000.0,-376000000.0,6620000000.0,7715000000.0,96000000.0
NLSNNV,2015-03-31,False,Q1,2015,10-Q,1458000000.0,199000000.0,63000000.0,0.17,0.17,0.25,15388000000.0,2065000000.0,1438000000.0,343000000.0,4843000000.0,75000000.0,-291000000.0,314000000.0,7347000000.0,7640000000.0,33000000.0
NLSN,2013-09-30,False,Q3,2013,10-Q,1387000000.0,243000000.0,134000000.0,0.35,0.35,0.2,15715000000.0,2211000000.0,1774000000.0,737000000.0,5712000000.0,581000000.0,-523000000.0,410000000.0,6882000000.0,7686000000.0,79000000.0
NLSNNV,2018-12-31,False,FY,2018,10-K,6515000000.0,-475000000.0,-712000000.0,-2.0,-2.0,1.39,15179000000.0,2003000000.0,1657000000.0,524000000.0,3043000000.0,1058000000.0,-506000000.0,-676000000.0,8387000000.0,6987000000.0,106000000.0
NLSN,2013-12-31,False,FY,2013,10-K,5703000000.0,861000000.0,740000000.0,1.97,1.94,0.72,15530000000.0,2134000000.0,1535000000.0,564000000.0,5807000000.0,901000000.0,-687000000.0,83000000.0,6640000000.0,7684000000.0,130000000.0
NLSNNV,2015-09-30,False,Q3,2015,10-Q,1531000000.0,298000000.0,142000000.0,0.39,0.38,0.28,15277000000.0,2106000000.0,1755000000.0,358000000.0,4498000000.0,778000000.0,-504000000.0,-144000000.0,7453000000.0,7588000000.0,100000000.0
NLSN,2012-09-30,False,Q3,2012,10-Q,1423000000.0,281000000.0,105000000.0,0.29,0.29,0.0,14496000000.0,1683000000.0,1806000000.0,325000000.0,4981000000.0,444000000.0,-362000000.0,-80000000.0,6680000000.0,7276000000.0,72000000.0
NLSNNV,2015-06-30,False,Q2,2015,10-Q,1559000000.0,286000000.0,114000000.0,0.31,0.31,0.28,15465000000.0,2114000000.0,1633000000.0,331000000.0,4752000000.0,326000000.0,-393000000.0,155000000.0,7473000000.0,7690000000.0,69000000.0
NLSN,2011-06-30,False,Q2,2011,10-Q,1396000000.0,218000000.0,69000000.0,0.19,0.19,0.0,14870000000.0,1764000000.0,1772000000.0,374000000.0,4651000000.0,70000000.0,-234000000.0,97000000.0,,7300000000.0,66000000.0
NLSNNV,2014-12-31,False,FY,2014,10-K,6288000000.0,1089000000.0,384000000.0,1.01,1.0,0.95,15376000000.0,2019000000.0,1798000000.0,273000000.0,5133000000.0,1093000000.0,-732000000.0,-585000000.0,6862000000.0,7671000000.0,163000000.0
