symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NNN,2011-09-30,False,Q3,2011,10-Q,67460000.0,41857000.0,20936000.0,0.24,0.24,26.07,3146361000.0,,,19678000.0,1778856000.0,139145000.0,-431962000.0,310447000.0,894833000.0,,
NNN,2011-06-30,False,Q2,2011,10-Q,62516000.0,38474000.0,19607000.0,0.23,0.23,0.0,2798807000.0,,,3588000.0,1556448000.0,77859000.0,-114866000.0,38547000.0,598983000.0,,
NNN,2011-03-31,False,Q1,2011,10-Q,61952000.0,37917000.0,19124000.0,0.23,0.23,0.0,2753697000.0,,,2557000.0,1536871000.0,48866000.0,-57944000.0,9587000.0,598932000.0,,
NNN,2010-06-30,False,Q2,2010,10-Q,56496000.0,36511000.0,19510000.0,0.24,0.23,0.0,2587398000.0,,,51832000.0,1551714000.0,110323000.0,-18599000.0,-55117000.0,618780000.0,,
NNN,2010-09-30,False,Q3,2010,10-Q,56656000.0,36493000.0,19514000.0,0.23,0.23,0.0,2609755000.0,,,4009000.0,1542726000.0,161891000.0,-98553000.0,-74554000.0,598833000.0,,
NNN,2010-12-31,False,FY,2010,10-K,229056000.0,134915000.0,66212000.0,0.8,0.8,1.51,2713575000.0,,,2048000.0,1528774000.0,187914000.0,-220260000.0,19169000.0,598882000.0,,
NNN,2012-06-30,False,Q2,2012,10-Q,82751000.0,50255000.0,27579000.0,0.26,0.26,0.0,3703990000.0,,,2907000.0,2227410000.0,99767000.0,-281272000.0,182330000.0,845237000.0,,
NNN,2013-03-31,False,Q1,2013,10-Q,92565000.0,54780000.0,29304000.0,0.26,0.25,0.395,4001790000.0,,,3442000.0,2442760000.0,68823000.0,-46552000.0,-20905000.0,1165897000.0,,
NNN,2012-03-31,False,Q1,2012,10-Q,78658000.0,48488000.0,24755000.0,0.23,0.23,0.385,3612538000.0,,,3033000.0,2216172000.0,50600000.0,-190678000.0,141029000.0,895103000.0,,
NNN,2013-06-30,False,Q2,2013,10-Q,96121000.0,59696000.0,32724000.0,0.28,0.27,0.0,4649352000.0,,,236916000.0,2797571000.0,124189000.0,-466752000.0,577403000.0,1513587000.0,,
NNN,2012-09-30,False,Q3,2012,10-Q,85013000.0,47757000.0,33253000.0,0.31,0.3,0.0,3934198000.0,,,141446000.0,2278078000.0,171574000.0,-381248000.0,349038000.0,1165429000.0,,
NNN,2011-12-31,False,FY,2011,10-K,265793000.0,164427000.0,85540000.0,0.96,0.96,1.53,3434429000.0,,,2082000.0,2003876000.0,182946000.0,-752068000.0,569156000.0,894967000.0,,
NNN,2018-12-31,False,FY,2018,10-K,622661000.0,424762000.0,258120000.0,1.65,1.65,1.95,7103438000.0,,,114267000.0,4154605000.0,471909000.0,-609371000.0,250365000.0,12694000.0,,
NNN,2012-12-31,False,FY,2012,10-K,331752000.0,197603000.0,121489000.0,1.13,1.11,1.56,3988026000.0,,,2076000.0,2297585000.0,228130000.0,-601759000.0,373623000.0,1165662000.0,,
NNN,2013-09-30,False,Q3,2013,10-Q,100621000.0,62795000.0,34810000.0,0.29,0.29,0.0,4436860000.0,,,6530000.0,2787930000.0,215079000.0,-508289000.0,297664000.0,1513884000.0,,
NNN,2015-06-30,False,Q2,2015,10-Q,117208000.0,67404000.0,37330000.0,0.28,0.28,0.0,5131965000.0,,,2448000.0,3146154000.0,167829000.0,-259946000.0,83961000.0,1715354000.0,,
NNN,2014-03-31,False,Q1,2014,10-Q,104064000.0,62243000.0,34474000.0,0.28,0.28,0.405,4518462000.0,,,5926000.0,2783478000.0,78604000.0,-81692000.0,7529000.0,1514486000.0,,
NNN,2014-09-30,False,Q3,2014,10-Q,109856000.0,66400000.0,39081000.0,0.31,0.31,0.0,4866577000.0,,,4904000.0,2883329000.0,231753000.0,-477743000.0,249409000.0,1714401000.0,,
NNN,2015-03-31,False,Q1,2015,10-Q,116187000.0,69654000.0,45119000.0,0.34,0.34,0.42,5020836000.0,,,4456000.0,3123831000.0,97138000.0,-128919000.0,25633000.0,1715032000.0,,
