symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NNVC,2013-09-30,False,Q1,2014,10-Q,,-1888782.0,-6272780.0,-0.13,-0.13,0.0,25111032.0,20006027.0,1867495.0,19200882.0,11751247.0,-1324448.0,-3273989.0,9876074.0,,,3779637.0
NNVC,2012-12-31,False,Q2,2013,10-Q,,-1243604.0,-1208385.0,-0.01,-0.01,0.0,15612284.0,14681460.0,1397418.0,13879872.0,14214866.0,-2717613.0,0.0,38659358.0,,,1440717.0
NNVC,2018-12-31,False,Q2,2019,10-Q,,-2369198.0,-2230992.0,-0.03,-0.03,0.0,15004219.0,4072620.0,1163660.0,3903672.0,13840559.0,-3120563.0,,,,,57536.0
NNVC,2013-03-31,False,Q3,2013,10-Q,,-2190558.0,-3682589.0,-0.02,-0.02,0.0,17875352.0,16999441.0,4413903.0,15457807.0,10122382.0,-4425683.0,-1000000.0,42945363.0,,,1440717.0
NNVC,2013-06-30,False,FY,2013,10-K,,-6590379.0,-8875668.0,-0.19,-0.19,0.0,16407554.0,14521625.0,1178184.0,13923245.0,8009652.0,-5797772.0,-1064931.0,6510963.0,,,1505648.0
NNVC,2014-09-30,True,Q1,2015,10-Q,,-1687133.0,851697.0,0.015,0.015,0.0,49018154.0,41604153.0,752889.0,41120652.0,32189116.0,-1696025.0,-562512.0,6682297.0,5000000.0,,562512.0
NNVC,2014-06-30,False,FY,2014,10-K,,-8667372.0,-14106474.0,-0.28,-0.28,0.0,44569216.0,37664202.0,1226960.0,36696892.0,28604985.0,-6333625.0,-5231094.0,34338366.0,,,5231094.0
NNVC,2014-06-30,True,FY,2014,10-K,,-8667372.0,-13601616.0,-0.27,-0.27,0.0,44569216.0,37664202.0,1226960.0,36696892.0,23369303.0,-6333625.0,-5231094.0,34338366.0,,,5231094.0
NNVC,2014-09-30,False,Q1,2015,10-Q,,-1687133.0,-239070.0,-0.004,-0.004,0.0,49018154.0,41604153.0,752889.0,41120652.0,36827340.0,-1696025.0,-562512.0,6682297.0,,,562512.0
NNVC,2014-03-31,False,Q3,2014,10-Q,,-1233365.0,-294410.0,-0.01,-0.01,0.0,40949890.0,34604243.0,1208134.0,33265348.0,32029392.0,-5378062.0,-4618201.0,72186187.0,,,5123849.0
NNVC,2013-12-31,False,Q2,2014,10-Q,,-1751412.0,-1692382.0,-0.03,-0.03,0.0,22888676.0,17755223.0,1355762.0,16948832.0,10210668.0,-3517506.0,-3357983.0,52748897.0,,,3863631.0
NNVC,2011-09-30,False,Q1,2012,10-Q,0.0,-1140428.0,-1139976.0,-0.01,-0.01,0.0,12377127.0,11201205.0,991158.0,10879319.0,11385969.0,-676273.0,-29085.0,2360654.0,,,1440717.0
NNVC,2012-03-31,False,Q3,2012,10-Q,0.0,-2076785.0,-2031853.0,-0.013,-0.013,0.0,14375708.0,13280146.0,804070.0,12984397.0,13571638.0,-3321467.0,-58552.0,34149718.0,,,1440717.0
NNVC,2011-12-31,False,Q2,2012,10-Q,0.0,-1337064.0,-1391319.0,-0.009,-0.009,0.0,13561230.0,12421963.0,1172992.0,12099083.0,12388239.0,-1902472.0,-47343.0,31834233.0,,,1440717.0
NNVC,2012-09-30,False,Q1,2013,10-Q,,-1590985.0,-1803955.0,-0.01,-0.01,0.0,14353743.0,13368006.0,1557166.0,12929665.0,12796577.0,-1345320.0,0.0,0.0,,,1440717.0
NNVC,2012-06-30,False,FY,2012,10-K,,-6081749.0,-6207207.0,-0.04,-0.04,0.0,15629808.0,14589159.0,1779615.0,14274985.0,13850193.0,-4217986.0,-58552.0,9327500.0,,,1440717.0
NNVC,2014-12-31,False,Q2,2015,10-Q,,-1816655.0,-1881141.0,-0.03,-0.04,0.0,47605018.0,35493728.0,1121810.0,35258618.0,30508316.0,-2868243.0,-5313326.0,6743295.0,,,5313326.0
NNVC,2015-06-30,False,FY,2015,10-K,,-7063100.0,-2198172.0,-0.04,-0.09,0.0,44187089.0,31682173.0,600895.0,31467748.0,31785867.0,-6212332.0,-5760109.0,6743297.0,,,6760109.0
NNVC,2016-09-30,False,Q1,2017,10-Q,,-2440449.0,-3061444.0,-0.05,-0.05,0.0,34222669.0,22120490.0,6938875.0,21912927.0,20225066.0,-2224823.0,,,5688609.0,,24435.0
NNVC,2015-09-30,False,Q1,2016,10-Q,,-2225051.0,-1306954.0,-0.02,-0.02,0.0,42299209.0,29643751.0,983091.0,29480258.0,30711730.0,-1653826.0,,,,,333664.0
NNVC,2015-03-31,False,Q3,2015,10-Q,,-1122637.0,-251018.0,-0.0,-0.02,0.0,45602825.0,34294108.0,523429.0,33919404.0,31861382.0,-4956633.0,-4564152.0,6743297.0,,,5564152.0
NNVC,2016-03-31,False,Q3,2016,10-Q,,-2048226.0,-4991671.0,-0.09,-0.09,0.0,38317508.0,25910865.0,6619241.0,25596376.0,23981818.0,-5447105.0,-424267.0,,5271087.0,,424267.0
NNVC,2016-06-30,False,FY,2016,10-K,,-8859501.0,-10724629.0,-0.19,-0.19,0.0,36633418.0,24381643.0,6744014.0,24162185.0,23048214.0,-6829195.0,-476368.0,0.0,5474737.0,,476368.0
NNVC,2016-12-31,False,Q2,2017,10-Q,,-2297618.0,-1546400.0,-0.03,-0.03,0.0,31364268.0,19441287.0,6316059.0,19301566.0,19146018.0,-4836184.0,,,5910835.0,,24435.0
NNVC,2017-12-31,False,Q2,2018,10-Q,,-2393781.0,-2796894.0,-0.04,-0.04,0.0,23726089.0,12285932.0,6739605.0,12046400.0,15918374.0,-2960521.0,,,,,92540.0
NNVC,2017-03-31,False,Q3,2017,10-Q,,-2615714.0,-3138677.0,-0.05,-0.05,0.0,28579665.0,16742553.0,331643.0,16155085.0,22405748.0,-6888480.0,,,,,118620.0
NNVC,2015-12-31,False,Q2,2016,10-Q,,-2090301.0,-2775292.0,-0.05,-0.05,0.0,40849012.0,28343619.0,1466606.0,28237621.0,28384257.0,-2866641.0,,,,,363486.0
