symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NRZ,2014-09-30,False,Q3,2014,10-Q,97587000.0,,126372000.0,0.89,0.88,0.35,7773401000.0,,,187601000.0,1855861000.0,68814000.0,-1577732000.0,1424525000.0,5585600000.0,,
NRZ,2018-12-31,False,FY,2018,10-K,50218000.0,,963967000.0,2.82,2.81,2.0,31691013000.0,,,251058000.0,6088295000.0,-1229114000.0,-5171090000.0,6369232000.0,22673065000.0,24645000.0,
NRZ,2014-03-31,False,Q1,2014,10-Q,71490000.0,,48772000.0,0.19,0.19,0.175,6998834000.0,,,140495000.0,1560649000.0,2064000.0,-1400500000.0,1266937000.0,5377899000.0,,
NRZ,2013-06-30,False,Q2,2013,10-Q,22999000.0,,109222000.0,0.43,0.42,0.07,2742442000.0,,,209699000.0,1245725000.0,18053000.0,-178284000.0,369930000.0,,,
NRZ,2013-03-31,False,Q1,2013,10-Q,16191000.0,,13075000.0,0.06,0.06,0.07,1693100000.0,,,102936000.0,767419000.0,,,,,,
NRZ,2013-09-30,False,Q3,2013,10-Q,21885000.0,,63145000.0,0.25,0.24,0.175,2931844000.0,,,172203000.0,1261036000.0,104580000.0,-301054000.0,368677000.0,,,
NRZ,2013-12-31,False,FY,2013,10-K,87567000.0,,265949000.0,1.05,1.03,0.495,5958658000.0,,,271994000.0,1513075000.0,152940000.0,-993453000.0,1112507000.0,2488618000.0,,
NRZ,2014-12-31,False,FY,2014,10-K,346857000.0,,352877000.0,2.59,2.53,1.58,8093690000.0,,,212985000.0,1849925000.0,155373000.0,-2013619000.0,1799237000.0,6062299000.0,,
NRZ,2015-09-30,False,Q3,2015,10-Q,105108000.0,,54525000.0,0.24,0.24,0.46,15356218000.0,,,348312000.0,3026071000.0,362111000.0,-117194000.0,-109590000.0,11038723000.0,,
NRZ,2015-03-31,False,Q1,2015,10-Q,84373000.0,,35975000.0,0.25,0.25,0.38,7467622000.0,,,459334000.0,1814414000.0,-18591000.0,1119469000.0,-854529000.0,5338807000.0,,
NRZ,2014-06-30,False,Q2,2014,10-Q,92656000.0,,123503000.0,0.45,0.44,0.25,7039316000.0,,,311126000.0,1811780000.0,27435000.0,-1080125000.0,1091822000.0,5104627000.0,,
NRZ,2015-06-30,False,Q2,2015,10-Q,178177000.0,,75119000.0,0.37,0.37,0.45,14394798000.0,,,432007000.0,3095082000.0,517275000.0,2600000.0,-717680000.0,10311446000.0,,
NRZ,2016-03-31,False,Q1,2016,10-Q,78637000.0,,111736000.0,0.48,0.48,0.46,17571777000.0,,,258622000.0,3078996000.0,169353000.0,221899000.0,-382566000.0,12863125000.0,,
NRZ,2015-12-31,False,FY,2015,10-K,352316000.0,,268636000.0,1.34,1.32,1.75,15192722000.0,,,249936000.0,2986580000.0,320763000.0,-312742000.0,28930000.0,11305998000.0,,
NRZ,2016-06-30,False,Q2,2016,10-Q,78112000.0,,68652000.0,0.3,0.3,0.46,17905148000.0,,,233845000.0,3113261000.0,342869000.0,94095000.0,-453055000.0,12944157000.0,,
NRZ,2018-03-31,False,Q1,2018,10-Q,18889000.0,,604253000.0,1.83,1.81,0.5,22011941000.0,,,233233000.0,5761687000.0,513659000.0,216242000.0,-763030000.0,14685727000.0,,
NRZ,2016-09-30,False,Q3,2016,10-Q,101128000.0,,98908000.0,0.41,0.41,0.46,17704382000.0,,,388674000.0,3417511000.0,523999000.0,76317000.0,-461577000.0,12782716000.0,,
NRZ,2017-06-30,False,Q2,2017,10-Q,480969000.0,,321732000.0,1.05,1.04,0.5,23000015000.0,,,560016000.0,4618958000.0,-343470000.0,-2775859000.0,3382992000.0,16069475000.0,,
NRZ,2017-03-31,False,Q1,2017,10-Q,76043000.0,,121378000.0,0.42,0.42,0.48,20029987000.0,,,236557000.0,4301760000.0,-378842000.0,-1013879000.0,1333954000.0,13858564000.0,,
NRZ,2017-09-30,False,Q3,2017,10-Q,260354000.0,,226121000.0,0.74,0.73,0.5,21404833000.0,,,279760000.0,4679204000.0,-617817000.0,-1569623000.0,2165550000.0,15099119000.0,,
NRZ,2017-12-31,False,FY,2017,10-K,1056756000.0,,957533000.0,3.17,3.15,1.98,22213562000.0,,,295798000.0,4796162000.0,-899718000.0,-1777579000.0,2669650000.0,15760970000.0,,
NRZ,2018-09-30,False,Q3,2018,10-Q,11741000.0,,184608000.0,0.54,0.54,0.5,30090769000.0,,,330148000.0,5837048000.0,-75761000.0,-5024453000.0,5140061000.0,21663262000.0,48921000.0,
NRZ,2018-06-30,False,Q2,2018,10-Q,12492000.0,,174758000.0,0.52,0.51,0.5,22943731000.0,,,193236000.0,5798924000.0,196776000.0,-55662000.0,-232487000.0,15484977000.0,,
NRZ,2016-12-31,False,FY,2016,10-K,364350000.0,,504453000.0,2.12,2.12,1.84,18365035000.0,,,290602000.0,3468177000.0,560796000.0,-182583000.0,-269154000.0,13208783000.0,,
