symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NUE,2018-12-31,False,FY,2018,10-K,25067279000.0,,2351423000.0,7.44,7.42,1.54,17920588000.0,8636265000.0,2806300000.0,1398886000.0,10201968000.0,2393952000.0,-1030069000.0,-908177000.0,56200000.0,2184336000.0,982531000.0
NUE,2011-10-01,False,Q3,2011,10-Q,5252144000.0,,180926000.0,0.57,0.57,0.3625,14807265000.0,6893896000.0,2358085000.0,1101437000.0,7679181000.0,673144000.0,-524753000.0,-369849000.0,,1830338000.0,318252000.0
NUE,2010-04-03,False,Q1,2010,10-Q,3654842000.0,,30964000.0,0.1,0.1,0.36,12802702000.0,5461786000.0,1541156000.0,1659589000.0,7509342000.0,-3037000.0,-253936000.0,-105213000.0,,1831294000.0,54216000.0
NUE,2011-04-02,False,Q1,2011,10-Q,4833934000.0,,159242000.0,0.5,0.5,0.3625,14344446000.0,6295610000.0,1787626000.0,1152944000.0,7453591000.0,47495000.0,-84026000.0,-138975000.0,,1847994000.0,96036000.0
NUE,2010-10-02,False,Q3,2010,10-Q,4140069000.0,,23059000.0,0.07,0.07,0.36,13260925000.0,5761113000.0,1478265000.0,1850093000.0,7430349000.0,216241000.0,-594615000.0,206847000.0,,1831685000.0,238330000.0
NUE,2011-07-02,False,Q2,2011,10-Q,5107809000.0,,298725000.0,0.94,0.94,0.3625,14733549000.0,6716495000.0,2002685000.0,1189544000.0,7675391000.0,292722000.0,-161435000.0,-269470000.0,,1845948000.0,212893000.0
NUE,2010-07-03,False,Q2,2010,10-Q,4195966000.0,,90543000.0,0.29,0.29,0.36,12688180000.0,5186933000.0,1511957000.0,801504000.0,7455107000.0,-293759000.0,-680420000.0,-244547000.0,,1828058000.0,163219000.0
NUE,2013-03-30,False,Q1,2013,10-Q,4550772000.0,,84403000.0,0.26,0.26,0.3675,14039010000.0,5546741000.0,1986987000.0,902700000.0,7802243000.0,128811000.0,-138787000.0,-139091000.0,,1990903000.0,330585000.0
NUE,2012-09-29,False,Q3,2012,10-Q,4801206000.0,,109896000.0,0.35,0.35,0.365,14997247000.0,6622073000.0,2887027000.0,1693197000.0,7863574000.0,1124684000.0,-264644000.0,-371263000.0,,2008461000.0,613777000.0
NUE,2012-06-30,False,Q2,2012,10-Q,5104199000.0,,111877000.0,0.35,0.35,0.365,14766566000.0,6486344000.0,2757288000.0,1111989000.0,7782559000.0,446486000.0,-266660000.0,-269641000.0,,1988874000.0,383448000.0
