symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NVRO,2015-12-31,False,FY,2015,10-K,69606000.0,-62367000.0,-67431000.0,-2.54,-2.54,0.0,291183000.0,282631000.0,36389000.0,87036000.0,234592000.0,-100430000.0,39658000.0,122827000.0,32085000.0,,5008000.0
NVRO,2014-12-31,False,FY,2014,10-K,32573000.0,-28306000.0,-30827000.0,-6.94,-6.94,0.0,202496000.0,201125000.0,10798000.0,25287000.0,172070000.0,-31148000.0,-108055000.0,152081000.0,31346000.0,,625000.0
NVRO,2018-12-31,False,FY,2018,10-K,387289000.0,-41743000.0,-49205000.0,-1.64,-1.64,0.0,463116000.0,443859000.0,62414000.0,51266000.0,245483000.0,-5708000.0,6433000.0,7754000.0,152394000.0,,8217000.0
NVRO,2015-03-31,False,Q1,2015,10-Q,9662000.0,-12339000.0,-14060000.0,-0.57,-0.57,0.0,192220000.0,187792000.0,13429000.0,21984000.0,159118000.0,-16829000.0,13447000.0,79000.0,30771000.0,,228000.0
NVRO,2016-03-31,False,Q1,2016,10-Q,41651000.0,-9017000.0,-9288000.0,-0.33,-0.33,0.0,274450000.0,265880000.0,25351000.0,48758000.0,228780000.0,-30265000.0,-8610000.0,633000.0,31503000.0,,940000.0
NVRO,2014-09-30,False,Q3,2014,10-Q,8668000.0,-6498000.0,-7929000.0,-5.96,-5.96,0.0,56113000.0,53479000.0,8689000.0,14476000.0,-106009000.0,-22000000.0,24358000.0,-291000.0,,,236000.0
NVRO,2015-06-30,False,Q2,2015,10-Q,11418000.0,-19175000.0,-19726000.0,-0.77,-0.77,0.0,297327000.0,291507000.0,16040000.0,58711000.0,261527000.0,-40613000.0,-45919000.0,120006000.0,30190000.0,,1852000.0
NVRO,2015-09-30,False,Q3,2015,10-Q,15402000.0,-17709000.0,-19454000.0,-0.7,-0.7,0.0,287684000.0,279191000.0,23496000.0,87558000.0,244341000.0,-70009000.0,11932000.0,120585000.0,29602000.0,,4310000.0
NVRO,2016-06-30,False,Q2,2016,10-Q,55400000.0,-5923000.0,-8779000.0,-0.31,-0.31,0.0,412312000.0,402478000.0,30553000.0,50696000.0,246400000.0,-40930000.0,-134239000.0,139217000.0,134786000.0,,1624000.0
NVRO,2016-12-31,False,FY,2016,10-K,228504000.0,-23081000.0,-31778000.0,-1.12,-1.12,0.0,430583000.0,420291000.0,42198000.0,41406000.0,249034000.0,-58503000.0,-131687000.0,145164000.0,138140000.0,,3368000.0
NVRO,2017-03-31,False,Q1,2017,10-Q,68439000.0,-13051000.0,-14507000.0,-0.5,-0.5,0.0,417865000.0,407359000.0,34204000.0,19196000.0,242534000.0,-13767000.0,-10624000.0,2109000.0,139820000.0,,711000.0
NVRO,2016-09-30,False,Q3,2016,10-Q,60922000.0,-1872000.0,-3886000.0,-0.14,-0.14,0.0,419861000.0,408939000.0,34565000.0,42733000.0,247729000.0,-42861000.0,-141153000.0,140091000.0,136496000.0,,2414000.0
NVRO,2017-09-30,False,Q3,2017,10-Q,82256000.0,-4418000.0,-6230000.0,-0.21,-0.21,0.0,437936000.0,426597000.0,48606000.0,44042000.0,244239000.0,-11830000.0,5438000.0,8605000.0,143260000.0,,2475000.0
NVRO,2017-06-30,False,Q2,2017,10-Q,78016000.0,-9938000.0,-11610000.0,-0.4,-0.4,0.0,420772000.0,410293000.0,37054000.0,24869000.0,240790000.0,-17246000.0,-5033000.0,5517000.0,141520000.0,,1757000.0
NVRO,2018-03-31,False,Q1,2018,10-Q,87635000.0,-15702000.0,-17713000.0,-0.59,-0.59,0.0,444845000.0,427522000.0,53497000.0,27650000.0,242622000.0,-6238000.0,-10817000.0,1726000.0,146821000.0,,5016000.0
NVRO,2017-12-31,False,FY,2017,10-K,326674000.0,-29579000.0,-36658000.0,-1.25,-1.25,0.0,454056000.0,441181000.0,58004000.0,42845000.0,249172000.0,-14273000.0,4069000.0,11199000.0,145019000.0,,4327000.0
NVRO,2018-09-30,False,Q3,2018,10-Q,95630000.0,-9237000.0,-11265000.0,-0.37,-0.37,0.0,451050000.0,432817000.0,53795000.0,21377000.0,244302000.0,-10708000.0,-17269000.0,6455000.0,150508000.0,,7876000.0
NVRO,2018-06-30,False,Q2,2018,10-Q,96080000.0,-8201000.0,-10620000.0,-0.35,-0.35,0.0,449889000.0,431644000.0,53535000.0,40838000.0,245589000.0,-5112000.0,-2844000.0,6044000.0,148643000.0,,6457000.0
