symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NXRT,2015-06-30,False,Q2,2015,10-Q,28747296.0,1973827.0,-2252621.0,-0.11,-0.11,0.206,903080176.0,,,24156124.0,260913732.0,7393217.0,-189454438.0,193555810.0,,,
NXRT,2016-03-31,False,Q1,2016,10-Q,33511000.0,5517000.0,-15000.0,0.0,0.0,0.206,959265000.0,,,17366000.0,243751000.0,8936000.0,-1817000.0,-5979000.0,,,
NXRT,2018-12-31,False,FY,2018,10-K,146597000.0,16792000.0,-1609000.0,-0.08,-0.08,1.025,1161210000.0,,,19864000.0,296028000.0,41743000.0,-136954000.0,95092000.0,845713000.0,,
NXRT,2015-12-31,False,FY,2015,10-K,117658000.0,7477000.0,-10832000.0,-0.51,-0.51,0.618,976273000.0,,,16226000.0,248938000.0,21041000.0,-268579000.0,251102000.0,,,
NXRT,2015-03-31,True,Q1,2015,10-Q,25537470.0,,-5398853.0,0.0,0.0,0.0,889752653.0,,,31923332.0,0.0,1139385.0,-162971885.0,181094297.0,,,
NXRT,2016-09-30,False,Q3,2016,10-Q,33079000.0,4942000.0,7090000.0,0.33,0.33,0.206,886218000.0,,,34086000.0,249585000.0,28488000.0,116417000.0,-127045000.0,196480000.0,,
NXRT,2015-09-30,False,Q3,2015,10-Q,30770893.0,3731812.0,-1064320.0,-0.04,-0.04,0.206,970184486.0,,,18957993.0,256430429.0,15802966.0,-267683416.0,258176908.0,696504702.0,,
NXRT,2017-06-30,False,Q2,2017,10-Q,35234000.0,1900000.0,7406000.0,0.35,0.34,0.22,1098581000.0,,,26254000.0,195232000.0,14227000.0,-67457000.0,53670000.0,29764000.0,,
NXRT,2017-03-31,False,Q1,2017,10-Q,36991000.0,3855000.0,-3616000.0,0.17,0.17,0.22,1053425000.0,,,27741000.0,248308000.0,7565000.0,-30023000.0,20939000.0,324768000.0,,
NXRT,2016-06-30,False,Q2,2016,10-Q,33657000.0,6693000.0,14590000.0,0.69,0.69,0.206,917432000.0,,,28550000.0,251744000.0,20424000.0,59674000.0,-67774000.0,196290000.0,,
NXRT,2017-09-30,False,Q3,2017,10-Q,37097000.0,4757000.0,53914000.0,2.56,2.51,0.22,1077425000.0,,,92695000.0,244116000.0,27499000.0,67618000.0,-28266000.0,29803000.0,,
NXRT,2018-03-31,False,Q1,2018,10-Q,35057000.0,3700000.0,10064000.0,0.48,0.47,0.25,1031630000.0,,,13935000.0,247723000.0,3131000.0,22723000.0,-36909000.0,774473000.0,,1300000.0
NXRT,2018-09-30,False,Q3,2018,10-Q,36495000.0,4806000.0,-5245000.0,-0.25,-0.25,0.25,1175713000.0,,,19324000.0,231485000.0,30452000.0,-123984000.0,95861000.0,925945000.0,,1900000.0
NXRT,2016-12-31,False,FY,2016,10-K,132848000.0,21845000.0,21882000.0,1.03,1.03,0.838,1035397000.0,,,22705000.0,256102000.0,33776000.0,-51904000.0,10294000.0,310492000.0,,
NXRT,2017-12-31,False,FY,2017,10-K,144235000.0,13289000.0,53374000.0,2.53,2.49,0.91,1055375000.0,,,16036000.0,239444000.0,37506000.0,2324000.0,-51843000.0,29843000.0,,
NXRT,2018-06-30,False,Q2,2018,10-Q,35655000.0,5235000.0,-1661000.0,-0.08,-0.08,0.25,1039555000.0,,,18312000.0,239944000.0,17333000.0,14449000.0,-35811000.0,785693000.0,,1800000.0
