symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
NYNY,2012-03-31,False,Q1,2012,10-Q,17282000.0,501000.0,-118000.0,0.0,0.0,0.0,50388000.0,20535000.0,7629000.0,12682000.0,25333000.0,-1310000.0,-609000.0,,,,87000.0
NYNY,2018-09-30,False,Q3,2018,10-Q,59948000.0,-17890000.0,-33748000.0,-1.03,-1.03,0.0,831332000.0,37772000.0,100199000.0,18390000.0,184869000.0,-42335000.0,-20252000.0,92602000.0,546763000.0,,932000.0
NYNY,2011-12-31,False,FY,2011,10-K,70196000.0,1237000.0,-1575000.0,-0.06,-0.06,0.0,49834000.0,20202000.0,7529000.0,14601000.0,24879000.0,3291000.0,-1473000.0,-177000.0,,,711000.0
NYNY,2013-03-31,False,Q1,2013,10-Q,16831000.0,-105000.0,-842000.0,-0.03,-0.03,0.0,52583000.0,11296000.0,10717000.0,5291000.0,24440000.0,-3105000.0,-667000.0,,,,275000.0
NYNY,2012-06-30,False,Q2,2012,10-Q,18859000.0,455000.0,-148000.0,0.0,0.0,0.0,52839000.0,19370000.0,9674000.0,11823000.0,25739000.0,46000.0,-2824000.0,0.0,,,130000.0
NYNY,2012-09-30,False,Q3,2012,10-Q,19720000.0,911000.0,216000.0,0.01,0.01,0.0,51980000.0,17926000.0,8056000.0,10056000.0,26498000.0,-641000.0,-3904000.0,0.0,,,185000.0
NYNY,2011-06-30,False,Q2,2011,10-Q,18566000.0,990000.0,262000.0,0.005,0.005,0.0,48734000.0,20269000.0,6799000.0,13850000.0,24509000.0,1398000.0,-382000.0,-126000.0,,,409000.0
NYNY,2011-09-30,False,Q3,2011,10-Q,20062000.0,1089000.0,479000.0,0.01,0.01,0.0,50531000.0,21875000.0,7443000.0,15171000.0,25662000.0,2965000.0,-613000.0,-141000.0,,,623000.0
NYNY,2013-06-30,False,Q2,2013,10-Q,18921000.0,-752000.0,-6126000.0,-0.19,-0.19,0.0,60483000.0,18480000.0,11288000.0,11342000.0,8969000.0,-3886000.0,-3485000.0,9650000.0,,,323000.0
NYNY,2013-09-30,False,Q3,2013,10-Q,19678000.0,-389000.0,-790000.0,-0.02,-0.02,0.0,60726000.0,18594000.0,12210000.0,10548000.0,8290000.0,-4297000.0,-3868000.0,9650000.0,,,713000.0
NYNY,2012-12-31,False,FY,2012,10-K,71973000.0,392000.0,-2264000.0,-0.08,-0.08,0.0,52449000.0,14148000.0,10210000.0,9063000.0,24813000.0,3049000.0,-8588000.0,1000.0,,,548000.0
NYNY,2013-12-31,False,FY,2013,10-K,70961000.0,-20120000.0,-27050000.0,-0.77,-0.77,0.0,39047000.0,12797000.0,8596000.0,7526000.0,-9775000.0,-4342000.0,-6567000.0,9372000.0,,,1036000.0
NYNY,2014-03-31,False,Q1,2014,10-Q,14607000.0,-2283000.0,-5396000.0,-0.15,-0.15,0.0,38739000.0,12752000.0,27320000.0,6132000.0,-13981000.0,-2288000.0,-101000.0,995000.0,,,100000.0
NYNY,2014-06-30,False,Q2,2014,10-Q,16219000.0,-7344000.0,-10346000.0,-0.27,-0.27,0.0,46111000.0,20428000.0,27625000.0,14865000.0,-9514000.0,-8058000.0,-229000.0,15626000.0,,,218000.0
NYNY,2014-09-30,False,Q3,2014,10-Q,18773000.0,-2320000.0,-4895000.0,-0.12,-0.12,0.0,42392000.0,16574000.0,26497000.0,9215000.0,-14275000.0,-13250000.0,-630000.0,15569000.0,,,632000.0
NYNY,2015-03-31,False,Q1,2015,10-Q,14525000.0,-3359000.0,-4094000.0,-0.09,-0.09,0.0,84110000.0,11241000.0,25974000.0,4614000.0,28587000.0,-4583000.0,-46821000.0,49583000.0,,,138000.0
NYNY,2015-06-30,False,Q2,2015,10-Q,17852000.0,-7000000.0,-7697000.0,-0.16,-0.16,0.0,81708000.0,13194000.0,29789000.0,6406000.0,23560000.0,-9302000.0,-42815000.0,52088000.0,,,318000.0
NYNY,2016-03-31,False,Q1,2016,10-Q,16205000.0,-4764000.0,-5219000.0,-0.26,-0.26,0.0,334739000.0,20968000.0,36138000.0,12885000.0,297040000.0,-12188000.0,-236493000.0,255154000.0,,,28000.0
NYNY,2015-12-31,False,FY,2015,10-K,68166000.0,-34000000.0,-36788000.0,-3.42,-3.42,0.0,65418000.0,13750000.0,20471000.0,6412000.0,-1459000.0,-31380000.0,-20298000.0,51655000.0,,,767000.0
NYNY,2016-06-30,False,Q2,2016,10-Q,17405000.0,-7047000.0,-7087000.0,-0.23,-0.23,0.0,341415000.0,18118000.0,48130000.0,11775000.0,290434000.0,-15323000.0,-234407000.0,255093000.0,,,241000.0
NYNY,2014-12-31,False,FY,2014,10-K,65226000.0,-14686000.0,-24100000.0,-0.62,-0.62,0.0,39867000.0,13490000.0,10303000.0,6435000.0,-17101000.0,-15492000.0,-1549000.0,15950000.0,,,1542000.0
NYNY,2016-12-31,False,FY,2016,10-K,67454000.0,-23683000.0,-24365000.0,-0.86,-0.86,0.0,339758000.0,17346000.0,51548000.0,11012000.0,279566000.0,-12921000.0,-236196000.0,253717000.0,,,1974000.0
