symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
OAK,2012-12-31,False,FY,2012,10-K,144983000.0,,107810000.0,3.83,3.83,2.31,43869998000.0,,,458191000.0,1393893000.0,6957358000.0,55047000.0,-7592778000.0,615179000.0,,5218000.0
OAK,2018-12-31,False,FY,2018,10-K,1861551000.0,,211141000.0,2.99,2.99,2.97,10432178000.0,,,831727000.0,2487717000.0,-617017000.0,-493150000.0,994983000.0,864529000.0,69300000.0,5816000.0
OAK,2013-03-31,False,Q1,2013,10-Q,42539000.0,,57566000.0,1.91,1.91,1.05,44917078000.0,,,687412000.0,1531866000.0,2257110000.0,17779000.0,-1495006000.0,608929000.0,,126000.0
OAK,2012-09-30,False,Q3,2012,10-Q,31906000.0,,25212000.0,0.84,0.84,0.79,46809327000.0,,,310854000.0,1270712000.0,3480013000.0,27113000.0,-3333747000.0,618929000.0,,4631000.0
OAK,2012-06-30,False,Q2,2012,10-Q,29207000.0,,24719000.0,0.84,0.84,0.55,44770769000.0,,,279311000.0,1254678000.0,2691146000.0,7132000.0,-2622976000.0,626429000.0,,3517000.0
OAK,2013-06-30,False,Q2,2013,10-Q,52414000.0,,56577000.0,1.71,1.71,1.41,43895417000.0,,,196151000.0,1613873000.0,4473782000.0,-570776000.0,-3935361000.0,591964000.0,,1389000.0
OAK,2013-09-30,False,Q3,2013,10-Q,56786000.0,,42948000.0,1.12,1.12,1.51,44701181000.0,,,304743000.0,1551507000.0,4663632000.0,-386114000.0,-4592345000.0,585714000.0,,3027000.0
OAK,2014-06-30,False,Q2,2014,10-Q,51560000.0,,31186000.0,0.72,0.72,0.98,51249837000.0,,,413864000.0,1772812000.0,-2425432000.0,248989000.0,2857953000.0,600000000.0,,2845000.0
OAK,2012-03-31,False,Q1,2012,10-Q,37068000.0,,18608000.0,0.82,0.82,0.42,45498028000.0,,,276420000.0,1202239000.0,2029108000.0,9064000.0,-1609219000.0,644643000.0,,2872000.0
OAK,2013-12-31,False,FY,2013,10-K,194922000.0,,221998000.0,6.35,6.35,0.0,45263254000.0,,,390721000.0,1708378000.0,5436017000.0,-417634000.0,-5312944000.0,579464000.0,,4609000.0
