symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
OAS,2018-12-31,False,FY,2018,10-K,2321947000.0,119012000.0,-35296000.0,-0.11,-0.11,0.0,7626142000.0,554155000.0,611776000.0,22190000.0,3918880000.0,996421000.0,-1613536000.0,622585000.0,2735276000.0,,1148961000.0
OAS,2016-12-31,False,FY,2016,10-K,704665000.0,-130833000.0,-243016000.0,-1.32,-1.32,0.0,6178632000.0,238549000.0,381115000.0,11226000.0,2923157000.0,228018000.0,-1070828000.0,844306000.0,2297214000.0,,426256000.0
OAS,2015-06-30,False,Q2,2015,10-Q,230046000.0,-7437000.0,-53230000.0,-0.39,-0.39,0.0,5783932000.0,377653000.0,545264000.0,13684000.0,2276932000.0,229886000.0,-374500000.0,112487000.0,155000000.0,,586661000.0
OAS,2016-06-30,False,Q2,2016,10-Q,179080000.0,-28214000.0,-89931000.0,-0.51,-0.51,0.0,5435539000.0,226237000.0,366071000.0,6475000.0,2360355000.0,91401000.0,-115413000.0,20757000.0,2127361000.0,,231341000.0
OAS,2016-03-31,False,Q1,2016,10-Q,130283000.0,-75215000.0,-64455000.0,-0.4,-0.4,0.0,5560268000.0,326363000.0,282463000.0,19397000.0,2444449000.0,-46051000.0,-30355000.0,86073000.0,2201938000.0,,103411000.0
OAS,2017-03-31,False,Q1,2017,10-Q,285116000.0,20092000.0,23825000.0,0.1,0.1,0.0,6189628000.0,269193000.0,352511000.0,13785000.0,2953474000.0,107799000.0,-104766000.0,-474000.0,2305879000.0,,96047000.0
OAS,2015-03-31,False,Q1,2015,10-Q,210478000.0,-33635000.0,-18041000.0,-0.17,-0.17,0.0,5916937000.0,546587000.0,642239000.0,10188000.0,2324245000.0,88361000.0,-250682000.0,126698000.0,165000000.0,,359113000.0
OAS,2016-09-30,False,Q3,2016,10-Q,177311000.0,-25702000.0,-33942000.0,-0.19,-0.19,0.0,5398261000.0,222845000.0,291143000.0,13776000.0,2387504000.0,123419000.0,-212171000.0,92798000.0,2125573000.0,,340314000.0
OAS,2015-09-30,False,Q3,2015,10-Q,197235000.0,-19926000.0,27055000.0,0.2,0.2,0.0,5725108000.0,363650000.0,415933000.0,12265000.0,2309482000.0,280337000.0,-450358000.0,136475000.0,180000000.0,,740633000.0
OAS,2017-06-30,False,Q2,2017,10-Q,254091000.0,5379000.0,16568000.0,0.07,0.07,0.0,6261721000.0,290207000.0,340682000.0,11440000.0,2977610000.0,209861000.0,-259141000.0,49494000.0,2359683000.0,,252461000.0
OAS,2015-12-31,False,FY,2015,10-K,789735000.0,-114164000.0,-40248000.0,-0.31,-0.31,0.0,5649375000.0,365286000.0,370568000.0,9730000.0,2319342000.0,359815000.0,-479148000.0,83252000.0,2200000000.0,,819847000.0
OAS,2018-03-31,False,Q1,2018,10-Q,421216000.0,112985000.0,590000.0,0.0,0.0,0.0,7638930000.0,418857000.0,670013000.0,17735000.0,3886158000.0,228359000.0,-812568000.0,585224000.0,2696533000.0,,254838000.0
