symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
OCX,2017-03-31,False,Q1,2017,10-Q,,-4532000.0,-4704000.0,-0.16,-0.16,0.0,15174000.0,13452000.0,4549000.0,11352000.0,8773000.0,-3290000.0,486000.0,3982000.0,,,16000.0
OCX,2016-09-30,False,Q3,2016,10-Q,,-2582000.0,-2595000.0,-0.1,-0.1,0.0,16860000.0,15282000.0,3968000.0,12674000.0,12681000.0,-5008000.0,-73000.0,9759000.0,,,19000.0
OCX,2016-06-30,False,Q2,2016,10-Q,,-2532000.0,-2543000.0,-0.1,-0.1,0.0,7424000.0,5746000.0,2713000.0,4000000.0,4467000.0,-3974000.0,-64000.0,42000.0,,,10000.0
OCX,2016-03-31,False,Q1,2016,10-Q,0.0,-2932000.0,-2928000.0,-0.12,-0.12,0.0,9647000.0,7897000.0,2752000.0,5856000.0,6895000.0,-2167000.0,-15000.0,42000.0,,,15000.0
OCX,2016-12-31,False,FY,2016,10-K,,-11140000.0,-11168000.0,-0.42,-0.42,0.0,14447000.0,12696000.0,4275000.0,10174000.0,9862000.0,-7522000.0,-181000.0,9881000.0,,,106000.0
OCX,2018-09-30,False,Q3,2018,10-Q,,-3023000.0,-2971000.0,-0.07,-0.07,0.0,12905000.0,11896000.0,4619000.0,10821000.0,7523000.0,-9193000.0,-31000.0,12445000.0,,,31000.0
OCX,2017-12-31,False,FY,2017,10-K,,-18849000.0,-19375000.0,-0.64,-0.64,0.0,10216000.0,8528000.0,4454000.0,7600000.0,4403000.0,-13385000.0,843000.0,9968000.0,1870000.0,,91000.0
OCX,2017-06-30,False,Q2,2017,10-Q,,-3589000.0,-3804000.0,-0.13,-0.13,0.0,12141000.0,10269000.0,4686000.0,8644000.0,5639000.0,-6571000.0,879000.0,4162000.0,,,55000.0
OCX,2017-09-30,False,Q3,2017,10-Q,,-6835000.0,-6906000.0,-0.22,-0.22,0.0,14249000.0,12484000.0,4637000.0,11024000.0,8048000.0,-10041000.0,849000.0,10042000.0,,,85000.0
OCX,2018-06-30,False,Q2,2018,10-Q,,-4226000.0,-4505000.0,-0.12,-0.12,0.0,12196000.0,11404000.0,4485000.0,10294000.0,6846000.0,-6710000.0,-22000.0,9426000.0,,,22000.0
OCX,2018-03-31,False,Q1,2018,10-Q,,-3906000.0,-3778000.0,-0.12,-0.12,0.0,15582000.0,14054000.0,5467000.0,12612000.0,9022000.0,-2753000.0,-5000.0,7770000.0,,,5000.0
