symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
OHI,2012-06-30,False,Q2,2012,10-Q,83825000.0,51574000.0,30572000.0,0.29,0.29,0.42,2551862000.0,,,2861000.0,935675000.0,94424000.0,-17353000.0,-74561000.0,1489991000.0,,14207000.0
OHI,2011-03-31,False,Q1,2011,10-Q,70476000.0,14786000.0,-11076000.0,-0.11,-0.11,0.37,2257927000.0,,,3381000.0,895189000.0,38706000.0,-5667000.0,-36579000.0,,,4325000.0
OHI,2012-03-31,False,Q1,2012,10-Q,84515000.0,51465000.0,26084000.0,0.25,0.25,0.41,2538803000.0,,,2717000.0,882883000.0,49544000.0,10032000.0,-57210000.0,1530004000.0,,7985000.0
OHI,2012-09-30,False,Q3,2012,10-Q,87108000.0,53147000.0,30119000.0,0.28,0.27,0.42,2759440000.0,,,6951000.0,1020920000.0,156967000.0,-228187000.0,77820000.0,1588539000.0,,20106000.0
OHI,2010-12-31,False,FY,2010,10-K,258321000.0,148937000.0,49350000.0,0.52,0.52,1.37,2304007000.0,,,6921000.0,1004066000.0,157563000.0,-394815000.0,242003000.0,,,36025000.0
OHI,2013-06-30,False,Q2,2013,10-Q,102515000.0,64733000.0,49058000.0,0.42,0.42,0.46,2979796000.0,,,7039000.0,1137296000.0,121328000.0,-44957000.0,-71043000.0,1706665000.0,,17307000.0
OHI,2013-09-30,False,Q3,2013,10-Q,103301000.0,63325000.0,38137000.0,0.32,0.32,0.47,3014778000.0,,,67757000.0,1189998000.0,200050000.0,-69795000.0,-64209000.0,1700047000.0,,23732000.0
OHI,2018-12-31,False,FY,2018,10-K,881682000.0,497590000.0,281578000.0,1.41,1.4,0.66,8590877000.0,,,10300000.0,3764484000.0,499373000.0,-173219000.0,-410701000.0,4540622000.0,643950000.0,29824000.0
OHI,2013-03-31,False,Q1,2013,10-Q,101761000.0,64471000.0,38120000.0,0.34,0.34,0.45,3004641000.0,,,25611000.0,1105754000.0,57600000.0,-11456000.0,-22244000.0,1765694000.0,,8328000.0
OHI,2011-09-30,False,Q3,2011,10-Q,72818000.0,43406000.0,21436000.0,0.21,0.21,0.4,2231665000.0,,,10730000.0,897845000.0,129018000.0,-20026000.0,-105183000.0,1218910000.0,,12012000.0
