symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
OI,2011-12-31,False,FY,2011,10-K,7358000000.0,,-510000000.0,-3.11,-3.11,0.0,8926000000.0,2694000000.0,2245000000.0,400000000.0,992000000.0,503000000.0,-426000000.0,-323000000.0,3703000000.0,2082000000.0,285000000.0
OI,2010-03-31,False,Q1,2010,10-Q,1582500000.0,,85300000.0,0.51,0.5,0.0,8371700000.0,2536700000.0,1898600000.0,521400000.0,1686600000.0,24500000.0,-122100000.0,-189300000.0,,2346700000.0,96800000.0
OI,2011-06-30,False,Q2,2011,10-Q,1959000000.0,,73000000.0,0.44,0.43,0.0,10144000000.0,2751000000.0,2192000000.0,260000000.0,2290000000.0,94000000.0,-300000000.0,-188000000.0,4005000000.0,2957000000.0,153000000.0
OI,2018-12-31,False,FY,2018,10-K,6877000000.0,,257000000.0,1.61,1.59,0.05,9699000000.0,2357000000.0,2207000000.0,512000000.0,900000000.0,791000000.0,-698000000.0,-53000000.0,,2513000000.0,536000000.0
OI,2010-12-31,False,FY,2010,10-K,6633000000.0,,-47000000.0,-0.29,-0.28,0.0,9754000000.0,2738000000.0,2079000000.0,640000000.0,2026000000.0,592000000.0,-1314000000.0,547000000.0,4021000000.0,2821000000.0,500000000.0
OI,2010-09-30,False,Q3,2010,10-Q,1741200000.0,,138300000.0,0.85,0.84,0.0,9883200000.0,2965600000.0,2155900000.0,700200000.0,2156100000.0,405000000.0,-1144700000.0,628300000.0,4072000000.0,2744300000.0,391600000.0
OI,2011-09-30,False,Q3,2011,10-Q,1862000000.0,,116000000.0,0.71,0.7,0.0,9552000000.0,2639000000.0,2113000000.0,256000000.0,2094000000.0,280000000.0,-351000000.0,-316000000.0,3793000000.0,2762000000.0,204000000.0
OI,2012-03-31,False,Q1,2012,10-Q,1739000000.0,,121000000.0,0.73,0.72,0.0,9161000000.0,2865000000.0,2116000000.0,299000000.0,1295000000.0,-95000000.0,-67000000.0,45000000.0,3811000000.0,2127000000.0,73000000.0
OI,2013-03-31,False,Q1,2013,10-Q,1641000000.0,,69000000.0,0.42,0.42,0.0,8517000000.0,2683000000.0,1929000000.0,359000000.0,1155000000.0,-136000000.0,-94000000.0,159000000.0,,2048000000.0,94000000.0
OI,2012-09-30,False,Q3,2012,10-Q,1747000000.0,,90000000.0,0.54,0.54,0.0,8871000000.0,2788000000.0,2038000000.0,336000000.0,1436000000.0,227000000.0,-125000000.0,-179000000.0,,2065000000.0,178000000.0
OI,2012-12-31,False,FY,2012,10-K,7000000000.0,,184000000.0,1.12,1.11,0.0,8598000000.0,2648000000.0,2162000000.0,431000000.0,1055000000.0,575000000.0,-221000000.0,-339000000.0,,2079000000.0,290000000.0
OI,2012-06-30,False,Q2,2012,10-Q,1766000000.0,,133000000.0,0.81,0.8,0.0,8834000000.0,2847000000.0,2114000000.0,336000000.0,1244000000.0,4000000.0,-100000000.0,27000000.0,3668000000.0,2023000000.0,124000000.0
OI,2011-03-31,False,Q1,2011,10-Q,1719000000.0,,72000000.0,0.44,0.44,0.0,9976000000.0,2785000000.0,2077000000.0,430000000.0,2181000000.0,-85000000.0,-67000000.0,-65000000.0,4126000000.0,2900000000.0,73000000.0
OI,2013-09-30,False,Q3,2013,10-Q,1784000000.0,,130000000.0,0.79,0.78,0.0,8472000000.0,2672000000.0,2087000000.0,219000000.0,1377000000.0,242000000.0,-249000000.0,-198000000.0,,2059000000.0,239000000.0
OI,2013-06-30,False,Q2,2013,10-Q,1781000000.0,,132000000.0,0.8,0.79,0.0,8410000000.0,2693000000.0,2119000000.0,249000000.0,1194000000.0,17000000.0,-162000000.0,-29000000.0,,2031000000.0,164000000.0
OI,2010-06-30,False,Q2,2010,10-Q,1710900000.0,,140700000.0,0.86,0.85,0.0,8358200000.0,2728000000.0,1919000000.0,682300000.0,1743700000.0,174600000.0,-261700000.0,-22200000.0,3244200000.0,2221700000.0,236500000.0
OI,2009-09-30,False,Q3,2009,10-Q,1874600000.0,,126700000.0,0.75,0.74,0.0,9119800000.0,3245500000.0,2099500000.0,1017100000.0,2000100000.0,579400000.0,-193100000.0,219300000.0,,2382300000.0,193700000.0
OI,2009-06-30,False,Q2,2009,10-Q,1807000000.0,,149300000.0,0.89,0.88,0.0,8614200000.0,2917400000.0,1957900000.0,677200000.0,1680500000.0,183200000.0,-118300000.0,225300000.0,,2290800000.0,124100000.0
OI,2015-03-31,False,Q1,2015,10-Q,1421000000.0,,71000000.0,0.44,0.44,0.0,7326000000.0,2199000000.0,2116000000.0,257000000.0,1028000000.0,-278000000.0,-157000000.0,207000000.0,,1752000000.0,106000000.0
OI,2014-03-31,False,Q1,2014,10-Q,1639000000.0,,101000000.0,0.61,0.61,0.0,8488000000.0,2577000000.0,2082000000.0,201000000.0,1760000000.0,-203000000.0,-95000000.0,122000000.0,,2059000000.0,108000000.0
OI,2009-12-31,False,FY,2009,10-K,7066500000.0,,161800000.0,0.96,0.95,0.0,8727400000.0,2796700000.0,2034300000.0,811700000.0,1736400000.0,800000000.0,-418000000.0,114200000.0,,2381000000.0,427600000.0
