symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ORI,2011-09-30,False,Q3,2011,10-Q,1113500000.0,,-116500000.0,-0.46,-0.46,0.175,15999100000.0,,,108700000.0,3827900000.0,-127600000.0,-183400000.0,292400000.0,912800000.0,,
ORI,2011-06-30,False,Q2,2011,10-Q,1094900000.0,,-66300000.0,-0.26,-0.26,0.175,16086900000.0,,,129600000.0,3972400000.0,-153400000.0,-190500000.0,346500000.0,923100000.0,,
ORI,2011-03-31,False,Q1,2011,10-Q,1129500000.0,,-24900000.0,-0.05,-0.05,0.175,16303600000.0,,,118100000.0,2733900000.0,-52100000.0,-446700000.0,489600000.0,1021500000.0,,
ORI,2010-06-30,False,Q2,2010,10-Q,1008100000.0,,57400000.0,0.24,0.23,0.1725,13969600000.0,,,65300000.0,3983800000.0,-211300000.0,280200000.0,-80800000.0,346800000.0,,
ORI,2010-09-30,False,Q3,2010,10-Q,986500000.0,,-38900000.0,-0.16,-0.16,0.1725,13994800000.0,,,88000000.0,4037700000.0,-172900000.0,305500000.0,-121700000.0,346400000.0,,
ORI,2012-06-30,False,Q2,2012,10-Q,1223900000.0,,-34000000.0,-0.13,-0.13,0.1775,15875200000.0,,,109200000.0,3712300000.0,130300000.0,315800000.0,-430000000.0,573800000.0,,
ORI,2010-12-31,False,FY,2010,10-K,4102700000.0,,30100000.0,0.13,0.13,0.69,15882700000.0,,,127300000.0,4121400000.0,-282200000.0,499800000.0,-167600000.0,475000000.0,,
ORI,2018-12-31,False,FY,2018,10-K,6021800000.0,,370500000.0,1.26,1.24,0.78,19327100000.0,,,5000000.0,5146200000.0,760500000.0,-239500000.0,-546500000.0,981400000.0,174000000.0,
ORI,2012-03-31,False,Q1,2012,10-Q,1158000000.0,,400000.0,0.0,0.0,0.1775,16164800000.0,,,117400000.0,3773300000.0,49000000.0,23400000.0,-48200000.0,910100000.0,,
ORI,2013-06-30,False,Q2,2013,10-Q,1461500000.0,,193900000.0,0.76,0.67,0.18,16299300000.0,,,112700000.0,3584500000.0,278300000.0,-173500000.0,-93200000.0,570000000.0,,
ORI,2013-03-31,False,Q1,2013,10-Q,1269900000.0,,56200000.0,0.22,0.21,0.18,16410700000.0,,,122600000.0,3673300000.0,143200000.0,-72100000.0,-49700000.0,570000000.0,,
ORI,2012-09-30,False,Q3,2012,10-Q,1304800000.0,,-14800000.0,-0.06,-0.06,0.1775,16187500000.0,,,125500000.0,3690100000.0,322300000.0,185700000.0,-475700000.0,573000000.0,,
ORI,2011-12-31,False,FY,2011,10-K,4645500000.0,,-140500000.0,-0.55,-0.55,0.7,16050400000.0,,,93000000.0,3772500000.0,-94900000.0,-187100000.0,247800000.0,912800000.0,162000000.0,4300000.0
ORI,2012-12-31,False,FY,2012,10-K,4970100000.0,,-68600000.0,-0.27,-0.27,0.71,16226800000.0,,,101200000.0,3596200000.0,532000000.0,-3700000.0,-520000000.0,572900000.0,160700000.0,1400000.0
ORI,2014-06-30,False,Q2,2014,10-Q,1333900000.0,,66100000.0,0.26,0.24,0.1825,17183900000.0,,,146300000.0,3953100000.0,172300000.0,-85100000.0,-94200000.0,566200000.0,,
ORI,2014-03-31,False,Q1,2014,10-Q,1430600000.0,,194400000.0,0.75,0.67,0.1825,16811000000.0,,,130200000.0,3865800000.0,135400000.0,-108500000.0,-50000000.0,566200000.0,,
ORI,2015-03-31,False,Q1,2015,10-Q,1330200000.0,,103400000.0,0.4,0.36,0.185,17201300000.0,,,150400000.0,4014200000.0,190800000.0,-126700000.0,-50400000.0,961700000.0,,
ORI,2014-09-30,False,Q3,2014,10-Q,1391000000.0,,85800000.0,0.33,0.3,0.1825,16986800000.0,,,219900000.0,3922900000.0,-370000000.0,183300000.0,253200000.0,965000000.0,,
ORI,2015-06-30,False,Q2,2015,10-Q,1410000000.0,,102000000.0,0.39,0.36,0.185,17277000000.0,,,128100000.0,3937400000.0,303700000.0,-215700000.0,-96500000.0,961700000.0,,
ORI,2013-09-30,False,Q3,2013,10-Q,1379500000.0,,102900000.0,0.4,0.36,0.18,16526400000.0,,,156300000.0,3716000000.0,459000000.0,-265500000.0,-138400000.0,569200000.0,,
ORI,2014-12-31,False,FY,2014,10-K,5530700000.0,,409700000.0,1.58,1.44,0.73,16988100000.0,,,19000000.0,3924000000.0,-181200000.0,-43300000.0,207900000.0,965000000.0,160700000.0,0.0
ORI,2016-03-31,False,Q1,2016,10-Q,1413500000.0,,122900000.0,0.48,0.43,0.1875,17433300000.0,,,137100000.0,4142600000.0,125900000.0,-128800000.0,-19800000.0,982300000.0,,
ORI,2016-06-30,False,Q2,2016,10-Q,1442200000.0,,101000000.0,0.39,0.35,0.1875,17991200000.0,,,168700000.0,4378000000.0,163800000.0,-89200000.0,-65600000.0,982900000.0,,
ORI,2016-09-30,False,Q3,2016,10-Q,1496000000.0,,110900000.0,0.43,0.39,0.1875,18810600000.0,,,144600000.0,4446100000.0,401900000.0,-849500000.0,432300000.0,1528000000.0,,
ORI,2017-06-30,False,Q2,2017,10-Q,1499000000.0,,101600000.0,0.39,0.35,0.19,19357100000.0,,,195100000.0,4661800000.0,259000000.0,-118000000.0,-91500000.0,1526100000.0,,
ORI,2013-12-31,False,FY,2013,10-K,5442700000.0,,447800000.0,1.74,1.57,0.72,16534400000.0,,,20100000.0,3775000000.0,686700000.0,-457600000.0,-176900000.0,569200000.0,160700000.0,2300000.0
ORI,2017-03-31,False,Q1,2017,10-Q,1444800000.0,,113100000.0,0.43,0.39,0.19,18905400000.0,,,177200000.0,4596600000.0,146100000.0,-72300000.0,-42200000.0,1525500000.0,,
ORI,2018-03-31,False,Q1,2018,10-Q,1330400000.0,,4000000.0,0.01,0.01,0.195,18998800000.0,,,103400000.0,5048600000.0,130800000.0,178900000.0,-332200000.0,974100000.0,,
ORI,2015-12-31,False,FY,2015,10-K,5766100000.0,,422100000.0,1.63,1.48,0.74,17110500000.0,,,21400000.0,3880800000.0,688200000.0,-449800000.0,-215200000.0,961700000.0,160700000.0,0.0
ORI,2016-12-31,False,FY,2016,10-K,5900500000.0,,466900000.0,1.8,1.62,0.75,18591600000.0,,,19900000.0,4471600000.0,637300000.0,-1036400000.0,385000000.0,1528700000.0,160700000.0,
ORI,2017-09-30,False,Q3,2017,10-Q,1593000000.0,,46100000.0,0.18,0.17,0.19,19747400000.0,,,139200000.0,4730000000.0,522100000.0,-389900000.0,-138600000.0,1526900000.0,,
ORI,2015-09-30,False,Q3,2015,10-Q,1545700000.0,,125900000.0,0.48,0.44,0.185,17327800000.0,,,160100000.0,3853800000.0,566500000.0,-365300000.0,-177800000.0,961700000.0,,
ORI,2018-06-30,False,Q2,2018,10-Q,1630700000.0,,197700000.0,0.66,0.66,0.195,19454200000.0,,,107900000.0,5103400000.0,287300000.0,119200000.0,-424600000.0,974400000.0,,
ORI,2018-09-30,False,Q3,2018,10-Q,1779700000.0,,275200000.0,0.92,0.92,0.195,19802300000.0,,,115200000.0,5311200000.0,597100000.0,-128700000.0,-479100000.0,981100000.0,,
ORI,2017-12-31,False,FY,2017,10-K,6263100000.0,,560500000.0,2.14,1.92,1.0,19403500000.0,,,20000000.0,4733300000.0,452800000.0,-293900000.0,-178500000.0,1448700000.0,160700000.0,
