symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
PDC,2012-03-31,False,Q1,2012,10-Q,231978000.0,29748000.0,14172000.0,0.23,0.23,0.0,1199084000.0,225730000.0,144188000.0,21401000.0,526541000.0,29652000.0,-93752000.0,-696000.0,419152000.0,41683000.0,95109000.0
PES,2018-12-31,False,FY,2018,10-K,590097000.0,-9059000.0,-49011000.0,-0.63,-0.63,0.0,741550000.0,215034000.0,104768000.0,53566000.0,165058000.0,39656000.0,-60202000.0,-538000.0,,,67148000.0
PDC,2011-09-30,False,Q3,2011,10-Q,187651000.0,19324000.0,6744000.0,0.11,0.11,0.0,946888000.0,193452000.0,103580000.0,21857000.0,502760000.0,76205000.0,-130735000.0,54376000.0,,,140565000.0
PDC,2011-06-30,False,Q2,2011,10-Q,171285000.0,11918000.0,3650000.0,0.07,0.07,0.0,888436000.0,162365000.0,112154000.0,11502000.0,399867000.0,53611000.0,-66627000.0,2507000.0,,,79196000.0
PDC,2011-12-31,False,FY,2011,10-K,715941000.0,57458000.0,11177000.0,0.19,0.19,0.0,1172754000.0,269612000.0,139680000.0,86197000.0,510445000.0,144879000.0,-307484000.0,226791000.0,419600000.0,41683000.0,210066000.0
PES,2012-06-30,False,Q2,2012,10-Q,229824000.0,23312000.0,9685000.0,0.16,0.15,0.0,1271408000.0,228767000.0,166885000.0,20380000.0,537937000.0,91698000.0,-191927000.0,34412000.0,454161000.0,41683000.0,193884000.0
PES,2012-09-30,False,Q3,2012,10-Q,229773000.0,13222000.0,2615000.0,0.04,0.04,0.0,1303184000.0,218131000.0,147632000.0,6291000.0,542335000.0,129312000.0,-288618000.0,79400000.0,499374000.0,41683000.0,291051000.0
PES,2013-03-31,False,Q1,2013,10-Q,229670000.0,10445000.0,-1292000.0,-0.02,-0.02,0.0,1324257000.0,210419000.0,103370000.0,10508000.0,547857000.0,17157000.0,-69746000.0,39364000.0,559171000.0,41683000.0,71313000.0
PES,2013-06-30,False,Q2,2013,10-Q,248354000.0,-27268000.0,-25895000.0,-0.42,-0.42,0.0,1291533000.0,241991000.0,123153000.0,17576000.0,523447000.0,70677000.0,-106120000.0,29286000.0,549207000.0,0.0,112179000.0
PES,2013-12-31,False,FY,2013,10-K,960186000.0,-6229000.0,-35932000.0,-0.58,-0.58,0.0,1229623000.0,239380000.0,120833000.0,27385000.0,518433000.0,174580000.0,-150676000.0,-20252000.0,502513000.0,0.0,165356000.0
PES,2013-09-30,False,Q3,2013,10-Q,243979000.0,1870000.0,-6230000.0,-0.1,-0.1,0.0,1251601000.0,230212000.0,106353000.0,17085000.0,518872000.0,110075000.0,-131047000.0,14324000.0,534444000.0,0.0,137945000.0
PES,2012-12-31,False,FY,2012,10-K,919443000.0,81811000.0,30032000.0,0.49,0.48,0.0,1339776000.0,218786000.0,156550000.0,23733000.0,547680000.0,199366000.0,-361231000.0,99401000.0,519597000.0,41683000.0,364324000.0
PES,2016-06-30,False,Q2,2016,10-Q,62290000.0,-26025000.0,-29991000.0,-0.46,-0.46,0.0,750524000.0,92499000.0,59219000.0,14578000.0,285146000.0,13596000.0,-12428000.0,-750000.0,395000000.0,,13240000.0
PES,2014-06-30,False,Q2,2014,10-Q,259812000.0,21917000.0,-319000.0,-0.01,-0.01,0.0,1251431000.0,279469000.0,130253000.0,23711000.0,519789000.0,95487000.0,-68029000.0,-31132000.0,494059000.0,,74567000.0
PES,2015-06-30,False,Q2,2015,10-Q,135011000.0,-75108000.0,-77281000.0,-1.2,-1.2,0.0,1004897000.0,192965000.0,131198000.0,62468000.0,406046000.0,121771000.0,-49262000.0,-44965000.0,410000000.0,,84027000.0
PES,2015-03-31,False,Q1,2015,10-Q,193814000.0,-8334000.0,-12019000.0,-0.19,-0.19,0.0,1123850000.0,241393000.0,143337000.0,35678000.0,483082000.0,64881000.0,-39362000.0,-24765000.0,430000000.0,,45675000.0
PES,2014-03-31,False,Q1,2014,10-Q,239034000.0,15059000.0,-2579000.0,-0.04,-0.04,0.0,1426377000.0,445872000.0,316388000.0,20810000.0,517554000.0,41235000.0,-26158000.0,-21652000.0,703299000.0,,31674000.0
PES,2014-09-30,False,Q3,2014,10-Q,273267000.0,31480000.0,12453000.0,0.2,0.19,0.0,1264757000.0,293833000.0,141479000.0,26439000.0,540875000.0,154930000.0,-98451000.0,-57425000.0,463732000.0,,120738000.0
PES,2014-12-31,False,FY,2014,10-K,1055223000.0,23984000.0,-38018000.0,-0.6,-0.6,0.0,1171589000.0,269074000.0,147192000.0,34924000.0,495064000.0,233041000.0,-151918000.0,-73584000.0,455080000.0,,175378000.0
PES,2016-03-31,False,Q1,2016,10-Q,74952000.0,-23014000.0,-27699000.0,-0.43,-0.43,0.0,786525000.0,103547000.0,62440000.0,18669000.0,315112000.0,9627000.0,-5055000.0,-63000.0,395000000.0,,5532000.0
PES,2016-09-30,False,Q3,2016,10-Q,68353000.0,-29885000.0,-34620000.0,-0.53,-0.53,0.0,722797000.0,91142000.0,55009000.0,9703000.0,251104000.0,7644000.0,-22841000.0,10740000.0,111500000.0,,25584000.0
PES,2015-12-31,False,FY,2015,10-K,540778000.0,-166700000.0,-155140000.0,-2.41,-2.41,0.0,829776000.0,115268000.0,70042000.0,14160000.0,342643000.0,142719000.0,-101656000.0,-61827000.0,395000000.0,,159615000.0
PES,2015-09-30,False,Q3,2015,10-Q,107480000.0,-17972000.0,-17540000.0,-0.27,-0.27,0.0,949128000.0,140938000.0,97307000.0,35679000.0,388883000.0,139065000.0,-92360000.0,-45950000.0,410000000.0,,130390000.0
PES,2017-03-31,False,Q1,2017,10-Q,95757000.0,-18873000.0,-25124000.0,-0.33,-0.33,0.0,708328000.0,116613000.0,63497000.0,7290000.0,257237000.0,-21820000.0,-14416000.0,33332000.0,79700000.0,,24683000.0
PES,2016-12-31,False,FY,2016,10-K,277076000.0,-113448000.0,-128391000.0,-1.96,-1.96,0.0,700102000.0,113996000.0,66002000.0,10194000.0,281398000.0,5131000.0,-24767000.0,15670000.0,,,32381000.0
PES,2018-03-31,False,Q1,2018,10-Q,144478000.0,-842000.0,-11139000.0,-0.14,-0.14,0.0,757700000.0,214403000.0,82221000.0,68726000.0,200187000.0,5057000.0,-9851000.0,-128000.0,,,11657000.0
PES,2017-09-30,False,Q3,2017,10-Q,117281000.0,-10892000.0,-17227000.0,-0.22,-0.22,0.0,707442000.0,139501000.0,79513000.0,10852000.0,221528000.0,-11262000.0,-39280000.0,51200000.0,,,52806000.0
PES,2017-12-31,False,FY,2017,10-K,446455000.0,-51230000.0,-75118000.0,-0.97,-0.97,0.0,766869000.0,215559000.0,84914000.0,73640000.0,210096000.0,-5817000.0,-47364000.0,118635000.0,,,63277000.0
PES,2018-09-30,False,Q3,2018,10-Q,149332000.0,4338000.0,-5233000.0,-0.07,-0.07,0.0,752875000.0,223876000.0,103825000.0,51468000.0,178497000.0,21490000.0,-43133000.0,-537000.0,,,48778000.0
PES,2017-06-30,False,Q2,2017,10-Q,107130000.0,-12729000.0,-20209000.0,-0.26,-0.26,0.0,708541000.0,127947000.0,75143000.0,6894000.0,237865000.0,-16297000.0,-29165000.0,42162000.0,88700000.0,,40032000.0
PES,2018-06-30,False,Q2,2018,10-Q,154782000.0,-8803000.0,-18152000.0,-0.23,-0.23,0.0,757044000.0,221205000.0,104283000.0,61517000.0,182691000.0,17125000.0,-28719000.0,-537000.0,,,31485000.0
