symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
PFGC,2017-09-30,False,Q1,2018,10-Q,4364900000.0,50500000.0,22600000.0,0.22,0.22,0.0,3883300000.0,2132800000.0,1375200000.0,6900000.0,949400000.0,16000000.0,-79600000.0,62400000.0,1363800000.0,738700000.0,16500000.0
PFGC,2016-12-31,False,Q2,2017,10-Q,4051800000.0,51300000.0,22900000.0,0.23,0.22,0.0,3632900000.0,2019700000.0,1250700000.0,11700000.0,853600000.0,-25500000.0,-161800000.0,188100000.0,1352800000.0,687500000.0,79900000.0
PFGC,2018-12-29,False,Q2,2019,10-Q,4615700000.0,73000000.0,43100000.0,0.41,0.41,0.0,4166500000.0,2293500000.0,1458200000.0,7500000.0,1205100000.0,70000000.0,-116400000.0,46700000.0,1298100000.0,747400000.0,60100000.0
PFGC,2015-12-26,False,Q2,2016,10-Q,3893900000.0,53800000.0,17500000.0,0.18,0.17,0.0,3412300000.0,1935700000.0,1213600000.0,9000000.0,756100000.0,10700000.0,-51500000.0,40600000.0,1257400000.0,668600000.0,42900000.0
PFGC,2017-12-30,False,Q2,2018,10-Q,4311100000.0,49100000.0,78000000.0,0.77,0.75,0.0,3882600000.0,2140000000.0,1280100000.0,10100000.0,1015500000.0,32600000.0,-101400000.0,70800000.0,1413100000.0,740100000.0,38500000.0
PFGC,2015-09-26,False,Q1,2016,10-Q,3928900000.0,44000000.0,12200000.0,0.14,0.14,0.0,3404700000.0,1918400000.0,1223000000.0,11500000.0,505500000.0,-25900000.0,-26400000.0,54600000.0,1497200000.0,668300000.0,17700000.0
PFGC,2016-03-26,False,Q3,2016,10-Q,3909100000.0,37600000.0,9400000.0,0.09,0.09,0.0,3440100000.0,1945100000.0,1270000000.0,10700000.0,769800000.0,117600000.0,-107500000.0,-8600000.0,1214100000.0,676200000.0,68000000.0
PFGC,2017-04-01,False,Q3,2017,10-Q,4235000000.0,46700000.0,20800000.0,0.21,0.2,0.0,3746300000.0,2080500000.0,1375100000.0,7600000.0,880700000.0,102000000.0,-250800000.0,145500000.0,1314300000.0,704100000.0,106600000.0
PFGC,2016-10-01,False,Q1,2017,10-Q,4046100000.0,31600000.0,12200000.0,0.12,0.12,0.0,3528100000.0,2002100000.0,1252600000.0,8900000.0,820600000.0,-75200000.0,-49500000.0,122700000.0,1266600000.0,675300000.0,34800000.0
PFGC,2018-03-31,False,Q3,2018,10-Q,4349200000.0,60100000.0,33700000.0,0.33,0.32,0.0,3932500000.0,2183600000.0,1447100000.0,7500000.0,1061400000.0,229600000.0,-143500000.0,-86600000.0,1253900000.0,740400000.0,73200000.0
PFGC,2018-09-29,False,Q1,2019,10-Q,4539700000.0,50600000.0,28200000.0,0.27,0.27,0.0,4086900000.0,2263100000.0,1474700000.0,8600000.0,1165300000.0,32300000.0,-56300000.0,25300000.0,1233600000.0,746600000.0,25000000.0
PFGC,2017-07-01,False,FY,2017,10-K,16761800000.0,211000000.0,96300000.0,0.96,0.93,0.0,3804100000.0,2084900000.0,1383300000.0,8100000.0,925500000.0,201700000.0,-332000000.0,127500000.0,1297600000.0,718600000.0,140200000.0
PFGC,2016-07-02,False,FY,2016,10-K,16104800000.0,202200000.0,68300000.0,0.71,0.7,0.0,3455400000.0,1938900000.0,1316700000.0,10900000.0,802800000.0,234900000.0,-157600000.0,-75600000.0,1145500000.0,674000000.0,119700000.0
PFGC,2018-06-30,False,FY,2018,10-K,17619900000.0,253500000.0,198700000.0,1.95,1.9,0.0,4000900000.0,2203500000.0,1470000000.0,7500000.0,1135300000.0,367000000.0,-209400000.0,-160800000.0,1184200000.0,740500000.0,140100000.0
