symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
PHX,2012-12-31,False,Q1,2013,10-Q,14180435.0,,2148298.0,0.26,0.26,0.14,133848882.0,10791660.0,5071411.0,986363.0,85106424.0,7158243.0,-7038128.0,-1117851.0,,,6864399.0
PHX,2018-12-31,False,Q1,2019,10-Q,26328994.0,,12735940.0,0.75,0.75,0.08,208627522.0,11731970.0,2627166.0,455793.0,139252713.0,4009743.0,7227999.0,-11314451.0,,,423000.0
PHX,2011-06-30,False,Q3,2011,10-Q,11688417.0,,2650429.0,0.32,0.32,0.07,108821382.0,15567043.0,6540326.0,5623125.0,76273158.0,20841594.0,-17221362.0,-3594365.0,,,17358890.0
PHX,2011-12-31,False,Q1,2012,10-Q,13404333.0,,3412110.0,0.41,0.41,0.07,128011489.0,11369775.0,5284090.0,1935886.0,81230957.0,7745652.0,-23259380.0,13942615.0,,,6344006.0
PHX,2012-06-30,False,Q3,2012,10-Q,13649692.0,,3100299.0,0.37,0.37,0.07,126625621.0,7568352.0,6847166.0,479674.0,83729071.0,20987279.0,-29114727.0,5100123.0,,,16026416.0
PHX,2013-06-30,False,Q3,2013,10-Q,17730445.0,,5070168.0,0.61,0.61,0.07,142796173.0,15232660.0,7626154.0,1381705.0,89977926.0,24193214.0,-20540005.0,-4255603.0,,,20576359.0
PHX,2012-09-30,False,FY,2012,10-K,48942305.0,,7370996.0,0.88,0.88,0.28,135186730.0,11622845.0,7627742.0,1984099.0,83852146.0,25371196.0,-38288960.0,11394864.0,,,25147306.0
PHX,2012-03-31,False,Q2,2012,10-Q,10436910.0,,675966.0,0.08,0.08,0.07,126634374.0,9081773.0,4708654.0,1119676.0,81011535.0,15061760.0,-28938952.0,11489869.0,,,12074991.0
PHX,2014-03-31,False,Q2,2014,10-Q,19752045.0,,5654573.0,0.68,0.68,0.08,156057501.0,19774023.0,9502473.0,1816400.0,105251949.0,21733352.0,-19085608.0,-3698515.0,,,17606988.0
PHX,2011-09-30,False,FY,2011,10-K,44976651.0,,8493912.0,1.01,1.01,0.28,111424193.0,13261058.0,5946962.0,3506999.0,78802317.0,29283929.0,-27200816.0,-4173372.0,,,27545348.0
PHX,2014-06-30,False,Q3,2014,10-Q,18374977.0,,5122585.0,0.61,0.61,0.08,247203287.0,24163489.0,11096239.0,1511057.0,110027689.0,36438536.0,-113284332.0,75489682.0,,,26693851.0
PHX,2013-12-31,False,Q1,2014,10-Q,18396756.0,,4926318.0,0.59,0.59,0.16,150225724.0,15847014.0,10762692.0,294961.0,99389684.0,11886347.0,-11425639.0,-3032918.0,,,9892262.0
PHX,2013-03-31,False,Q2,2013,10-Q,14100844.0,,1022487.0,0.12,0.12,0.07,138431177.0,14119993.0,9062547.0,2316752.0,85967512.0,15434819.0,-12055658.0,-3046508.0,,,12719947.0
PHX,2013-09-30,False,FY,2013,10-K,62889120.0,,13960049.0,1.67,1.67,0.28,147838430.0,17805179.0,10300591.0,2867171.0,95655486.0,37402109.0,-26364675.0,-10154362.0,,,26765785.0
PHX,2013-09-30,True,FY,2013,10-K,62889120.0,,13960049.0,1.67,1.67,0.28,147838430.0,17805179.0,10300591.0,2867171.0,95655486.0,37402109.0,-26364675.0,-10154362.0,,,26765785.0
PHX,2014-09-30,False,FY,2014,10-K,84411224.0,,25001462.0,1.49,1.49,0.16,246640604.0,19368611.0,9449574.0,509755.0,119188653.0,52622602.0,-121950995.0,66970977.0,,,38612788.0
PHX,2017-03-31,False,Q2,2017,10-Q,13964288.0,,3470433.0,0.21,0.21,0.04,199685087.0,6916305.0,6860322.0,551671.0,115170112.0,9348565.0,-7019774.0,-2248333.0,,,7721254.0
PHX,2014-12-31,False,Q1,2015,10-Q,30999170.0,,10233761.0,0.61,0.61,0.08,259584806.0,27276525.0,11613277.0,519605.0,128176679.0,15185489.0,-15044936.0,-130703.0,,,14901631.0
PHX,2015-03-31,False,Q2,2015,10-Q,14679034.0,,704207.0,0.04,0.04,0.04,251683917.0,21643831.0,8023470.0,586982.0,129354925.0,27653916.0,-20027644.0,-7549045.0,,,19797996.0
PHX,2015-06-30,False,Q3,2015,10-Q,11748888.0,,-728946.0,-0.04,-0.04,0.04,245265542.0,16565462.0,8752648.0,925219.0,128153758.0,37347802.0,-22215875.0,-14716463.0,,,23613349.0
