symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
PJC,2018-12-31,False,FY,2018,10-K,800993000.0,,57036000.0,3.78,3.72,3.12,1345269000.0,,,50364000.0,730416000.0,509850000.0,-15859000.0,-476769000.0,,81855000.0,
PJC,2010-12-31,False,FY,2010,10-K,565061000.0,,24362000.0,1.23,1.23,0.0,2033787000.0,,,50602000.0,813312000.0,-27252000.0,-198615000.0,232689000.0,125000000.0,322594000.0,11762000.0
PJC,2012-03-31,False,Q1,2012,10-Q,124111000.0,,2929000.0,0.15,0.15,0.0,1888511000.0,,,54660000.0,757721000.0,-203851000.0,-2078000.0,174785000.0,108750000.0,202352000.0,2078000.0
PJC,2012-09-30,False,Q3,2012,10-Q,140082000.0,,19664000.0,1.11,1.11,0.0,1960553000.0,,,41678000.0,770576000.0,-199616000.0,-248000.0,155745000.0,83488000.0,202352000.0,248000.0
PJC,2011-12-31,False,FY,2011,10-K,489702000.0,,-102020000.0,-6.51,-6.51,0.0,1655721000.0,,,85807000.0,750600000.0,203204000.0,-7704000.0,-160165000.0,115000000.0,202352000.0,7648000.0
PJC,2011-09-30,False,Q3,2011,10-Q,107070000.0,,-3583000.0,-0.23,-0.23,0.0,2135411000.0,,,42808000.0,870772000.0,-120398000.0,-6590000.0,119393000.0,117500000.0,322650000.0,-6534000.0
PJC,2013-06-30,False,Q2,2013,10-Q,109107000.0,,2488000.0,0.15,0.15,0.0,2276214000.0,,,69274000.0,867862000.0,-123145000.0,-842000.0,87973000.0,,196844000.0,1092000.0
PJC,2013-09-30,False,Q3,2013,10-Q,138838000.0,,5322000.0,0.33,0.33,0.0,2492694000.0,,,13961000.0,856994000.0,-263312000.0,-27733000.0,199558000.0,,210800000.0,3257000.0
PJC,2012-12-31,False,FY,2012,10-K,518242000.0,,41268000.0,2.26,2.26,0.0,2087733000.0,,,105371000.0,790175000.0,-211782000.0,-2131000.0,234277000.0,0.0,196844000.0,2131000.0
PJC,2012-06-30,False,Q2,2012,10-Q,113048000.0,,6851000.0,0.37,0.37,0.0,1999071000.0,,,39592000.0,741896000.0,-285530000.0,-1438000.0,240782000.0,88619000.0,202352000.0,1438000.0
PJC,2013-03-31,False,Q1,2013,10-Q,118149000.0,,10146000.0,0.58,0.57,0.0,2329878000.0,,,22515000.0,861780000.0,-183527000.0,-230000.0,100989000.0,,196844000.0,230000.0
PJC,2014-06-30,False,Q2,2014,10-Q,175976000.0,,18213000.0,1.12,1.11,0.0,2425525000.0,,,55221000.0,929757000.0,106079000.0,-2250000.0,-172312000.0,,211878000.0,2250000.0
PJC,2014-03-31,False,Q1,2014,10-Q,173894000.0,,17748000.0,1.1,1.1,0.0,2317252000.0,,,34835000.0,917079000.0,-44528000.0,-607000.0,-43724000.0,,210634000.0,607000.0
PJC,2011-03-31,False,Q1,2011,10-Q,132941000.0,,7233000.0,0.38,0.38,0.0,1962002000.0,,,43263000.0,833578000.0,25585000.0,-2203000.0,-30686000.0,122500000.0,322650000.0,2147000.0
PJC,2011-06-30,False,Q2,2011,10-Q,143642000.0,,10694000.0,0.55,0.55,0.0,2221549000.0,,,70073000.0,862640000.0,-82921000.0,-4395000.0,106816000.0,120000000.0,322650000.0,4339000.0
PJC,2013-12-31,False,FY,2013,10-K,550231000.0,,45090000.0,2.7,2.7,0.0,2318157000.0,,,123683000.0,882072000.0,46560000.0,-29952000.0,1401000.0,,210634000.0,5476000.0
