symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ALN,2018-09-30,False,Q3,2018,10-Q,744131.0,-582300.0,46839980.0,17.26,17.26,0.0,35369369.0,17514565.0,10155818.0,109355.0,25213551.0,-8427021.0,-5427097.0,13928268.0,,,2401.0
ALN,2011-06-30,False,Q2,2011,10-Q,35726650.0,4974450.0,3469935.0,0.09,0.09,0.0,181928763.0,102611458.0,27852188.0,9605538.0,138745908.0,-5428531.0,-3626951.0,-1910033.0,,,2347391.0
ALN,2011-09-30,False,Q3,2011,10-Q,55642041.0,8200913.0,7891526.0,0.21,0.2,0.0,188897031.0,108644428.0,24969350.0,11439874.0,148418234.0,1155104.0,3572478.0,-4510151.0,,,3221615.0
ALN,2012-03-31,False,Q1,2012,10-Q,37141031.0,4784376.0,3758928.0,0.1,0.1,0.0,217167854.0,127164357.0,40110918.0,19497808.0,161360016.0,9292838.0,-2706998.0,-4361063.0,,,606381.0
ALN,2011-12-31,False,FY,2011,10-K,213222106.0,27915832.0,21083928.0,0.58,0.57,0.0,218698333.0,128423505.0,46151734.0,17353494.0,156948768.0,-2141070.0,-16217295.0,17009035.0,,,14478351.0
ALN,2013-09-30,False,Q3,2013,10-Q,53103910.0,6724576.0,4486631.0,0.12,0.12,0.0,279765312.0,175720956.0,46255619.0,33160895.0,195129331.0,-12600633.0,837064.0,10005172.0,,,3349076.0
ALN,2013-06-30,False,Q2,2013,10-Q,34064741.0,3981224.0,2577474.0,0.07,0.07,0.0,262563409.0,168037595.0,48276215.0,34388275.0,189473376.0,2179523.0,-4769264.0,4453369.0,,,2899837.0
ALN,2012-09-30,False,Q3,2012,10-Q,57972627.0,8451374.0,5607714.0,0.15,0.15,0.0,247852796.0,156852149.0,58267673.0,16731380.0,171029422.0,-25076044.0,-1946241.0,24501519.0,,,2834955.0
ALN,2013-03-31,False,Q1,2013,10-Q,34809916.0,4183784.0,2613652.0,0.07,0.07,0.0,252156406.0,162584895.0,42668141.0,31869400.0,184099292.0,-1363828.0,-1873825.0,1978160.0,,,615497.0
ALN,2012-12-31,False,FY,2012,10-K,239673463.0,31859402.0,21743769.0,0.59,0.59,0.0,250365233.0,160158820.0,42584381.0,32345603.0,180702350.0,8955476.0,-3347168.0,8324775.0,,,3029930.0
ALN,2014-06-30,False,Q2,2014,10-Q,32516140.0,4656821.0,2237240.0,0.06,0.06,0.0,318060536.0,199459309.0,62533324.0,42215612.0,204987506.0,-3541011.0,-1896523.0,4715601.0,,,1015177.0
ALN,2014-09-30,False,Q3,2014,10-Q,55264211.0,2749870.0,730109.0,0.03,0.03,0.0,360977219.0,230429913.0,103686780.0,40787500.0,208859800.0,-2887570.0,-13346546.0,12028868.0,,8408136.0,6167956.0
ALN,2013-12-31,False,FY,2013,10-K,215279785.0,25433256.0,17688575.0,0.48,0.48,0.0,303046312.0,185411958.0,46034459.0,33857193.0,203108508.0,-8445576.0,-20968898.0,28988151.0,,,18034288.0
ALN,2014-12-31,False,FY,2014,10-K,217553660.0,15665305.0,3752524.0,0.11,0.11,0.0,336541719.0,201929498.0,91486430.0,30279988.0,209766453.0,11385454.0,-11162418.0,-3651725.0,,10327553.0,3009450.0
ALN,2014-03-31,False,Q1,2014,10-Q,31689458.0,2940889.0,1745157.0,0.05,0.05,0.0,310148191.0,191408554.0,55991890.0,42718737.0,202531457.0,7019369.0,-3708429.0,7872812.0,,,44031.0
ALN,2012-06-30,False,Q2,2012,10-Q,40816760.0,5625735.0,3562349.0,0.1,0.1,0.0,216641462.0,127452063.0,35526123.0,19568782.0,165410208.0,2658766.0,659464.0,-3731850.0,,,127553.0
ALN,2015-03-31,False,Q1,2015,10-Q,37557311.0,882038.0,-1070722.0,-0.03,-0.03,0.0,329096977.0,196118527.0,103804531.0,36746627.0,208194936.0,16282557.0,-4325649.0,-5629449.0,,9516252.0,253581.0
ALN,2015-09-30,False,Q3,2015,10-Q,47681598.0,4065900.0,1878113.0,0.06,0.06,0.0,325990043.0,197407219.0,105372400.0,31145108.0,208209776.0,6291376.0,-6389949.0,-6209282.0,,9955983.0,1905906.0
ALN,2015-06-30,False,Q2,2015,10-Q,35547904.0,197169.0,-1400714.0,-0.04,-0.04,0.0,333433641.0,200637575.0,103898258.0,37267322.0,212394736.0,3395812.0,-2383705.0,-613530.0,,9834522.0,393110.0
ALN,2015-12-31,False,FY,2015,10-K,215315437.0,14052921.0,-1191239.0,0.11,0.11,0.0,309537530.0,191049926.0,97003426.0,20664487.0,201968099.0,34453257.0,-7020593.0,-31612274.0,,3219172.0,1936538.0
ALN,2016-03-31,False,Q1,2016,10-Q,31719419.0,2680204.0,-2943095.0,-0.07,-0.07,0.0,286866275.0,176674852.0,64544711.0,30446293.0,212022378.0,-12332984.0,3194446.0,5922971.0,,0.0,121617.0
ALN,2017-06-30,False,Q2,2017,10-Q,1278053.0,-551265.0,-2029954.0,-0.02,-0.05,0.0,144701716.0,54221680.0,93526861.0,203777.0,51174855.0,11558698.0,-11978088.0,162874.0,,,2292600.0
ALN,2016-12-31,False,FY,2016,10-K,79666740.0,-36420890.0,-136361080.0,-2.28,-3.55,0.0,148253449.0,66819824.0,82157111.0,426054.0,66096338.0,-29785836.0,8906291.0,3043000.0,,,0.0
ALN,2017-03-31,False,Q1,2017,10-Q,1906473.0,-8455047.0,-15769218.0,-0.27,-0.38,0.0,142815731.0,53694071.0,90158502.0,418416.0,52657229.0,7603636.0,-7614969.0,0.0,,,0.0
ALN,2016-06-30,False,Q2,2016,10-Q,32009562.0,3314378.0,143397.0,,,0.0,281090001.0,175075921.0,74956925.0,38524240.0,205502465.0,2102957.0,9578349.0,-2468384.0,,0.0,190027.0
ALN,2016-09-30,False,Q3,2016,10-Q,40814526.0,4012567.0,555971.0,0.01,0.01,0.0,285530997.0,180893321.0,79698795.0,37440963.0,205238069.0,-3039928.0,1873642.0,-2217259.0,,0.0,202765.0
ALN,2018-03-31,False,Q1,2018,10-Q,1017528.0,-68297.0,-57517.0,0.0,0.0,0.0,72767836.0,18897178.0,82787701.0,299877.0,-10019865.0,-1474724.0,-2799.0,1275000.0,,,2799.0
ALN,2018-06-30,False,Q2,2018,10-Q,636387.0,-43792.0,-711434.0,0.0,-0.01,0.0,69784408.0,19489538.0,78643483.0,385324.0,-8859075.0,-7009699.0,-4836.0,2562000.0,,,4836.0
ALN,2017-12-31,False,FY,2017,10-K,5109998.0,-41353341.0,-78305354.0,-2.05,-5.61,0.0,68488042.0,16941482.0,79279338.0,85493.0,-10791296.0,-360141.0,750772.0,-753851.0,,,314187.0
ALN,2017-09-30,False,Q3,2017,10-Q,875574.0,-1643249.0,4304489.0,0.12,0.12,0.0,141416534.0,50511083.0,84433589.0,103239.0,56982945.0,9267088.0,-9352282.0,-271859.0,,,0.0
