symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
PLD,2018-12-31,False,FY,2018,10-K,2804449000.0,847002000.0,1643426000.0,2.9,2.87,0.03,38417664000.0,,,343856000.0,25800888000.0,1803559000.0,-663796000.0,-1232101000.0,11089815000.0,25300000.0,93073000.0
AMB,2011-03-31,False,Q1,2011,10-Q,165768000.0,,7821000.0,0.05,0.05,0.0,7420763000.0,,,203626000.0,3700093000.0,61727000.0,-45885000.0,7625000.0,3426051000.0,,
PLD,2011-09-30,False,Q3,2011,10-Q,501393000.0,90766000.0,55436000.0,0.12,0.12,0.28,28586304000.0,,,216749000.0,14601966000.0,104947000.0,-798523000.0,874019000.0,12147277000.0,25280000.0,37425000.0
PLD,2011-06-30,True,Q2,2011,10-Q,335901000.0,-40393000.0,-151471000.0,-0.49,-0.49,0.25,29134506000.0,,,260893000.0,14353540000.0,-17227000.0,-646530000.0,885394000.0,12119952000.0,32760000.0,13865000.0
PLD,2012-09-30,False,Q3,2012,10-Q,512105000.0,79030000.0,-46526000.0,-0.1,-0.1,0.28,28576422000.0,,,158188000.0,14174521000.0,373348000.0,-47877000.0,-345878000.0,12578060000.0,,60400000.0
AMB,2010-12-31,False,FY,2010,10-K,633500000.0,,9967000.0,0.06,0.06,0.0,7372895000.0,,,198424000.0,3702122000.0,252760000.0,-586628000.0,329734000.0,3331299000.0,,
PLD,2012-06-30,False,Q2,2012,10-Q,520748000.0,107044000.0,-8120000.0,-0.02,-0.02,0.28,28415563000.0,,,293631000.0,14169567000.0,160105000.0,189826000.0,-239368000.0,12433585000.0,,42500000.0
PLD,2012-03-31,False,Q1,2012,10-Q,500064000.0,90879000.0,202412000.0,0.44,0.44,0.28,28867953000.0,,,343736000.0,14550660000.0,71435000.0,176561000.0,-80218000.0,12380921000.0,,12027000.0
PLD,2013-03-31,False,Q1,2013,10-Q,490616000.0,98972000.0,265416000.0,0.58,0.57,0.28,24075299000.0,,,785359000.0,13210533000.0,129140000.0,2814582000.0,-2261865000.0,9074123000.0,,13012000.0
PLD,2013-06-30,False,Q2,2013,10-Q,419474000.0,61242000.0,-1517000.0,0.0,0.0,0.28,24037568000.0,,,385424000.0,14322502000.0,203568000.0,2417852000.0,-2285777000.0,8417310000.0,,30109000.0
PLD,2011-12-31,False,FY,2011,10-K,1533291000.0,127430000.0,-188110000.0,-0.51,-0.51,0.01,27723912000.0,,,176072000.0,14455474000.0,207064000.0,-233065000.0,163318000.0,11382408000.0,,55702000.0
PLD,2013-09-30,False,Q3,2013,10-Q,430185000.0,78957000.0,-7534000.0,-0.02,-0.02,0.28,24789543000.0,,,121693000.0,14263522000.0,332248000.0,1666668000.0,-1929110000.0,9119317000.0,,56378000.0
