symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
PLX,2018-09-30,False,Q3,2018,10-Q,663000.0,-13963000.0,-15544000.0,-0.1,-0.1,0.0,67197000.0,57340000.0,14551000.0,41868000.0,-64994000.0,-3738000.0,-675000.0,-4752000.0,,,498000.0
PLX,2013-03-31,False,Q1,2013,10-Q,3568000.0,-4429000.0,-4321000.0,0.05,0.05,0.0,69942000.0,52894000.0,24408000.0,41870000.0,-6283000.0,-9586000.0,-689000.0,,,,642000.0
PLX,2012-12-31,False,FY,2012,10-K,34870000.0,-12172000.0,-11618000.0,-0.13,-0.13,0.0,78727000.0,61170000.0,25755000.0,52035000.0,-3357000.0,635000.0,-2286000.0,26558000.0,,,2068000.0
PLX,2011-09-30,False,Q3,2011,10-Q,1132000.0,-8767000.0,-8875000.0,0.1,0.1,0.0,60829000.0,40282000.0,18314000.0,34564000.0,-17353000.0,-16958000.0,-5121000.0,20913000.0,,,5001000.0
PLX,2013-06-30,False,Q2,2013,10-Q,2264000.0,-6894000.0,-6837000.0,-0.07,-0.07,0.0,62306000.0,45932000.0,26628000.0,33126000.0,-11986000.0,-17695000.0,-1412000.0,30000.0,,,1341000.0
PLX,2013-09-30,False,Q3,2013,10-Q,2284000.0,-5645000.0,-5747000.0,0.06,0.06,0.0,121156000.0,105200000.0,25226000.0,91397000.0,-16706000.0,-25911000.0,-1831000.0,66960000.0,,,1668000.0
PLX,2011-12-31,False,FY,2011,10-K,8386000.0,-36531000.0,-36529000.0,0.43,0.43,0.0,51805000.0,32491000.0,18693000.0,27001000.0,-26077000.0,-23570000.0,-5868000.0,20927000.0,,,5705000.0
PLX,2012-06-30,False,Q2,2012,10-Q,26113000.0,9620000.0,9642000.0,0.11,0.1,0.0,84304000.0,65890000.0,21332000.0,59280000.0,7863000.0,6843000.0,-1091000.0,26564000.0,,,1047000.0
PLX,2012-09-30,False,Q3,2012,10-Q,3724000.0,-5560000.0,-5479000.0,-0.06,-0.06,0.0,77378000.0,59580000.0,20435000.0,50216000.0,4772000.0,-1186000.0,-1910000.0,26424000.0,,,1817000.0
PLX,2011-06-30,False,Q2,2011,10-Q,764000.0,-13868000.0,-13689000.0,0.16,0.16,0.0,71888000.0,51195000.0,20282000.0,44054000.0,-8703000.0,-8811000.0,-4093000.0,20909000.0,,,4016000.0
PLX,2012-03-31,False,Q1,2012,10-Q,3861000.0,-6065000.0,-5904000.0,0.07,0.07,0.0,68464000.0,49837000.0,17724000.0,45605000.0,-6457000.0,-6281000.0,-852000.0,25574000.0,,,810000.0
PLX,2013-12-31,False,FY,2013,10-K,10479000.0,-27116000.0,-27790000.0,-0.3,-0.3,0.0,113333000.0,97903000.0,26696000.0,86398000.0,-26946000.0,-30653000.0,-2102000.0,66892000.0,,,1890000.0
PLX,2014-09-30,False,Q3,2014,10-Q,2396000.0,-6208000.0,-8010000.0,-0.09,-0.09,0.0,84795000.0,71208000.0,24384000.0,60317000.0,-47694000.0,-24407000.0,-832000.0,43000.0,,,617000.0
PLX,2014-06-30,False,Q2,2014,10-Q,2425000.0,-5447000.0,-6119000.0,-0.07,-0.07,0.0,96651000.0,82364000.0,27179000.0,71144000.0,-39790000.0,-14859000.0,-565000.0,31000.0,,,371000.0
