symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
PNW,2010-06-30,False,Q2,2010,10-Q,820594000.0,203273000.0,114797000.0,1.07,1.07,1.05,12158200000.0,1086786000.0,1227109000.0,50502000.0,3593003000.0,201414000.0,-277869000.0,-18421000.0,,,378579000.0
PNW,2010-09-30,False,Q3,2010,10-Q,1139085000.0,403625000.0,233920000.0,2.15,2.14,0.0,12435487000.0,1243332000.0,967807000.0,195915000.0,3828229000.0,569500000.0,-377219000.0,-141744000.0,,,552707000.0
PNW,2011-03-31,False,Q1,2011,10-Q,659575000.0,37141000.0,-15135000.0,-0.14,-0.14,0.525,12302890000.0,958017000.0,1674212000.0,114193000.0,3728771000.0,243496000.0,-192795000.0,-46696000.0,,,191553000.0
PNW,2010-12-31,False,FY,2010,10-K,3263645000.0,723884000.0,350053000.0,3.28,3.27,2.1,12362703000.0,931930000.0,1310736000.0,110188000.0,3775226000.0,750457000.0,-575900000.0,-209747000.0,,,748374000.0
PNW,2011-06-30,False,Q2,2011,10-Q,799799000.0,196992000.0,86685000.0,0.8,0.79,1.05,12474080000.0,1036853000.0,1831294000.0,92274000.0,3715610000.0,436279000.0,-328329000.0,-125864000.0,3665000000.0,,387272000.0
PNW,2011-09-30,False,Q3,2011,10-Q,1124841000.0,435017000.0,255359000.0,2.34,2.32,0.0,13150363000.0,1591235000.0,1783268000.0,564712000.0,4002995000.0,920506000.0,-534292000.0,68310000.0,3923000000.0,,643261000.0
PNW,2012-03-31,False,Q1,2012,10-Q,620631000.0,48007000.0,-8257000.0,-0.08,-0.08,0.525,13183914000.0,904800000.0,1157899000.0,20710000.0,3861429000.0,115335000.0,-235099000.0,106891000.0,3443000000.0,,240973000.0
PNW,2012-09-30,False,Q3,2012,10-Q,1109475000.0,447970000.0,244823000.0,2.23,2.21,0.0,13460286000.0,1098852000.0,949348000.0,79479000.0,4185584000.0,929471000.0,-653118000.0,-230457000.0,3429000000.0,,670684000.0
PNW,2012-06-30,False,Q2,2012,10-Q,878576000.0,254489000.0,122345000.0,1.12,1.11,1.05,13214407000.0,947416000.0,1104323000.0,11228000.0,3899337000.0,458635000.0,-414722000.0,-66268000.0,3429000000.0,,424775000.0
PNW,2013-03-31,False,Q1,2013,10-Q,686652000.0,86923000.0,24444000.0,0.22,0.22,0.0,13300927000.0,871777000.0,891511000.0,25109000.0,4152330000.0,212157000.0,-176720000.0,-36530000.0,125000000.0,,182859000.0
PNW,2011-12-31,False,FY,2011,10-K,3241379000.0,746508000.0,339473000.0,3.11,3.09,2.1,13111018000.0,956470000.0,1342705000.0,33583000.0,3930586000.0,1125583000.0,-782007000.0,-420181000.0,3496000000.0,,884350000.0
PNW,2013-09-30,False,Q3,2013,10-Q,1152392000.0,415688000.0,226163000.0,2.06,2.04,0.0,13822671000.0,1350486000.0,1446943000.0,135457000.0,4421428000.0,882330000.0,-571956000.0,-201119000.0,3387000000.0,,581515000.0
PNW,2013-06-30,False,Q2,2013,10-Q,915822000.0,259812000.0,131207000.0,1.19,1.18,1.09,13562694000.0,1066289000.0,1537218000.0,27803000.0,4169235000.0,454256000.0,-371878000.0,-80777000.0,3419000000.0,,376601000.0
PNW,2012-12-31,False,FY,2012,10-K,3301804000.0,851755000.0,381542000.0,3.48,3.45,2.67,13379615000.0,1005726000.0,1083542000.0,26202000.0,4102289000.0,1171122000.0,-872994000.0,-305509000.0,125000000.0,,889551000.0
PNW,2013-12-31,False,FY,2013,10-K,3454628000.0,846323000.0,406074000.0,3.69,3.66,2.23,13508686000.0,1043609000.0,1618644000.0,9526000.0,4340460000.0,1153307000.0,-1009401000.0,-160582000.0,125000000.0,,1016322000.0
PNW,2015-03-31,False,Q1,2015,10-Q,671219000.0,67684000.0,16122000.0,0.15,0.14,0.0,14435703000.0,935442000.0,1373976000.0,11664000.0,4553007000.0,144148000.0,-232817000.0,92729000.0,3665000000.0,,251041000.0
PNW,2014-09-30,False,Q3,2014,10-Q,1172667000.0,421775000.0,243961000.0,2.2,2.2,0.0,13980348000.0,1040932000.0,1448518000.0,10471000.0,4644013000.0,886918000.0,-633757000.0,-252216000.0,3407000000.0,,618658000.0
PNW,2014-12-31,False,FY,2014,10-K,3491632000.0,811242000.0,397595000.0,3.59,3.58,2.33,14313532000.0,973435000.0,1559143000.0,7604000.0,4519102000.0,1099627000.0,-922668000.0,-178881000.0,3415000000.0,,910634000.0
PNW,2015-09-30,False,Q3,2015,10-Q,1199146000.0,445111000.0,257116000.0,2.32,2.3,0.0,14875018000.0,1061979000.0,1523362000.0,13007000.0,4791319000.0,821373000.0,-772788000.0,-43182000.0,3669000000.0,,778700000.0
PNW,2015-06-30,False,Q2,2015,10-Q,890648000.0,231973000.0,122902000.0,1.11,1.1,1.19,14701483000.0,1031756000.0,1339859000.0,13557000.0,4525643000.0,394294000.0,-509503000.0,121162000.0,3669000000.0,,531035000.0
PNW,2014-06-30,False,Q2,2014,10-Q,906264000.0,254113000.0,132458000.0,1.2,1.19,1.14,13690317000.0,999072000.0,1554707000.0,9161000.0,4381862000.0,465066000.0,-392968000.0,-72463000.0,3368000000.0,,388752000.0
PNW,2015-12-31,False,FY,2015,10-K,3495443000.0,854602000.0,437257000.0,3.94,3.92,2.44,15028258000.0,890516000.0,1442317000.0,39488000.0,4719457000.0,1094327000.0,-1066233000.0,3790000.0,3819971000.0,,3462000.0
PNW,2016-12-31,False,FY,2016,10-K,3498682000.0,855984000.0,442034000.0,3.97,3.95,2.56,16004253000.0,822219000.0,1292946000.0,8881000.0,4935912000.0,1023390000.0,-1252078000.0,198081000.0,4146785000.0,,18457000.0
PNW,2014-03-31,False,Q1,2014,10-Q,686251000.0,75170000.0,15766000.0,0.14,0.14,0.0,13450797000.0,897930000.0,1394643000.0,103421000.0,4377701000.0,249157000.0,-208508000.0,53246000.0,3586000000.0,,207459000.0
PNW,2016-06-30,False,Q2,2016,10-Q,915394000.0,231748000.0,121308000.0,1.09,1.08,1.25,15538565000.0,963387000.0,1478544000.0,43040000.0,4719183000.0,422475000.0,-715457000.0,296534000.0,4191415000.0,,731609000.0
PNW,2016-09-30,False,Q3,2016,10-Q,1166922000.0,451258000.0,263027000.0,2.36,2.35,0.0,15805726000.0,977492000.0,1109718000.0,48267000.0,4992135000.0,765050000.0,-1010466000.0,254195000.0,4162236000.0,,1014910000.0
PNW,2016-03-31,False,Q1,2016,10-Q,677167000.0,50162000.0,4453000.0,0.04,0.04,0.0,15185101000.0,826025000.0,1585902000.0,14484000.0,4740413000.0,144209000.0,-372305000.0,203092000.0,3820612000.0,,378500000.0
PNW,2017-03-31,False,Q1,2017,10-Q,677728000.0,73506000.0,23312000.0,0.21,0.21,0.0,16192825000.0,794996000.0,1193813000.0,3028000.0,4965940000.0,140051000.0,-348684000.0,202780000.0,4398890000.0,,348824000.0
PNW,2017-06-30,False,Q2,2017,10-Q,944587000.0,304229000.0,167443000.0,1.5,1.49,1.31,16669727000.0,1068204000.0,1638594000.0,4953000.0,4990077000.0,290562000.0,-688240000.0,393750000.0,4399520000.0,,693626000.0
PNW,2018-03-31,False,Q1,2018,10-Q,692714000.0,31334000.0,3221000.0,0.03,0.03,0.0,17148306000.0,957404000.0,1874391000.0,15440000.0,5153671000.0,166872000.0,-361093000.0,195769000.0,4872533000.0,,361037000.0
PNW,2017-09-30,False,Q3,2017,10-Q,1183322000.0,466082000.0,276072000.0,2.47,2.46,0.0,16977867000.0,1174205000.0,1303143000.0,10674000.0,5277607000.0,771924000.0,-1039639000.0,269508000.0,4698048000.0,,1027753000.0
PNW,2017-12-31,False,FY,2017,10-K,3565296000.0,934427000.0,488456000.0,4.37,4.35,2.7,17019082000.0,1016288000.0,1197852000.0,13892000.0,5135730000.0,1118036000.0,-1428537000.0,315512000.0,4871713000.0,,0.0
PNW,2018-06-30,False,Q2,2018,10-Q,974123000.0,242162000.0,166738000.0,1.49,1.48,1.39,17492173000.0,1118711000.0,2238885000.0,3839000.0,5159434000.0,395802000.0,-679096000.0,273241000.0,4791525000.0,,679949000.0
