symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
POL,2016-09-30,False,Q3,2016,10-Q,843600000.0,71200000.0,42300000.0,0.5,0.5,0.12,2749800000.0,1001600000.0,527500000.0,212200000.0,756300000.0,126800000.0,-206500000.0,13400000.0,1259500000.0,672900000.0,58000000.0
POL,2016-12-31,False,FY,2016,10-K,3339800000.0,281900000.0,165200000.0,1.97,1.95,0.495,2723300000.0,949500000.0,509600000.0,226700000.0,725500000.0,221300000.0,-235400000.0,-34000000.0,1258300000.0,677400000.0,84200000.0
POL,2016-03-31,False,Q1,2016,10-Q,847000000.0,71300000.0,39100000.0,0.46,0.46,0.12,2624400000.0,948900000.0,518400000.0,155400000.0,693500000.0,-29200000.0,-92400000.0,-3500000.0,1192900000.0,634800000.0,19600000.0
POL,2018-12-31,False,FY,2018,10-K,3100000.0,273700000.0,159800000.0,2.01,1.99,0.72,2723300000.0,998800000.0,557600000.0,170900000.0,540600000.0,253700000.0,-170300000.0,-148100000.0,1355600000.0,650300000.0,76000000.0
POL,2015-06-30,False,Q2,2015,10-Q,887100000.0,80300000.0,66800000.0,0.75,0.74,0.1,2692700000.0,1052900000.0,595200000.0,236800000.0,799900000.0,59900000.0,-37200000.0,-22100000.0,1058200000.0,591800000.0,39100000.0
POL,2015-03-31,False,Q1,2015,10-Q,873100000.0,70100000.0,30200000.0,0.34,0.34,0.1,2688900000.0,1053100000.0,554800000.0,226400000.0,759100000.0,-57800000.0,-14000000.0,62500000.0,1111100000.0,591700000.0,15100000.0
POL,2016-06-30,False,Q2,2016,10-Q,861500000.0,81500000.0,50000000.0,0.59,0.59,0.12,2619800000.0,951200000.0,531700000.0,161400000.0,731800000.0,49400000.0,-103400000.0,-63100000.0,1144600000.0,636000000.0,39600000.0
POL,2014-12-31,False,FY,2014,10-K,3835500000.0,155100000.0,79200000.0,0.86,0.85,0.34,2711200000.0,1042700000.0,601200000.0,238600000.0,777200000.0,208400000.0,-111800000.0,-218400000.0,600000000.0,590600000.0,92800000.0
POL,2015-09-30,False,Q3,2015,10-Q,841600000.0,69200000.0,44500000.0,0.51,0.5,0.1,2637400000.0,1011700000.0,561600000.0,235700000.0,749000000.0,128600000.0,-59700000.0,-64300000.0,1099800000.0,591000000.0,61600000.0
POL,2017-03-31,False,Q1,2017,10-Q,898800000.0,81400000.0,46900000.0,0.57,0.57,0.135,2776700000.0,985000000.0,517600000.0,157700000.0,734400000.0,-23700000.0,-35500000.0,-11000000.0,1297100000.0,686700000.0,15500000.0
POL,2018-03-31,False,Q1,2018,10-Q,901600000.0,78800000.0,46900000.0,0.58,0.58,0.175,2743900000.0,1035300000.0,571900000.0,165500000.0,585100000.0,26700000.0,-85900000.0,-22100000.0,1353900000.0,635600000.0,12900000.0
POL,2017-06-30,False,Q2,2017,10-Q,814100000.0,80000000.0,-181400000.0,-2.22,-2.2,0.135,2712600000.0,1135300000.0,546200000.0,191100000.0,558100000.0,43700000.0,-162200000.0,80200000.0,1400100000.0,598500000.0,34100000.0
POL,2018-06-30,False,Q2,2018,10-Q,914800000.0,77400000.0,51300000.0,0.64,0.63,0.175,2768500000.0,1037200000.0,588800000.0,158600000.0,594700000.0,108900000.0,-130100000.0,-62800000.0,1331200000.0,651600000.0,31500000.0
POL,2017-09-30,False,Q3,2017,10-Q,818500000.0,67700000.0,38800000.0,0.48,0.47,0.135,2649500000.0,1044000000.0,533900000.0,233500000.0,568700000.0,111200000.0,-92800000.0,-16300000.0,1352000000.0,608900000.0,52000000.0
POL,2015-12-31,False,FY,2015,10-K,3377600000.0,250900000.0,144600000.0,1.65,1.63,0.42,2595100000.0,960800000.0,498100000.0,279800000.0,705200000.0,227200000.0,-106500000.0,-70400000.0,1146600000.0,597700000.0,91200000.0
POL,2017-12-31,False,FY,2017,10-K,3229900000.0,277500000.0,-57700000.0,-0.71,-0.7,0.58,2705300000.0,1066600000.0,570600000.0,243600000.0,599400000.0,202400000.0,-119400000.0,-72700000.0,1309000000.0,610500000.0,79600000.0
POL,2011-03-31,False,Q1,2011,10-Q,718500000.0,179800000.0,110200000.0,1.17,1.14,0.04,1828500000.0,1091100000.0,495300000.0,412400000.0,615200000.0,-39400000.0,105100000.0,-32500000.0,,170600000.0,7700000.0
POL,2012-06-30,False,Q2,2012,10-Q,792000000.0,53100000.0,24600000.0,0.28,0.27,0.05,2144200000.0,927700000.0,487700000.0,209300000.0,606700000.0,32300000.0,2200000.0,-16600000.0,705800000.0,394200000.0,16700000.0
POL,2011-06-30,False,Q2,2011,10-Q,768800000.0,50500000.0,28500000.0,0.31,0.3,0.04,1864700000.0,1111100000.0,549300000.0,416800000.0,629600000.0,-8900000.0,93500000.0,-47900000.0,432900000.0,171700000.0,20500000.0
POL,2012-03-31,False,Q1,2012,10-Q,781000000.0,44900000.0,20200000.0,0.23,0.22,0.05,2128600000.0,898000000.0,468500000.0,186300000.0,613700000.0,-20100000.0,11000000.0,2300000.0,706400000.0,393300000.0,7900000.0
POL,2011-12-31,False,FY,2011,10-K,2863500000.0,233000000.0,172600000.0,1.87,1.83,0.16,2080500000.0,843500000.0,442400000.0,191900000.0,588300000.0,72500000.0,-422500000.0,163900000.0,707000000.0,396700000.0,54100000.0
