symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
PVH,2010-10-31,False,Q3,2010,10-Q,1516419000.0,,80732000.0,1.15,1.12,0.0375,6889539000.0,1914579000.0,855958000.0,491437000.0,2415158000.0,136344000.0,-2718534000.0,2577087000.0,,1752417000.0,55399000.0
PVH,2018-11-04,False,Q3,2018,10-Q,2524500000.0,282300000.0,243100000.0,3.18,3.15,0.0375,11830900000.0,3307800000.0,1898600000.0,398500000.0,5681200000.0,304900000.0,-285700000.0,-93300000.0,2878300000.0,3655200000.0,269800000.0
PVH,2011-01-30,False,FY,2010,10-K,4636848000.0,,53805000.0,0.82,0.8,0.0,6735334000.0,1810563000.0,908162000.0,498718000.0,2442557000.0,352227000.0,-2778265000.0,2433470000.0,,1803399000.0,100995000.0
PVH,2010-08-01,False,Q2,2010,10-Q,1103268000.0,,-54587000.0,-0.83,-0.83,0.0,6520410000.0,1683993000.0,786929000.0,475340000.0,2195568000.0,101548000.0,-2681563000.0,2562302000.0,,1701641000.0,29014000.0
PVH,2011-05-01,False,Q1,2011,10-Q,1369184000.0,,57667000.0,0.81,0.79,0.075,6834052000.0,1658344000.0,856540000.0,294958000.0,2670989000.0,-12023000.0,-57787000.0,-149122000.0,,1929797000.0,34467000.0
PVH,2011-07-31,False,Q2,2011,10-Q,1334444000.0,,62809000.0,0.94,0.92,0.0,6870149000.0,1740842000.0,972192000.0,287691000.0,2711205000.0,135745000.0,-114054000.0,-244777000.0,2141878000.0,1904388000.0,73899000.0
PVH,2012-01-29,False,FY,2011,10-K,5890624000.0,,299219000.0,4.46,4.36,0.0375,6752361000.0,1739235000.0,1043871000.0,233197000.0,2715449000.0,490721000.0,-303861000.0,-443661000.0,1902876000.0,1822475000.0,169841000.0
PVH,2011-10-30,False,Q3,2011,10-Q,1654160000.0,,105648000.0,1.57,1.54,0.0375,6896365000.0,1774040000.0,983676000.0,159981000.0,2774893000.0,173340000.0,-226788000.0,-293171000.0,2091556000.0,1884699000.0,117892000.0
PVH,2012-04-29,False,Q1,2012,10-Q,1427406000.0,,88674000.0,1.29,1.27,0.075,6780397000.0,1727953000.0,981893000.0,238612000.0,2829309000.0,-508000.0,-52609000.0,56599000.0,1874339000.0,1845237000.0,39074000.0
PVH,2012-07-29,False,Q2,2012,10-Q,1336623000.0,,85173000.0,1.21,1.19,0.0,6731488000.0,1819938000.0,1109393000.0,261986000.0,2781200000.0,207298000.0,-107434000.0,-63257000.0,1803485000.0,1777724000.0,81685000.0
PVH,2012-10-28,False,Q3,2012,10-Q,1642770000.0,,160642000.0,2.28,2.24,0.0375,6985971000.0,1912119000.0,1139966000.0,276630000.0,3046624000.0,285378000.0,-187746000.0,-53249000.0,1731596000.0,1855195000.0,137048000.0
PVH,2014-05-04,False,Q1,2014,10-Q,1963700000.0,,35300000.0,0.43,0.42,0.0375,11629000000.0,2927300000.0,1466400000.0,513000000.0,4479500000.0,-51400000.0,-86200000.0,52800000.0,3961300000.0,3577700000.0,50700000.0
PVH,2013-02-03,False,FY,2012,10-K,6042999000.0,,421295000.0,5.98,5.87,0.0375,7781549000.0,2437006000.0,1162447000.0,892209000.0,3252569000.0,569537000.0,-307933000.0,384815000.0,2299642000.0,1958887000.0,210554000.0
PVH,2014-08-03,False,Q2,2014,10-Q,1975600000.0,,126500000.0,1.54,1.52,0.075,11585300000.0,2994500000.0,1604100000.0,461100000.0,4530300000.0,170200000.0,-150600000.0,-153300000.0,3742200000.0,3530300000.0,102700000.0
PVH,2013-05-05,False,Q1,2013,10-Q,1910160000.0,,-20052000.0,-0.25,-0.25,0.075,11607284000.0,3082451000.0,1287703000.0,746281000.0,4113689000.0,-116952000.0,-1875259000.0,1853365000.0,4461088000.0,3320525000.0,45730000.0
