symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
PXD,2018-12-31,False,FY,2018,10-K,9415000000.0,,978000000.0,5.71,5.7,0.32,17903000000.0,2580000000.0,1818000000.0,825000000.0,12111000000.0,3242000000.0,-2610000000.0,-703000000.0,2284000000.0,264000000.0,263000000.0
PXD,2009-09-30,False,Q3,2009,10-Q,410087000.0,,-7165000.0,-0.06,-0.06,0.04,8681068000.0,422962000.0,517820000.0,55615000.0,3534232000.0,410825000.0,-312991000.0,-90556000.0,,309371000.0,17310000.0
PXD,2011-03-31,False,Q1,2011,10-Q,676570000.0,,342454000.0,2.96,2.96,0.04,10025986000.0,1235593000.0,695864000.0,520651000.0,4553567000.0,143214000.0,334168000.0,-67891000.0,,298145000.0,129280000.0
PXD,2010-06-30,False,Q2,2010,10-Q,662394000.0,,167576000.0,1.42,1.41,0.0,9112322000.0,712578000.0,587285000.0,197686000.0,4058133000.0,693214000.0,-238373000.0,-284523000.0,,298563000.0,74183000.0
PXD,2011-09-30,False,Q3,2011,10-Q,1031689000.0,,344667000.0,2.96,2.95,0.04,10985043000.0,1103643000.0,776117000.0,210565000.0,5196667000.0,1030038000.0,-854853000.0,-75780000.0,,298154000.0,265740000.0
PXD,2011-06-30,False,Q2,2011,10-Q,602089000.0,,240730000.0,2.07,2.03,0.0,10353088000.0,1071107000.0,755641000.0,352421000.0,4815964000.0,564454000.0,-241852000.0,-81341000.0,,298177000.0,215367000.0
PXD,2009-12-31,False,FY,2009,10-K,1711516000.0,,-52106000.0,-0.46,-0.46,0.08,8867265000.0,616118000.0,571191000.0,27368000.0,3643031000.0,543059000.0,-410985000.0,-153043000.0,,309259000.0,25345000.0
PXD,2010-12-31,False,FY,2010,10-K,2471590000.0,,591312000.0,5.14,5.08,0.08,9679102000.0,1197183000.0,769220000.0,111160000.0,4226025000.0,1285023000.0,-954856000.0,-246375000.0,2601670000.0,298182000.0,184330000.0
PXD,2011-12-31,False,FY,2011,10-K,2786585000.0,,819311000.0,7.01,6.88,0.08,11524161000.0,1479297000.0,1011798000.0,537484000.0,5651138000.0,1529714000.0,-1560787000.0,457397000.0,2528905000.0,298142000.0,363246000.0
PXD,2012-09-30,False,Q3,2012,10-Q,603398000.0,,18867000.0,0.15,0.15,0.04,12814001000.0,1579884000.0,991848000.0,333886000.0,5800109000.0,1357470000.0,-2516089000.0,955021000.0,3562070000.0,293449000.0,238803000.0
