symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
R,2016-12-31,False,FY,2016,10-K,6786984000.0,,262477000.0,4.94,4.9,1.7,10902454000.0,1101557000.0,1744069000.0,58801000.0,2052275000.0,1601022000.0,-1405833000.0,-185922000.0,5391274000.0,386772000.0,1905157000.0
R,2017-03-31,False,Q1,2017,10-Q,1748163000.0,,38149000.0,0.72,0.71,0.44,10973807000.0,1113340000.0,1977799000.0,37951000.0,-813226000.0,331349000.0,-247130000.0,-106215000.0,5326225000.0,387096000.0,361339000.0
R,2015-06-30,False,Q2,2015,10-Q,1662931000.0,,85159000.0,1.61,1.59,0.37,10638264000.0,1135916000.0,1523732000.0,73353000.0,1913439000.0,658698000.0,-1078663000.0,445520000.0,5217025000.0,392260000.0,1329218000.0
R,2016-09-30,False,Q3,2016,10-Q,1724418000.0,,84752000.0,1.6,1.59,0.44,11108773000.0,1137559000.0,2029851000.0,74994000.0,-747445000.0,1184744000.0,-1108584000.0,-55236000.0,5519641000.0,387730000.0,1511359000.0
R,2015-03-31,False,Q1,2015,10-Q,1567153000.0,,52916000.0,1.0,0.99,0.37,9906791000.0,1078019000.0,1126537000.0,72199000.0,1811546000.0,277878000.0,-440817000.0,184837000.0,4703920000.0,391082000.0,553242000.0
R,2016-06-30,False,Q2,2016,10-Q,1703744000.0,,73750000.0,1.39,1.38,0.41,11136127000.0,1126248000.0,2018060000.0,65964000.0,2047098000.0,762672000.0,-823336000.0,69399000.0,5634014000.0,388278000.0,1120182000.0
R,2018-09-30,False,Q3,2018,10-Q,2158061000.0,,88751000.0,1.69,1.68,0.54,12684305000.0,1464656000.0,2182818000.0,60688000.0,2918398000.0,1212373000.0,-2018190000.0,784855000.0,6283110000.0,493169000.0,2200006000.0
R,2018-06-30,False,Q2,2018,10-Q,2089338000.0,,42258000.0,0.8,0.8,0.52,12228866000.0,1367756000.0,2018564000.0,73582000.0,2841403000.0,820438000.0,-1348920000.0,519062000.0,5977925000.0,480351000.0,1421301000.0
R,2018-03-31,False,Q1,2018,10-Q,1903467000.0,,33505000.0,0.64,0.63,0.52,11736157000.0,1311521000.0,1809280000.0,73857000.0,2858815000.0,314887000.0,-553044000.0,231822000.0,5677686000.0,380122000.0,662744000.0
R,2011-09-30,False,Q3,2011,10-Q,1570720000.0,,56524000.0,1.1,1.1,0.29,7445775000.0,1098406000.0,1162899000.0,115786000.0,1451428000.0,782303000.0,-1254438000.0,372138000.0,3198594000.0,379239000.0,1165135000.0
