symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
RARE,2018-12-31,False,FY,2018,10-K,51495000.0,-371373000.0,-197611000.0,-3.97,-3.97,0.0,719558000.0,522369000.0,74725000.0,113432000.0,608908000.0,-290566000.0,-33331000.0,336853000.0,,44406000.0,4076000.0
RARE,2014-03-31,False,Q1,2014,10-Q,93000.0,-10339000.0,-18438000.0,-0.85,-0.85,0.0,172707000.0,169636000.0,6811000.0,55447000.0,165714000.0,-8336000.0,-65398000.0,121754000.0,,,2691000.0
RARE,2015-09-30,False,Q3,2015,10-Q,,-39936000.0,-39232000.0,-1.03,-1.03,0.0,602130000.0,460707000.0,24733000.0,166686000.0,576763000.0,-65533000.0,-258791000.0,466686000.0,,,3032000.0
RARE,2016-03-31,False,Q1,2016,10-Q,,-53622000.0,-52757000.0,-1.35,-1.35,0.0,524184000.0,430234000.0,29880000.0,70763000.0,489824000.0,-44895000.0,21775000.0,314000.0,,,1477000.0
RARE,2014-09-30,False,Q3,2014,10-Q,,-15835000.0,-15849000.0,-0.5,-0.5,0.0,210931000.0,206741000.0,11072000.0,53387000.0,199326000.0,-29895000.0,-106419000.0,182274000.0,,,1696000.0
RARE,2014-06-30,False,Q2,2014,10-Q,149000.0,-13661000.0,-13585000.0,-0.45,-0.45,0.0,162586000.0,158216000.0,8943000.0,17452000.0,153083000.0,-18865000.0,-92874000.0,121764000.0,,,1257000.0
RARE,2015-03-31,False,Q1,2015,10-Q,,-21502000.0,-21379000.0,-0.63,-0.63,0.0,355840000.0,350514000.0,14243000.0,178040000.0,341119000.0,-17659000.0,-4065000.0,175440000.0,,,459000.0
RARE,2014-12-31,False,FY,2014,10-K,,-56778000.0,-64610000.0,-2.25,-2.25,0.0,197967000.0,193416000.0,12517000.0,24324000.0,184945000.0,-44634000.0,-123440000.0,184971000.0,,,2149000.0
RARE,2015-12-31,False,FY,2015,10-K,,-147738000.0,-145618000.0,-3.96,-3.96,0.0,559569000.0,450207000.0,27918000.0,93569000.0,531090000.0,-105977000.0,-292351000.0,467573000.0,,,4955000.0
RARE,2016-06-30,False,Q2,2016,10-Q,17000.0,-58053000.0,-56923000.0,-1.46,-1.46,0.0,481951000.0,411084000.0,31983000.0,55069000.0,443895000.0,-84550000.0,45761000.0,289000.0,,,6521000.0
RARE,2016-09-30,False,Q3,2016,10-Q,111000.0,-65783000.0,-64907000.0,-1.64,-1.64,0.0,515166000.0,416785000.0,50431000.0,142280000.0,455890000.0,-113295000.0,98270000.0,63736000.0,,,9522000.0
RARE,2017-06-30,False,Q2,2017,10-Q,,-78441000.0,-72891000.0,-1.72,-1.72,0.0,497542000.0,419794000.0,62675000.0,90751000.0,429453000.0,-110027000.0,-30476000.0,70495000.0,,,861000.0
RARE,2017-03-31,False,Q1,2017,10-Q,100000.0,-69954000.0,-68290000.0,-1.63,-1.63,0.0,545822000.0,444685000.0,51755000.0,159501000.0,488478000.0,-61205000.0,-9400000.0,68969000.0,,,485000.0
RARE,2015-06-30,False,Q2,2015,10-Q,,-30142000.0,-29787000.0,-0.83,-0.83,0.0,343004000.0,336530000.0,23042000.0,52351000.0,319278000.0,-34932000.0,-115076000.0,178035000.0,,,1054000.0
RARE,2016-12-31,False,FY,2016,10-K,133000.0,-248007000.0,-245874000.0,-6.21,-6.21,0.0,540626000.0,401695000.0,60259000.0,161120000.0,473974000.0,-160975000.0,89915000.0,138676000.0,,,10188000.0
RARE,2018-06-30,False,Q2,2018,10-Q,12794000.0,-94900000.0,-52728000.0,-1.06,-1.06,0.0,806022000.0,604743000.0,66049000.0,110854000.0,703971000.0,-165556000.0,-123097000.0,299587000.0,,44406000.0,1852000.0
RARE,2018-03-31,False,Q1,2018,10-Q,10677000.0,-96487000.0,30253000.0,0.63,0.62,0.0,817350000.0,581580000.0,57583000.0,226730000.0,723657000.0,-89478000.0,-71028000.0,286419000.0,,44406000.0,475000.0
RARE,2018-09-30,False,Q3,2018,10-Q,11763000.0,-89646000.0,-87310000.0,-1.74,-1.74,0.0,765145000.0,567480000.0,66681000.0,82956000.0,662596000.0,-234713000.0,-106892000.0,324611000.0,,44406000.0,2884000.0
RARE,2017-09-30,False,Q3,2017,10-Q,198000.0,-83713000.0,-79227000.0,-1.87,-1.87,0.0,435047000.0,390903000.0,64261000.0,60407000.0,365558000.0,-172020000.0,-688000.0,71828000.0,,,1894000.0
RARE,2017-12-31,False,FY,2017,10-K,2612000.0,-328942000.0,-302139000.0,-7.12,-7.12,0.0,490753000.0,269583000.0,71014000.0,100488000.0,383454000.0,-253843000.0,56416000.0,136267000.0,,44406000.0,2793000.0
