symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
RNGE,2013-06-30,False,Q2,2013,10-Q,1291579.0,,-890393.0,,,0.0,48488639.0,18989034.0,2031052.0,18431920.0,45033031.0,1370465.0,-7329984.0,18987272.0,,,-54441.0
RNGE,2013-03-31,False,Q1,2013,10-Q,1151957.0,,-965280.0,,,0.0,28527030.0,4545033.0,681456.0,3997679.0,26500194.0,-373422.0,-1483066.0,450000.0,,,0.0
RNGE,2012-06-30,False,Q2,2012,10-Q,342522.0,,-541377.0,-0.15,-0.15,0.0,14143202.0,6856041.0,5596448.0,6614338.0,8262442.0,-508998.0,-681169.0,7793133.0,0.0,,-179078.0
REI,2018-12-31,False,FY,2018,10-K,120065361.0,19960939.0,8999760.0,0.15,0.15,0.0,567065659.0,16844257.0,51910432.0,3363726.0,462599430.0,70357321.0,-203421314.0,121421138.0,39500000.0,,0.0
RNGE,2013-09-30,False,Q3,2013,10-Q,2820731.0,,-131493.0,-0.01,-0.01,0.0,52718455.0,9658505.0,5248034.0,7867616.0,45789473.0,5049526.0,-21564959.0,18978882.0,,,0.0
RNGE,2012-03-31,False,Q1,2012,10-Q,0.0,-81625.0,-65536.0,-0.01,-0.01,0.0,9521160.0,8042494.0,29477.0,8014452.0,9491683.0,-80795.0,-607800.0,4279134.0,,,0.0
RNGE,2012-12-31,False,FY,2012,10-K,1757444.0,-2031847.0,-1669283.0,-0.21,-0.21,0.0,28513378.0,5882530.0,1191431.0,5404167.0,26199711.0,-31851.0,-10377549.0,15802195.0,0.0,,-159977.0
RNGE,2012-09-30,False,Q3,2012,10-Q,374739.0,,-631453.0,-0.06,-0.06,0.0,22228092.0,10097772.0,1798474.0,9846250.0,20126329.0,510642.0,-5014880.0,14339116.0,0.0,,
RNGE,2014-03-31,False,Q1,2014,10-Q,5970452.0,,1163689.0,0.05,0.05,0.0,117247797.0,40661186.0,9669834.0,37732846.0,104389652.0,7525475.0,-22103993.0,-39219.0,,,-123851.0
RNGE,2013-12-31,False,FY,2013,10-K,10315701.0,,-452209.0,-0.03,-0.03,0.0,111723418.0,56305036.0,7231643.0,52350583.0,102605714.0,8116408.0,-34439182.0,73269190.0,,,0.0
RNGE,2011-12-31,False,FY,2011,10-K,2624.0,-326454.0,-320248.0,-0.09,-0.09,0.0,5283730.0,4426013.0,5645.0,4423913.0,5278085.0,-322355.0,-850000.0,4665165.0,,,0.0
RNGE,2014-06-30,False,Q2,2014,10-Q,11204238.0,,2821738.0,0.12,0.11,0.0,150555825.0,50575075.0,8654340.0,45535352.0,136580342.0,13032776.0,-48537639.0,28689632.0,,,239210.0
REI,2015-03-31,False,Q1,2015,10-Q,6045701.0,-1549389.0,-975624.0,-0.04,-0.04,0.0,167576345.0,8854881.0,6930803.0,2850125.0,142284094.0,-6048585.0,-9786025.0,10062500.0,10000000.0,,164404.0
RNGE,2014-09-30,False,Q3,2014,10-Q,10929771.0,,1726469.0,0.07,0.06,0.0,155215349.0,33649763.0,9157583.0,29066848.0,139206699.0,21988487.0,-74013498.0,28741276.0,,,599387.0
REI,2014-12-31,False,FY,2014,10-K,38089443.0,12570275.0,8420500.0,0.34,0.33,0.0,167641460.0,15083298.0,16263051.0,8622235.0,142542530.0,33748065.0,-106206099.0,28729686.0,10000000.0,,951898.0
RNGE,2011-09-30,False,Q3,2011,10-Q,0.0,-267701.0,-267210.0,-0.08,-0.08,0.0,627902.0,623007.0,2161.0,620907.0,625741.0,-310196.0,0.0,1668068.0,,,0.0
RING,2011-06-30,False,Q2,2011,10-Q,0.0,-16972.0,-16265.0,0.0,0.0,0.0,892951.0,887756.0,0.0,885256.0,892951.0,-45847.0,0.0,1668068.0,,,0.0
REI,2015-06-30,False,Q2,2015,10-Q,11370380.0,1019686.0,534167.0,0.02,0.02,0.0,251327685.0,13591480.0,6999288.0,5767566.0,192390491.0,-2917656.0,-89815257.0,89878244.0,40900000.0,,316039.0
