symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
RM,2013-12-31,False,FY,2013,10-K,170629000.0,,28794000.0,2.29,2.23,0.0,533888000.0,,,4121000.0,161173000.0,72590000.0,-142677000.0,70910000.0,362750000.0,716000.0,4152000.0
RM,2018-12-31,False,FY,2018,10-K,306706000.0,,35345000.0,3.03,2.93,0.0,956395000.0,,,3657000.0,279161000.0,146285000.0,-199244000.0,81083000.0,651349000.0,716000.0,5352000.0
RM,2013-06-30,False,Q2,2013,10-Q,39383000.0,,6656000.0,0.53,0.52,0.0,459944000.0,,,2931000.0,145455000.0,29119000.0,-40330000.0,10844000.0,302279000.0,716000.0,2834000.0
RM,2013-03-31,False,Q1,2013,10-Q,38569000.0,,6928000.0,0.55,0.54,0.0,421848000.0,,,857000.0,138620000.0,16761000.0,-872000.0,-18330000.0,273037000.0,363000.0,943000.0
RM,2012-06-30,False,Q2,2012,10-Q,32016000.0,,6620000.0,0.53,0.52,0.0,341065000.0,,,2314000.0,116565000.0,25902000.0,-50149000.0,21712000.0,212731000.0,,1277000.0
RM,2012-03-31,False,Q1,2012,10-Q,31540000.0,,5122000.0,0.55,0.53,0.0,316557000.0,,,2429000.0,58023000.0,9591000.0,-16503000.0,4492000.0,209607000.0,,
RM,2012-09-30,False,Q3,2012,10-Q,35490000.0,,6988000.0,0.56,0.55,0.0,394292000.0,,,4360000.0,123694000.0,40017000.0,-108175000.0,67669000.0,258308000.0,,1761000.0
RM,2014-06-30,False,Q2,2014,10-Q,47437000.0,,4414000.0,0.35,0.34,0.0,503995000.0,,,3562000.0,171860000.0,38982000.0,-1548000.0,-37993000.0,324570000.0,716000.0,2246000.0
RM,2014-09-30,False,Q3,2014,10-Q,53909000.0,,1397000.0,0.11,0.11,0.0,522820000.0,,,3831000.0,173633000.0,64937000.0,-41989000.0,-23238000.0,339323000.0,716000.0,3468000.0
RM,2012-12-31,False,FY,2012,10-K,136046000.0,,25367000.0,2.17,2.12,0.0,434991000.0,,,3298000.0,130569000.0,57569000.0,-159456000.0,100336000.0,292379000.0,363000.0,1996000.0
RM,2015-06-30,False,Q2,2015,10-Q,53001000.0,,5408000.0,0.42,0.41,0.0,560981000.0,,,4793000.0,190757000.0,36885000.0,-53902000.0,17798000.0,359491000.0,716000.0,1428000.0
RM,2014-03-31,False,Q1,2014,10-Q,49581000.0,,5610000.0,0.44,0.43,0.0,488611000.0,,,6265000.0,167174000.0,25064000.0,29326000.0,-52246000.0,310315000.0,716000.0,950000.0
