symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ROG,2011-12-31,False,FY,2011,10-K,553150000.0,52803000.0,37055000.0,2.31,2.21,0.0,677628000.0,265632000.0,78797000.0,79728000.0,338256000.0,16861000.0,-145994000.0,128267000.0,,,21316000.0
ROG,2011-09-30,False,Q3,2011,10-Q,147608000.0,16618000.0,14356000.0,0.89,0.85,0.0,702662000.0,278505000.0,89225000.0,71148000.0,383189000.0,-2744000.0,-138303000.0,131453000.0,,,12478000.0
ROG,2011-06-30,False,Q2,2011,10-Q,143685000.0,15178000.0,12128000.0,0.76,0.73,0.0,709495000.0,268104000.0,76777000.0,71647000.0,383325000.0,-6361000.0,-137931000.0,133408000.0,,,8006000.0
ROG,2012-09-30,False,Q3,2011,10-Q,130248000.0,10101000.0,58976000.0,3.58,3.46,0.0,716299000.0,289987000.0,87716000.0,91101000.0,416875000.0,15522000.0,7852000.0,-9658000.0,106000000.0,102632000.0,16465000.0
ROG,2012-03-31,False,Q1,2012,10-Q,121373000.0,-684000.0,-1808000.0,-0.11,-0.11,0.0,673346000.0,284973000.0,96950000.0,93517000.0,345226000.0,-2026000.0,18157000.0,-976000.0,96300000.0,104359000.0,4181000.0
ROG,2012-06-30,False,Q2,2012,10-Q,126671000.0,9076000.0,6455000.0,0.4,0.38,0.0,661162000.0,282980000.0,94814000.0,95786000.0,345343000.0,4301000.0,13550000.0,277000.0,95000000.0,100594000.0,10767000.0
ROG,2018-12-31,False,FY,2018,10-K,879091000.0,112711000.0,87651000.0,4.77,4.7,0.0,1279344000.0,485786000.0,107180000.0,167738000.0,848324000.0,66820000.0,-167437000.0,88682000.0,1700000.0,264885000.0,47115000.0
ROG,2013-03-31,False,Q1,2013,10-Q,125979000.0,10814000.0,7096000.0,0.42,0.4,0.0,754442000.0,310088000.0,87562000.0,126414000.0,436371000.0,19950000.0,-7632000.0,47000.0,95500000.0,102045000.0,7706000.0
ROG,2013-06-30,False,Q2,2013,10-Q,132452000.0,8107000.0,5565000.0,0.33,0.32,0.0,758509000.0,326189000.0,87308000.0,137015000.0,470380000.0,30568000.0,-10462000.0,1946000.0,93000000.0,103000000.0,10537000.0
ROG,2012-12-31,False,FY,2012,10-K,498761000.0,25664000.0,68685000.0,4.18,4.04,0.0,760024000.0,306936000.0,84505000.0,114863000.0,434152000.0,40039000.0,1368000.0,-8455000.0,98000000.0,105041000.0,23774000.0
ROG,2015-06-30,False,Q2,2015,10-Q,163098000.0,20510000.0,13540000.0,0.73,0.71,0.0,967730000.0,441136000.0,87720000.0,209762000.0,599889000.0,22413000.0,-170051000.0,124387000.0,32500000.0,178617000.0,14274000.0
ROG,2013-09-30,False,Q3,2013,10-Q,142820000.0,19009000.0,13572000.0,0.79,0.76,0.0,793142000.0,356767000.0,86439000.0,158608000.0,514909000.0,45104000.0,-13445000.0,8220000.0,81300000.0,106887000.0,13549000.0
ROG,2015-03-31,False,Q1,2015,10-Q,165051000.0,20100000.0,13627000.0,0.74,0.72,0.0,985062000.0,435166000.0,138560000.0,199858000.0,573071000.0,12909000.0,-164264000.0,123312000.0,55000000.0,175009000.0,8486000.0
ROG,2013-12-31,False,FY,2013,10-K,537482000.0,49280000.0,37761000.0,2.2,2.13,0.0,806534000.0,377707000.0,90040000.0,191884000.0,555527000.0,78015000.0,-16979000.0,10657000.0,77500000.0,108671000.0,16859000.0
ROG,2014-09-30,False,Q3,2014,10-Q,163052000.0,28389000.0,20388000.0,1.12,1.09,0.0,850894000.0,438067000.0,121311000.0,227973000.0,596980000.0,57467000.0,-18686000.0,2151000.0,65000000.0,101676000.0,18788000.0
ROG,2015-09-30,False,Q3,2015,10-Q,160366000.0,23055000.0,12455000.0,0.68,0.67,0.0,943969000.0,424479000.0,88326000.0,192606000.0,576127000.0,45561000.0,-177307000.0,90686000.0,24400000.0,177604000.0,21574000.0
ROG,2014-06-30,False,Q2,2014,10-Q,153495000.0,16219000.0,10902000.0,0.6,0.58,0.0,841507000.0,418636000.0,97795000.0,218692000.0,597309000.0,29673000.0,-10244000.0,5498000.0,70000000.0,108632000.0,10337000.0
ROG,2014-03-31,False,Q1,2014,10-Q,146640000.0,21457000.0,14580000.0,0.81,0.79,0.0,832328000.0,407568000.0,93764000.0,216458000.0,581894000.0,17784000.0,-2212000.0,6361000.0,73800000.0,108558000.0,2233000.0
