symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
RSG,2016-09-30,False,Q3,2016,10-Q,2409300000.0,417900000.0,85600000.0,0.25,0.25,0.32,20661700000.0,1301600000.0,1817900000.0,55000000.0,7641500000.0,1359600000.0,-752400000.0,-584600000.0,7745300000.0,11163100000.0,738700000.0
RSG,2016-06-30,False,Q2,2016,10-Q,2350700000.0,382100000.0,180800000.0,0.53,0.52,0.3,20645400000.0,1259400000.0,1847700000.0,42000000.0,7758000000.0,844300000.0,-517200000.0,-317500000.0,7614000000.0,11154200000.0,512000000.0
RSG,2015-06-30,False,Q2,2015,10-Q,2311400000.0,389200000.0,190300000.0,0.54,0.54,0.28,20666600000.0,1340900000.0,1788200000.0,99900000.0,7764700000.0,901200000.0,-998200000.0,121700000.0,7552600000.0,11102400000.0,499200000.0
RSG,2017-06-30,False,Q2,2017,10-Q,2526700000.0,425500000.0,202900000.0,0.6,0.6,0.32,20761100000.0,1292800000.0,2543000000.0,36000000.0,7665100000.0,878800000.0,-593700000.0,-316900000.0,7781100000.0,11208200000.0,497500000.0
RSG,2016-03-31,False,Q1,2016,10-Q,2248600000.0,345500000.0,156700000.0,0.45,0.45,0.3,20539200000.0,1183300000.0,1810300000.0,33400000.0,7765900000.0,431500000.0,-270200000.0,-160300000.0,7560400000.0,11149100000.0,271500000.0
RSG,2017-09-30,False,Q3,2017,10-Q,2562000000.0,448100000.0,223200000.0,0.66,0.66,0.345,20948600000.0,1396700000.0,2591500000.0,63900000.0,7674200000.0,1381500000.0,-917900000.0,-467500000.0,7857700000.0,11233600000.0,769000000.0
RSG,2015-09-30,False,Q3,2015,10-Q,2344000000.0,442900000.0,215000000.0,0.62,0.61,0.3,20791800000.0,1444300000.0,1900500000.0,102500000.0,7802200000.0,1324500000.0,-1243200000.0,-54000000.0,7561000000.0,11128300000.0,732000000.0
RSG,2015-12-31,False,FY,2015,10-K,9115000000.0,1558800000.0,749900000.0,2.14,2.13,1.16,20577200000.0,1230300000.0,1834800000.0,32400000.0,7776600000.0,1679700000.0,-1482800000.0,-239700000.0,1079100000.0,11145500000.0,945600000.0
RSG,2017-12-31,False,FY,2017,10-K,10041500000.0,1668500000.0,1278374000.0,3.79,3.77,1.33,21147000000.0,1436800000.0,2634800000.0,83300000.0,7961100000.0,1910700000.0,-1383400000.0,-511800000.0,1036000000.0,11315400000.0,989800000.0
RSG,2017-03-31,False,Q1,2017,10-Q,2392800000.0,388100000.0,187800000.0,0.55,0.55,0.32,20595800000.0,1234400000.0,1777200000.0,33200000.0,7685700000.0,444300000.0,-292200000.0,-186700000.0,7670100000.0,11184300000.0,223900000.0
RSG,2018-03-31,False,Q1,2018,10-Q,2427500000.0,404200000.0,237700000.0,0.72,0.72,0.345,21108700000.0,1354000000.0,2560200000.0,62600000.0,7914300000.0,581400000.0,-276700000.0,-349600000.0,8206700000.0,11329100000.0,263300000.0
RSG,2015-03-31,False,Q1,2015,10-Q,2169400000.0,372800000.0,172400000.0,0.49,0.49,0.28,20593700000.0,1343700000.0,1756400000.0,134300000.0,7764700000.0,496100000.0,-773400000.0,336400000.0,7564600000.0,11095500000.0,269600000.0
RSG,2018-06-30,False,Q2,2018,10-Q,2997000000.0,408200000.0,234900000.0,0.72,0.71,0.345,21203700000.0,1369400000.0,1989500000.0,61300000.0,7848800000.0,1191000000.0,-606000000.0,-631400000.0,8257700000.0,11345300000.0,542100000.0
RSG,2016-12-31,False,FY,2015,10-K,9387700000.0,1537500000.0,612588000.0,1.79,1.78,1.24,20629600000.0,1284500000.0,1812000000.0,67800000.0,7693700000.0,1847800000.0,-961200000.0,-851200000.0,1072700000.0,11163200000.0,927800000.0
RSG,2014-12-31,False,FY,2014,10-K,8788300000.0,1233100000.0,547600000.0,1.54,1.53,1.08,20094000000.0,1391000000.0,1826000000.0,75200000.0,7747800000.0,1529800000.0,-959800000.0,-708100000.0,7061200000.0,10830900000.0,862500000.0
RSG,2009-06-30,False,Q2,2009,10-Q,2066100000.0,520700000.0,225900000.0,0.6,0.59,0.19,19446400000.0,1252900000.0,2186300000.0,67600000.0,7493600000.0,680700000.0,108400000.0,-790200000.0,,10539500000.0,-355100000.0
RSG,2009-09-30,False,Q3,2009,10-Q,2073500000.0,386900000.0,120500000.0,0.32,0.32,0.19,19530100000.0,1404300000.0,2098000000.0,107300000.0,7554500000.0,1012400000.0,-19400000.0,-954400000.0,,10534000000.0,542500000.0
RSG,2010-03-31,False,Q1,2010,10-Q,1957700000.0,381300000.0,65000000.0,0.17,0.17,0.19,19465300000.0,1266000000.0,2254900000.0,81400000.0,7568700000.0,299100000.0,-184100000.0,-81600000.0,,10665400000.0,208400000.0
RSG,2009-12-31,False,FY,2009,10-K,8199100000.0,1589800000.0,495000000.0,1.3,1.3,0.76,19540300000.0,1264900000.0,2548700000.0,48000000.0,7567100000.0,1396500000.0,-242500000.0,-1174700000.0,,10667100000.0,826300000.0
RSG,2011-06-30,False,Q2,2011,10-Q,2086600000.0,401200000.0,46500000.0,0.12,0.12,0.2,19682000000.0,1479600000.0,2204000000.0,320500000.0,7666700000.0,795600000.0,-472200000.0,-91200000.0,7305500000.0,10640200000.0,481700000.0
RSG,2010-09-30,False,Q3,2010,10-Q,2061700000.0,367600000.0,134200000.0,0.35,0.35,0.2,19458000000.0,1330200000.0,2835300000.0,120500000.0,7786000000.0,963700000.0,-492400000.0,-398800000.0,,10646800000.0,571400000.0
RSG,2010-12-31,False,FY,2010,10-K,8106600000.0,1539100000.0,506500000.0,1.32,1.32,0.78,19461900000.0,1246100000.0,2676500000.0,88300000.0,7848900000.0,1433700000.0,-690500000.0,-702900000.0,7043100000.0,10655300000.0,794700000.0
RSG,2011-12-31,False,FY,2011,10-K,8192900000.0,1552700000.0,589200000.0,1.57,1.56,0.84,19551500000.0,1265700000.0,1897500000.0,66300000.0,7683400000.0,1766700000.0,-950200000.0,-838500000.0,6921800000.0,10647000000.0,936500000.0
