symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
RTEC,2011-09-30,False,Q3,2011,10-Q,41434000.0,5181000.0,5300000.0,0.17,0.16,0.0,290386000.0,260063000.0,22963000.0,133114000.0,214198000.0,35512000.0,-25203000.0,50965000.0,,4492000.0,1366000.0
RTEC,2018-12-31,False,FY,2018,10-K,273784000.0,51084000.0,45096000.0,1.42,1.4,0.0,418040000.0,350907000.0,44991000.0,112388000.0,361888000.0,35094000.0,33772000.0,-23909000.0,,22495000.0,7542000.0
RTEC,2012-09-30,False,Q3,2012,10-Q,62152000.0,12053000.0,6661000.0,0.21,0.2,0.0,348639000.0,300858000.0,51136000.0,105416000.0,240319000.0,15760000.0,-6605000.0,304000.0,48372000.0,8532000.0,1283000.0
RTEC,2011-12-31,False,FY,2011,10-K,187196000.0,21472000.0,25226000.0,0.79,0.78,0.0,305911000.0,263101000.0,28857000.0,96671000.0,221778000.0,45444000.0,-71208000.0,51034000.0,,4492000.0,1622000.0
RTEC,2012-03-31,False,Q1,2012,10-Q,45709000.0,4368000.0,1862000.0,0.06,0.06,0.0,313085000.0,272138000.0,32315000.0,89002000.0,224948000.0,6864000.0,-14092000.0,171000.0,47129000.0,4492000.0,505000.0
RTEC,2011-06-30,False,Q2,2011,10-Q,51543000.0,8007000.0,6957000.0,0.22,0.22,0.0,235767000.0,205565000.0,26228000.0,88730000.0,202136000.0,22689000.0,-5065000.0,703000.0,,4492000.0,1159000.0
RTEC,2013-03-31,False,Q1,2013,10-Q,41650000.0,1303000.0,393000.0,0.01,0.01,0.0,367747000.0,294981000.0,36047000.0,85053000.0,272005000.0,-307000.0,-18932000.0,601000.0,49677000.0,11252000.0,2528000.0
RTEC,2012-06-30,False,Q2,2012,10-Q,56326000.0,10487000.0,6346000.0,0.2,0.19,0.0,329962000.0,282611000.0,41378000.0,90020000.0,232111000.0,9684000.0,-16423000.0,272000.0,47737000.0,11269000.0,909000.0
RTEC,2014-03-31,False,Q1,2014,10-Q,41649000.0,113000.0,-724000.0,-0.02,-0.02,0.0,379383000.0,304779000.0,37749000.0,55606000.0,279738000.0,15606000.0,-41006000.0,142000.0,52486000.0,22495000.0,390000.0
RTEC,2012-12-31,False,FY,2012,10-K,218486000.0,34266000.0,43865000.0,1.36,1.34,0.0,366384000.0,294052000.0,37048000.0,104253000.0,270489000.0,22067000.0,-14934000.0,468000.0,,11371000.0,2429000.0
RTEC,2014-06-30,False,Q2,2014,10-Q,43018000.0,-9492000.0,-4412000.0,-0.13,-0.13,0.0,389081000.0,315940000.0,49856000.0,54658000.0,276597000.0,10746000.0,-36222000.0,-880000.0,53225000.0,22495000.0,1020000.0
RTEC,2014-09-30,False,Q3,2014,10-Q,46960000.0,4500000.0,-998000.0,-0.03,-0.03,0.0,375200000.0,302057000.0,35870000.0,47628000.0,275676000.0,-1986000.0,-28750000.0,-2257000.0,53997000.0,22495000.0,1442000.0
