symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
RVP,2018-09-30,False,Q3,2018,10-Q,9863272.0,-60226.0,-239666.0,-0.01,-0.01,0.0,37074617.0,25906334.0,8530089.0,13640696.0,25818382.0,-439918.0,-290153.0,-507132.0,2939115.0,,290153.0
RVP,2014-03-31,False,Q1,2014,10-Q,6040378.0,-1989744.0,-2267391.0,-0.08,-0.08,0.0,44983785.0,33381537.0,14533717.0,24198456.0,26910272.0,-2658768.0,-738597.0,-33538.0,,,738597.0
RVP,2011-06-30,False,Q2,2011,10-Q,7975971.0,-987942.0,504655.0,0.02,0.02,0.0,52494735.0,39389484.0,7042465.0,26790307.0,41216908.0,4235110.0,-464689.0,-246153.0,,,464689.0
RVP,2012-09-30,False,Q3,2012,10-Q,9444157.0,-211384.0,-502488.0,-0.02,-0.02,0.0,48240404.0,35927772.0,5961551.0,25008688.0,38365190.0,-1202092.0,-282560.0,820077.0,,,282560.0
RVP,2011-12-31,False,FY,2011,10-K,32102296.0,-4089833.0,454435.0,0.02,0.02,0.0,48761939.0,35745107.0,5967220.0,25673263.0,38651452.0,5513773.0,-826091.0,-2280458.0,,,826091.0
RVP,2013-03-31,False,Q1,2013,10-Q,7173112.0,-1367034.0,-1638601.0,-0.06,-0.06,0.0,44132918.0,32192113.0,6228782.0,23533072.0,34160179.0,-2130409.0,-62890.0,-236942.0,,,63890.0
RVP,2012-06-30,False,Q2,2012,10-Q,8727905.0,-531744.0,-834157.0,-0.03,-0.03,0.0,47424645.0,34917005.0,6102636.0,22903735.0,37332393.0,-2250966.0,-156879.0,-361683.0,,,156879.0
RVP,2011-09-30,False,Q3,2011,10-Q,8270608.0,-26375.0,1486227.0,0.06,0.06,0.0,53475528.0,40513589.0,6429709.0,26915292.0,42979150.0,4995377.0,-653873.0,-692251.0,,,653873.0
RVP,2013-06-30,False,Q2,2013,10-Q,6907233.0,-2385379.0,-2667735.0,-0.1,-0.1,0.0,41970398.0,30246522.0,6917871.0,19686834.0,31372122.0,-5399336.0,-159359.0,-717784.0,,,160359.0
RVP,2013-09-30,False,Q3,2013,10-Q,9160278.0,-825317.0,-1169383.0,-0.04,-0.04,0.0,49967333.0,38528815.0,16400565.0,27271755.0,29940811.0,2858132.0,-203514.0,-1346176.0,,,204514.0
RVP,2012-03-31,False,Q1,2012,10-Q,7429984.0,-645375.0,-943956.0,-0.04,-0.04,0.0,48026013.0,35285701.0,6022632.0,25586180.0,37937023.0,146198.0,-52899.0,-180382.0,,,52899.0
RVP,2012-12-31,False,FY,2012,10-K,33644503.0,-3938863.0,-5051000.0,-0.19,-0.19,0.0,47632158.0,35441064.0,8076952.0,25963313.0,35728996.0,158337.0,-510117.0,641830.0,4141296.0,,510117.0
RVP,2013-12-31,False,FY,2013,10-K,30785127.0,-5931245.0,-7129917.0,-0.26,-0.26,0.0,49097444.0,37907307.0,16620524.0,27629359.0,28899988.0,2933569.0,-282289.0,-985234.0,3823996.0,,283289.0
RVP,2014-06-30,False,Q2,2014,10-Q,6876362.0,-1340349.0,-1618822.0,-0.06,-0.06,0.0,44424462.0,32867221.0,15390724.0,22248428.0,25531628.0,-3732753.0,-1562279.0,-85899.0,,,962279.0
RVP,2014-09-30,False,Q3,2014,10-Q,10886680.0,420888.0,142426.0,0.01,0.0,0.0,45619969.0,34294830.0,16204478.0,22073857.0,25951652.0,-3835343.0,-1570764.0,-149395.0,,,970170.0
RVP,2015-09-30,False,Q3,2015,10-Q,9482866.0,-199382.0,-482325.0,-0.02,-0.02,0.0,43358644.0,31616839.0,7808753.0,19703945.0,32068336.0,-1972279.0,-662399.0,209646.0,,,1263296.0
RVP,2015-06-30,True,Q2,2015,10-Q,6715470.0,-1240322.0,6211076.0,0.22,0.21,0.0,42649755.0,31266892.0,6943625.0,19715134.0,32360545.0,-1739378.0,-693806.0,19341.0,,,693211.0
RVP,2015-03-31,False,Q1,2015,10-Q,6178576.0,-895097.0,-1172094.0,-0.04,-0.04,0.0,44158302.0,32897414.0,14998738.0,22345253.0,25773907.0,556229.0,-363472.0,23519.0,,,363177.0
