symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
RYAM,2014-09-27,False,Q3,2014,10-Q,253695000.0,41678000.0,19408000.0,0.46,0.46,0.07,1246350000.0,298632000.0,131298000.0,28163000.0,-13444000.0,127701000.0,-75884000.0,-23654000.0,946871000.0,,60214000.0
RYAM,2014-06-28,False,Q2,2014,10-Q,212531000.0,6210000.0,4561000.0,0.11,0.11,0.0,1225027000.0,264847000.0,128569000.0,19633000.0,-38823000.0,103019000.0,-63879000.0,-19507000.0,948927000.0,,50720000.0
RYAM,2018-12-31,False,FY,2018,10-K,2134413000.0,197642000.0,114616000.0,2.27,1.96,0.28,2679086000.0,716092000.0,370418000.0,108966000.0,706871000.0,246944000.0,-115966000.0,-116457000.0,,,132209000.0
RYAM,2015-06-27,False,Q2,2015,10-Q,220892000.0,8585000.0,-312000.0,-0.01,-0.01,0.07,1260984000.0,308660000.0,120026000.0,73348000.0,-51104000.0,88759000.0,-41343000.0,-40045000.0,907828000.0,,41343000.0
RYAM,2015-03-28,False,Q1,2015,10-Q,221348000.0,23946000.0,10521000.0,0.25,0.25,0.07,1281850000.0,301716000.0,122556000.0,77621000.0,-52588000.0,56176000.0,-24540000.0,-19992000.0,924882000.0,,24540000.0
RYAM,2016-03-26,False,Q1,2016,10-Q,217729000.0,31920000.0,20893000.0,0.5,0.49,0.07,1233832000.0,304904000.0,122488000.0,110070000.0,2901000.0,73970000.0,-20390000.0,-44813000.0,804846000.0,,20390000.0
RYAM,2015-09-26,False,Q3,2015,10-Q,257590000.0,57962000.0,32291000.0,0.77,0.76,0.07,1286932000.0,337978000.0,129980000.0,100355000.0,-16962000.0,152034000.0,-59657000.0,-57999000.0,892873000.0,,59657000.0
RYAM,2016-06-25,False,Q2,2016,10-Q,213589000.0,38569000.0,19340000.0,0.46,0.46,0.07,1275345000.0,347598000.0,145979000.0,166021000.0,23782000.0,150813000.0,-36279000.0,-49816000.0,803095000.0,,38422000.0
RYAM,2015-12-31,False,FY,2015,10-K,941384000.0,119523000.0,55257000.0,1.31,1.3,0.28,1288477000.0,328041000.0,131732000.0,101303000.0,-17139000.0,201658000.0,-77424000.0,-88908000.0,867919000.0,,77424000.0
RYAM,2014-12-31,False,FY,2014,10-K,957689000.0,62955000.0,31655000.0,0.75,0.75,0.14,1303880000.0,319991000.0,131445000.0,65977000.0,-62412000.0,187752000.0,-90461000.0,-31314000.0,944816000.0,,74791000.0
RYAM,2017-03-25,False,Q1,2017,10-Q,201415000.0,25965000.0,6466000.0,0.15,0.15,0.07,1428873000.0,547060000.0,134706000.0,345108000.0,215507000.0,37746000.0,-13537000.0,-5756000.0,,,13537000.0
RYAM,2016-09-24,False,Q3,2016,10-Q,206540000.0,41437000.0,19861000.0,0.46,0.44,0.07,1435203000.0,529709000.0,149014000.0,319666000.0,211863000.0,181200000.0,-56315000.0,93478000.0,783453000.0,,58458000.0
RYAM,2017-06-24,False,Q2,2017,10-Q,201226000.0,13354000.0,1132000.0,0.03,0.03,0.07,1448510000.0,570442000.0,152350000.0,368698000.0,221694000.0,86656000.0,-32369000.0,-12244000.0,,,32369000.0
RYAM,2017-09-23,False,Q3,2017,10-Q,209717000.0,17657000.0,12231000.0,0.29,0.28,0.07,1442600000.0,589736000.0,403622000.0,379179000.0,234260000.0,117624000.0,-44075000.0,-21025000.0,,,44075000.0
RYAM,2016-12-31,False,FY,2016,10-K,868731000.0,137647000.0,67882000.0,1.61,1.55,0.28,1421939000.0,519508000.0,126979000.0,326655000.0,211749000.0,232225000.0,-86560000.0,79687000.0,0.0,,88703000.0
RYAM,2017-12-31,False,FY,2017,10-K,961333000.0,57016000.0,311164000.0,7.17,5.81,0.28,2642611000.0,646537000.0,307571000.0,96235000.0,693756000.0,129772000.0,-277426000.0,-83619000.0,,,75042000.0
RYAM,2018-06-30,False,Q2,2018,10-Q,541720000.0,66222000.0,49949000.0,0.97,0.83,0.07,2670449000.0,696312000.0,321469000.0,79809000.0,738939000.0,89225000.0,-63621000.0,-40954000.0,,,63621000.0
RYAM,2018-09-29,False,Q3,2018,10-Q,544339000.0,56150000.0,34495000.0,0.68,0.6,0.07,2667770000.0,723039000.0,311217000.0,105976000.0,776856000.0,160362000.0,-76443000.0,-72853000.0,,,92591000.0
RYAM,2018-03-31,False,Q1,2018,10-Q,521992000.0,46257000.0,21052000.0,0.41,0.38,0.07,2694049000.0,704910000.0,342155000.0,89076000.0,721994000.0,32516000.0,-29002000.0,-11978000.0,,,29002000.0
