symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SDIX,2011-09-30,False,Q3,2011,10-Q,6915000.0,-657000.0,-694000.0,-0.03,-0.03,0.0,21350000.0,16187000.0,3206000.0,7035000.0,18144000.0,-456000.0,-641000.0,77000.0,,,641000.0
SDIX,2011-12-31,False,FY,2011,10-K,24193000.0,-4708000.0,-298000.0,-0.01,-0.01,0.0,22622000.0,17483000.0,2625000.0,10665000.0,19997000.0,-692000.0,3226000.0,80000.0,,,991000.0
SDIX,2012-06-30,False,Q2,2012,10-Q,5492000.0,-1446000.0,-1456000.0,-0.07,-0.07,0.0,20845000.0,14660000.0,2913000.0,7535000.0,17715000.0,-1855000.0,-1278000.0,-1000.0,,,1278000.0
SDI,2018-09-30,False,Q3,2018,10-Q,91595000.0,10889000.0,1367000.0,0.08,0.08,0.0,420563000.0,,,18520000.0,93637000.0,-9765000.0,-29765000.0,36490000.0,30000000.0,147464000.0,1591000.0
SDIX,2012-09-30,False,Q3,2012,10-Q,3995000.0,-1715000.0,-1030000.0,-0.05,-0.05,0.0,19618000.0,13541000.0,2608000.0,6995000.0,16806000.0,-2210000.0,-1478000.0,-11000.0,,,1478000.0
SDIX,2012-03-31,False,Q1,2012,10-Q,5637000.0,-1190000.0,-1197000.0,-0.06,-0.06,0.0,22215000.0,16724000.0,3254000.0,9798000.0,18961000.0,-306000.0,-585000.0,2000.0,,,585000.0
SDIX,2013-06-30,False,Q2,2013,10-Q,3630000.0,-1876000.0,-1749000.0,-0.08,-0.08,0.0,24336000.0,19380000.0,1978000.0,13993000.0,21994000.0,-3556000.0,-515000.0,-33000.0,,,515000.0
SDIX,2013-03-31,False,Q1,2013,10-Q,3383000.0,-454000.0,-1594000.0,-0.08,-0.08,0.0,26561000.0,21633000.0,2755000.0,16026000.0,23591000.0,-1782000.0,-277000.0,-11000.0,,,
SDIX,2012-12-31,False,FY,2012,10-K,15071000.0,-7168000.0,4342000.0,0.21,0.21,0.0,27570000.0,22868000.0,2269000.0,18145000.0,25110000.0,-2980000.0,10447000.0,-20000.0,238000.0,,1628000.0
SDIX,2011-06-30,False,Q2,2011,10-Q,7070000.0,-642000.0,-657000.0,-0.03,-0.03,0.0,22395000.0,17110000.0,3569000.0,7534000.0,18726000.0,-164000.0,-445000.0,71000.0,,,445000.0
