symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SHLX,2015-06-30,False,Q2,2015,10-Q,57600000.0,31600000.0,32200000.0,0.88,0.88,0.0,575000000.0,140100000.0,130500000.0,113000000.0,444500000.0,110200000.0,-65500000.0,-81900000.0,420800000.0,,3600000.0
SHLX,2016-09-30,False,Q3,2016,10-Q,67900000.0,36000000.0,56300000.0,0.56,0.56,0.0,797200000.0,189800000.0,26500000.0,160800000.0,400400000.0,224100000.0,-131700000.0,-24600000.0,343900000.0,,21300000.0
SHLX,2015-03-31,False,Q1,2015,10-Q,51700000.0,27700000.0,23600000.0,0.68,0.68,0.0,618300000.0,183000000.0,37500000.0,156900000.0,580800000.0,57400000.0,-11200000.0,-39500000.0,0.0,,2500000.0
SHLX,2016-12-31,False,FY,2016,10-K,291300000.0,160500000.0,244900000.0,5.18,5.18,0.0,865600000.0,165400000.0,31300000.0,121900000.0,119900000.0,293000000.0,-228100000.0,-36000000.0,686000000.0,,28300000.0
SHLX,2015-12-31,False,FY,2015,10-K,326500000.0,197800000.0,167100000.0,4.6,4.56,0.0,715500000.0,130800000.0,26100000.0,93000000.0,207100000.0,282700000.0,-201100000.0,-138800000.0,458200000.0,,16200000.0
SHLX,2015-09-30,False,Q3,2015,10-Q,72400000.0,48900000.0,54300000.0,1.48,1.48,0.0,608700000.0,143400000.0,452000000.0,117500000.0,156700000.0,178100000.0,-100900000.0,-109900000.0,420800000.0,,7600000.0
SHLX,2014-09-30,False,Q3,2014,10-Q,46900000.0,31100000.0,31000000.0,,,0.0,320800000.0,51500000.0,17400000.0,21900000.0,,75200000.0,-58000000.0,4700000.0,0.0,,58000000.0
SHLX,2016-03-31,False,Q1,2016,10-Q,76700000.0,45000000.0,55300000.0,0.6799999999999999,0.6799999999999999,0.0,752800000.0,172600000.0,23400000.0,138000000.0,656600000.0,72400000.0,-600000.0,-26800000.0,47700000.0,,4700000.0
SHLX,2017-03-31,False,Q1,2017,10-Q,70200000.0,31800000.0,70800000.0,0.33,0.33,0.0,898800000.0,198400000.0,47400000.0,154600000.0,137500000.0,93500000.0,-900000.0,-59900000.0,685300000.0,,7300000.0
SHLX,2016-06-30,False,Q2,2016,10-Q,71100000.0,38100000.0,63800000.0,0.69,0.69,0.0,783100000.0,199800000.0,20600000.0,168600000.0,392200000.0,150700000.0,-99500000.0,24400000.0,344400000.0,,13800000.0
SHLX,2018-06-30,False,Q2,2018,10-Q,129300000.0,56700000.0,110700000.0,0.35,0.35,0.0,1870400000.0,243600000.0,66500000.0,174900000.0,-320800000.0,213200000.0,-488100000.0,312100000.0,2091500000.0,,25100000.0
SHLX,2018-03-31,False,Q1,2018,10-Q,99600000.0,4900000.0,64000000.0,0.18,0.18,0.0,1387700000.0,237600000.0,72800000.0,184700000.0,410300000.0,109000000.0,1700000.0,-63700000.0,871300000.0,,9400000.0
SHLX,2017-09-30,False,Q3,2017,10-Q,94400000.0,38100000.0,72600000.0,0.31,0.31,0.0,1116700000.0,212900000.0,63400000.0,171900000.0,24200000.0,276000000.0,-222700000.0,-3300000.0,1000600000.0,,35500000.0
SHLX,2014-12-31,False,FY,2014,10-K,182400000.0,101300000.0,13400000.0,0.4,0.4,0.0,623700000.0,183800000.0,44800000.0,150200000.0,578900000.0,123600000.0,-58300000.0,84900000.0,0.0,,65000000.0
SHLX,2017-12-31,False,FY,2017,10-K,413800000.0,200100000.0,295300000.0,2.56,2.56,0.0,1366500000.0,203600000.0,54900000.0,137700000.0,-565900000.0,432400000.0,-509100000.0,92300000.0,1844000000.0,,58000000.0
SHLX,2017-06-30,False,Q2,2017,10-Q,86800000.0,32800000.0,65500000.0,0.29,0.29,0.0,1098700000.0,188900000.0,57200000.0,135400000.0,-252500000.0,175300000.0,-221900000.0,60100000.0,1265400000.0,,20900000.0
