symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SIG,2012-04-28,False,Q1,2013,10-Q,900000000.0,129400000.0,82500000.0,0.96,0.96,0.12,3485200000.0,2879000000.0,744000000.0,399000000.0,2257700000.0,34000000.0,-18600000.0,-102600000.0,,,18600000.0
SIG,2012-10-27,False,Q3,2013,10-Q,716200000.0,52500000.0,34900000.0,0.43,0.43,0.12,3421100000.0,2778600000.0,786600000.0,166000000.0,2150100000.0,-16600000.0,-46100000.0,-7300000.0,,,100900000.0
SIG,2011-10-29,False,Q3,2012,10-Q,710500000.0,42500000.0,26100000.0,0.3,0.3,0.0,3364100000.0,2780400000.0,772600000.0,349600000.0,2148200000.0,-78500000.0,-34700000.0,21800000.0,,,73000000.0
SIG,2013-08-03,False,Q2,2014,10-Q,880200000.0,105500000.0,67400000.0,0.84,0.84,0.15,3627800000.0,2907500000.0,721500000.0,212900000.0,2372600000.0,13400000.0,-29000000.0,-36300000.0,,,53600000.0
SIG,2012-07-28,False,Q2,2013,10-Q,853900000.0,110900000.0,70700000.0,0.86,0.85,0.12,3319000000.0,2696300000.0,720900000.0,237500000.0,2111000000.0,82800000.0,-36200000.0,-209000000.0,,,54800000.0
SIG,2018-11-03,False,Q3,2019,10-Q,1191700000.0,-48800000.0,-38100000.0,-0.74,-0.74,0.37,4907500000.0,3010100000.0,1365700000.0,130700000.0,1349000000.0,313500000.0,-79500000.0,-320700000.0,989000000.0,509000000.0,93400000.0
SIG,2013-05-04,False,Q1,2014,10-Q,993600000.0,142800000.0,91800000.0,1.14,1.13,0.15,3684500000.0,2972200000.0,809800000.0,263700000.0,2344500000.0,45100000.0,-23200000.0,-58300000.0,,,23200000.0
SIG,2012-01-28,False,FY,2012,10-K,3749200000.0,507400000.0,324400000.0,3.76,3.73,0.0,3611400000.0,3016300000.0,867200000.0,486800000.0,2279100000.0,325200000.0,-97800000.0,-40000000.0,,,97800000.0
SIG,2013-11-02,False,Q3,2014,10-Q,771400000.0,51600000.0,33600000.0,0.42,0.42,0.15,3765400000.0,3013700000.0,842700000.0,87800000.0,2386200000.0,-80400000.0,-53300000.0,9900000.0,,,106900000.0
SIG,2014-05-03,False,Q1,2015,10-Q,1056100000.0,150700000.0,96600000.0,1.21,1.2,0.18,4021600000.0,3232700000.0,796200000.0,249100000.0,2643800000.0,73500000.0,-28100000.0,-43500000.0,,26800000.0,28100000.0
