symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SNA,2018-12-29,False,FY,2018,10-K,4070400000.0,956100000.0,679900000.0,12.08,11.87,3.41,5373100000.0,2216900000.0,952000000.0,140900000.0,3118600000.0,764500000.0,-210200000.0,-502200000.0,0.0,902200000.0,90900000.0
SNA,2011-12-31,False,FY,2011,10-K,2854200000.0,475100000.0,276300000.0,4.75,4.71,1.3,3672900000.0,1530700000.0,583800000.0,185600000.0,1547300000.0,128500000.0,-219600000.0,-293700000.0,984100000.0,795800000.0,61200000.0
SNA,2010-07-03,False,Q2,2010,10-Q,647600000.0,80700000.0,45300000.0,0.78,0.78,0.3,3313300000.0,1486100000.0,646400000.0,430800000.0,1264300000.0,65900000.0,-156200000.0,-176700000.0,,773100000.0,12300000.0
SNA,2011-10-01,False,Q3,2011,10-Q,697200000.0,115100000.0,67800000.0,1.16,1.16,0.32,3630100000.0,1523300000.0,569400000.0,185700000.0,1574200000.0,56200000.0,-170200000.0,-271600000.0,981900000.0,808200000.0,46600000.0
SNA,2011-07-02,False,Q2,2011,10-Q,726700000.0,134300000.0,78000000.0,1.34,1.33,0.32,3826500000.0,1735900000.0,771000000.0,418200000.0,1582900000.0,14200000.0,-121300000.0,-48700000.0,1170500000.0,827200000.0,33300000.0
SNA,2011-04-02,False,Q1,2011,10-Q,693700000.0,99800000.0,56200000.0,0.97,0.96,0.32,3840000000.0,1803300000.0,874900000.0,517300000.0,1505600000.0,27900000.0,-59800000.0,-23900000.0,,822800000.0,18600000.0
SNA,2010-10-02,False,Q3,2010,10-Q,653100000.0,83800000.0,46500000.0,0.8,0.8,0.3,3457800000.0,1531900000.0,847400000.0,359900000.0,1396900000.0,76100000.0,-226100000.0,-189800000.0,,808700000.0,22800000.0
SNA,2011-01-01,False,FY,2010,10-K,2619200000.0,331400000.0,186500000.0,3.22,3.19,1.22,3729400000.0,1765500000.0,881100000.0,572200000.0,1404400000.0,140400000.0,-303000000.0,34800000.0,,798400000.0,51100000.0
SNA,2012-09-29,False,Q3,2012,10-Q,711600000.0,124100000.0,74100000.0,1.27,1.26,0.34,3871900000.0,1623900000.0,621600000.0,176100000.0,1756300000.0,226400000.0,-153600000.0,-82100000.0,989900000.0,799900000.0,59500000.0
SNA,2012-03-31,False,Q1,2012,10-Q,735200000.0,121400000.0,71000000.0,1.22,1.21,0.34,3709900000.0,1534600000.0,565900000.0,161600000.0,1619900000.0,65000000.0,-49300000.0,-40500000.0,979500000.0,804900000.0,21800000.0
SNA,2013-03-30,False,Q1,2013,10-Q,741700000.0,138300000.0,82800000.0,1.42,1.4,0.38,3903200000.0,1675800000.0,669700000.0,213600000.0,1846400000.0,75700000.0,-46500000.0,-29300000.0,979400000.0,800300000.0,14700000.0
SNA,2013-09-28,False,Q3,2013,10-Q,753200000.0,142900000.0,84600000.0,1.45,1.43,0.38,4101000000.0,1783100000.0,725700000.0,182500000.0,2006100000.0,270100000.0,-205900000.0,-95100000.0,978800000.0,837400000.0,50700000.0
SNA,2012-06-30,False,Q2,2012,10-Q,737900000.0,130200000.0,76400000.0,1.31,1.3,0.34,3741700000.0,1554800000.0,596100000.0,173600000.0,1649900000.0,156700000.0,-106800000.0,-60600000.0,984400000.0,786200000.0,39800000.0
SNA,2013-06-29,False,Q2,2013,10-Q,764100000.0,148400000.0,88400000.0,1.52,1.5,0.38,3961500000.0,1686200000.0,696100000.0,174700000.0,1895900000.0,185800000.0,-154000000.0,-69800000.0,976300000.0,823900000.0,31400000.0
SNA,2012-12-29,False,FY,2012,10-K,2937900000.0,516400000.0,306100000.0,5.26,5.2,1.4,3902300000.0,1669000000.0,589200000.0,214500000.0,1819000000.0,329300000.0,-173100000.0,-127000000.0,975600000.0,807400000.0,79400000.0
SNA,2014-09-27,False,Q3,2014,10-Q,806300000.0,168300000.0,103700000.0,1.78,1.76,0.44,4268500000.0,1860200000.0,733900000.0,124700000.0,2294500000.0,300700000.0,-227200000.0,-165700000.0,919200000.0,828500000.0,63300000.0
SNA,2015-04-04,False,Q1,2015,10-Q,827800000.0,178200000.0,110500000.0,1.9,1.87,0.53,4262400000.0,1843300000.0,726500000.0,114400000.0,2188300000.0,78100000.0,-59500000.0,-35300000.0,943200000.0,778300000.0,18100000.0
SNA,2014-06-28,False,Q2,2014,10-Q,826500000.0,172900000.0,106100000.0,1.83,1.8,0.44,4228300000.0,1808800000.0,696700000.0,115800000.0,2272800000.0,212700000.0,-170600000.0,-144200000.0,907800000.0,870500000.0,41000000.0
SNA,2014-03-29,False,Q1,2014,10-Q,787500000.0,156100000.0,95900000.0,1.65,1.62,0.44,4104100000.0,1769700000.0,632900000.0,127800000.0,2203700000.0,88300000.0,-50900000.0,-127100000.0,876300000.0,841800000.0,18300000.0
SNA,2016-10-01,False,Q3,2016,10-Q,834100000.0,208200000.0,131700000.0,2.27,2.22,0.61,4600100000.0,1908700000.0,878600000.0,117500000.0,2688600000.0,415600000.0,-244100000.0,-146800000.0,896000000.0,788300000.0,56600000.0
SNA,2015-07-04,False,Q2,2015,10-Q,851800000.0,192200000.0,120000000.0,2.07,2.03,0.53,4390700000.0,1897900000.0,739800000.0,124600000.0,2316200000.0,238400000.0,-144900000.0,-100200000.0,922400000.0,787800000.0,45800000.0
SNA,2015-10-03,False,Q3,2015,10-Q,821500000.0,187100000.0,116800000.0,2.01,1.98,0.53,4491400000.0,1952900000.0,785500000.0,119200000.0,2378800000.0,352100000.0,-231800000.0,-131100000.0,937700000.0,798700000.0,64300000.0
SNA,2016-04-02,False,Q1,2016,10-Q,834200000.0,202400000.0,128300000.0,2.21,2.16,0.61,4436400000.0,1841500000.0,837200000.0,106300000.0,2535100000.0,141600000.0,-79600000.0,-49300000.0,885400000.0,797100000.0,19500000.0
SNA,2015-01-03,False,FY,2014,10-K,3277700000.0,684700000.0,421900000.0,7.26,7.14,1.85,4310100000.0,1858600000.0,718700000.0,132900000.0,2225300000.0,397900000.0,-273200000.0,-206900000.0,919300000.0,810700000.0,80600000.0
SNA,2016-07-02,False,Q2,2016,10-Q,872300000.0,215900000.0,140100000.0,2.41,2.36,0.61,4505100000.0,1852400000.0,853100000.0,119900000.0,2601600000.0,303700000.0,-174900000.0,-101900000.0,889600000.0,788200000.0,40100000.0
SNA,2016-01-02,False,FY,2015,10-K,3352800000.0,764800000.0,478700000.0,8.24,8.1,2.2,4486900000.0,1898700000.0,670500000.0,92800000.0,2430700000.0,496500000.0,-306400000.0,-226000000.0,880100000.0,790100000.0,80400000.0
SNA,2017-04-01,False,Q1,2017,10-Q,887100000.0,222000000.0,141600000.0,2.45,2.39,0.71,4877800000.0,1974100000.0,971500000.0,123000000.0,2765800000.0,192400000.0,-81700000.0,-66600000.0,0.0,859800000.0,18600000.0
SNA,2017-09-30,False,Q3,2017,10-Q,903800000.0,209100000.0,133400000.0,2.33,2.29,0.71,5256200000.0,2145900000.0,1222800000.0,94100000.0,2940000000.0,415000000.0,-282400000.0,-119500000.0,0.0,924000000.0,57300000.0
SNA,2017-07-01,False,Q2,2017,10-Q,921400000.0,238300000.0,153200000.0,2.65,2.6,0.71,5067100000.0,2034100000.0,1073800000.0,89000000.0,2873000000.0,319500000.0,-220300000.0,-90000000.0,0.0,899200000.0,34400000.0
SNA,2013-12-28,False,FY,2013,10-K,3056500000.0,586200000.0,350300000.0,6.02,5.93,1.58,4110000000.0,1796200000.0,715400000.0,217600000.0,2130400000.0,392600000.0,-250400000.0,-137800000.0,972000000.0,838800000.0,70600000.0
SNA,2016-12-31,False,FY,2016,10-K,3430400000.0,854200000.0,546400000.0,9.4,9.2,2.54,4723200000.0,1884000000.0,989500000.0,77600000.0,2635200000.0,576100000.0,-473400000.0,-116000000.0,0.0,895500000.0,74300000.0
SNA,2017-12-30,False,FY,2017,10-K,3686900000.0,881500000.0,557700000.0,9.72,9.52,2.95,5249100000.0,2119300000.0,1193300000.0,92000000.0,2972300000.0,608500000.0,-341400000.0,-256100000.0,0.0,924100000.0,82000000.0
SNA,2018-09-29,False,Q3,2018,10-Q,980100000.0,232400000.0,163200000.0,2.9,2.85,0.82,5354800000.0,2214600000.0,956800000.0,122200000.0,3184100000.0,548600000.0,-149400000.0,-367100000.0,0.0,913900000.0,68500000.0
SNA,2018-03-31,False,Q1,2018,10-Q,935500000.0,234600000.0,163000000.0,2.87,2.82,0.82,5317600000.0,2168400000.0,951600000.0,97500000.0,3102300000.0,231900000.0,-37100000.0,-190500000.0,0.0,941400000.0,18000000.0
SNA,2018-06-30,False,Q2,2018,10-Q,954600000.0,250900000.0,178700000.0,3.17,3.12,0.82,5272000000.0,2155400000.0,927000000.0,112300000.0,3111600000.0,418800000.0,-100800000.0,-295800000.0,0.0,911000000.0,38600000.0
