symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SO,2016-09-30,False,Q3,2016,10-Q,6264000000.0,1917000000.0,1130000000.0,1.17,1.16,0.56,106362000000.0,9658000000.0,10567000000.0,2669000000.0,26180000000.0,4262000000.0,-16640000000.0,13643000000.0,,6223000000.0,5252000000.0
SO,2015-09-30,False,Q3,2015,10-Q,5401000000.0,,959000000.0,1.05,1.05,0.5425,75215000000.0,6270000000.0,9689000000.0,1109000000.0,21923000000.0,5088000000.0,-4880000000.0,191000000.0,,2000000.0,3490000000.0
SO,2015-06-30,False,Q2,2015,10-Q,4337000000.0,,629000000.0,0.69,0.69,0.5425,74181000000.0,6605000000.0,8694000000.0,813000000.0,21146000000.0,2107000000.0,-2766000000.0,762000000.0,,2000000.0,2647000000.0
SO,2016-06-30,False,Q2,2016,10-Q,4459000000.0,1185000000.0,612000000.0,0.65,0.65,0.56,90873000000.0,15149000000.0,8514000000.0,1897000000.0,23446000000.0,2115000000.0,-12675000000.0,11053000000.0,,264000000.0,3486000000.0
SO,2016-03-31,False,Q1,2016,10-Q,3965000000.0,933000000.0,485000000.0,0.53,0.53,0.5425,78735000000.0,5461000000.0,7856000000.0,754000000.0,22184000000.0,865000000.0,-2197000000.0,682000000.0,,2000000.0,1872000000.0
SO,2015-03-31,False,Q1,2015,10-Q,4183000000.0,,508000000.0,0.56,0.56,0.525,71610000000.0,6372000000.0,9185000000.0,1112000000.0,20994000000.0,913000000.0,-1107000000.0,596000000.0,76000000.0,2000000.0,1097000000.0
SO,2018-12-31,False,FY,2018,10-K,23495000000.0,4191000000.0,2226000000.0,2.18,2.17,2.38,116914000000.0,9583000000.0,14286000000.0,1396000000.0,29039000000.0,6945000000.0,-5760000000.0,-1813000000.0,3300000000.0,5315000000.0,8001000000.0
SO,2017-09-30,False,Q3,2017,10-Q,6201000000.0,2045000000.0,1069000000.0,1.07,1.06,0.58,110315000000.0,9202000000.0,12603000000.0,1841000000.0,25939000000.0,5253000000.0,-6687000000.0,1300000000.0,47269000000.0,6267000000.0,5242000000.0
SO,2018-03-31,False,Q1,2018,10-Q,6372000000.0,1376000000.0,938000000.0,0.93,0.92,0.58,111567000000.0,9524000000.0,13630000000.0,2284000000.0,26025000000.0,1509000000.0,-1995000000.0,629000000.0,47479000000.0,6226000000.0,1781000000.0
SO,2015-12-31,False,FY,2015,10-K,17489000000.0,4282000000.0,2367000000.0,2.6,2.59,2.1525,78318000000.0,6526000000.0,9129000000.0,1404000000.0,21982000000.0,6274000000.0,-7280000000.0,1700000000.0,2400000000.0,2000000.0,5674000000.0
SO,2018-06-30,False,Q2,2018,10-Q,5627000000.0,63000000.0,-154000000.0,-0.15,-0.15,0.6,112777000000.0,11619000000.0,14366000000.0,1980000000.0,26692000000.0,3258000000.0,-3624000000.0,236000000.0,45806000000.0,5315000000.0,3828000000.0
SO,2014-12-31,False,FY,2014,10-K,18467000000.0,3642000000.0,1963000000.0,2.19,2.18,2.0825,70923000000.0,6370000000.0,8967000000.0,710000000.0,20926000000.0,5815000000.0,-6408000000.0,644000000.0,1200000000.0,1839000.0,5977000000.0
SO,2017-06-30,False,Q2,2017,10-Q,5430000000.0,-1594000000.0,-1381000000.0,-1.38,-1.37,0.58,108684000000.0,8837000000.0,12751000000.0,1433000000.0,25241000000.0,2742000000.0,-4889000000.0,1605000000.0,,6271000000.0,3398000000.0
SO,2017-03-31,False,Q1,2017,10-Q,5771000000.0,1306000000.0,658000000.0,0.66,0.66,0.56,109760000000.0,8427000000.0,12284000000.0,1094000000.0,26996000000.0,897000000.0,-2803000000.0,1025000000.0,,6251000000.0,1488000000.0
SO,2010-03-31,False,Q1,2010,10-Q,4157317000.0,921994000.0,494508000.0,0.6,0.6,0.4375,52580045000.0,5220131000.0,5515903000.0,339050000.0,15902175000.0,738960000.0,-1088188000.0,-1444000.0,,,1054040000.0
SO,2010-09-30,False,Q3,2010,10-Q,5319912000.0,1458515000.0,817238000.0,0.98,0.97,0.455,54894780000.0,6609452000.0,5994412000.0,1258735000.0,16962276000.0,3526601000.0,-3005984000.0,48396000.0,,,2893812000.0
SO,2010-06-30,False,Q2,2010,10-Q,4207419000.0,951051000.0,510194000.0,0.62,0.61,0.455,53374490000.0,5524262000.0,5935450000.0,266278000.0,16240289000.0,1414962000.0,-2035540000.0,197134000.0,,,1935716000.0
SO,2009-09-30,False,Q3,2009,10-Q,4681482000.0,1415276000.0,789975000.0,0.99,0.99,0.4375,50524207000.0,5881933000.0,5176014000.0,606861000.0,15069416000.0,2359784000.0,-2856348000.0,686844000.0,,,3179009000.0
